Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Vive Latino,2025,March,3,Latin Pop,Pop,54.51
Vive Latino,2025,March,3,Indie Pop,Pop,27.26
Vive Latino,2025,March,3,Mainstream Pop,Pop,9.82
Vive Latino,2025,March,3,Alternative Rock,Rock,36.81
Vive Latino,2025,March,3,Pop Rock,Rock,17.68
Vive Latino,2025,March,3,Indie Rock,Rock,12.16
Vive Latino,2025,March,3,Hard Rock,Rock,10.53
Vive Latino,2025,March,3,Cumbia,Latin,11.31
Vive Latino,2025,March,3,Regional Mexican Music,Latin,10.53
Vive Latino,2025,March,3,Latin alternative,Latin,20.51
Vive Latino,2024,March,3,Alternative Rock,Rock,44.82
Vive Latino,2024,March,3,Pop Rock,Rock,23.62
Vive Latino,2024,March,3,Indie Rock,Rock,13.88
Vive Latino,2024,March,3,Folk Rock,Rock,9.07
Vive Latino,2024,March,3,Hard Rock,Rock,14.79
Vive Latino,2024,March,3,Pop Punk,Punk,12.53
Vive Latino,2024,March,3,Regional Mexican Music,Latin,35.88
Vive Latino,2024,March,3,Corrido,Latin,20.38
Vive Latino,2024,March,3,Contemporary Hip Hop,Hip Hop,31.90
Vive Latino,2024,March,3,Indie Pop,Pop,14.94
Vive Latino,2023,March,3,Alternative Rock,Rock,35.75
Vive Latino,2023,March,3,Funk Rock,Rock,20.38
Vive Latino,2023,March,3,Pop Rock,Rock,16.38
Vive Latino,2023,March,3,Indie Rock,Rock,8.47
Vive Latino,2023,March,3,Regional Mexican Music,Latin,24.09
Vive Latino,2023,March,3,Reggaeton,Latin,9.90
Vive Latino,2023,March,3,Contemporary Hip Hop,Hip Hop,21.68
Vive Latino,2023,March,3,Trap,Hip Hop,9.82
Vive Latino,2023,March,3,Latin Pop,Pop,16.66
Vive Latino,2023,March,3,Indie Pop,Pop,18.72
Vive Latino,2022,March,3,Indie Pop,Pop,37.45
Vive Latino,2022,March,3,Contemporary Hip Hop,Hip Hop,20.42
Vive Latino,2022,March,3,Alternative Hip Hop,Hip Hop,12.21
Vive Latino,2022,March,3,Trap,Hip Hop,12.30
Vive Latino,2022,March,3,Regional Mexican Music,Latin,9.82
Vive Latino,2022,March,3,Alternative Rock,Rock,9.88
Vive Latino,2022,March,3,Indie Rock,Rock,10.29
Vive Latino,2022,March,3,Alternative Metal,Metal,9.82
Vive Latino,2022,March,3,Roots Reggae,Reggae,9.82
Vive Latino,2022,March,3,Reggae Fusion,Reggae,9.82
Vive Latino,2020,March,3,Alternative Rock,Rock,29.03
Vive Latino,2020,March,3,Hard Rock,Rock,20.38
Vive Latino,2020,March,3,Indie Rock,Rock,12.20
Vive Latino,2020,March,3,Pop Rock,Rock,7.02
Vive Latino,2020,March,3,Latin Pop,Pop,10.23
Vive Latino,2020,March,3,Indie Pop,Pop,9.67
Vive Latino,2020,March,3,Mainstream Pop,Pop,5.25
Vive Latino,2020,March,3,Cumbia,Latin,9.82
Vive Latino,2020,March,3,Regional Mexican Music,Latin,4.94
Vive Latino,2020,March,3,Contemporary Hip Hop,Hip Hop,7.34
Vive Latino,2019,March,3,Alternative Rock,Rock,28.93
Vive Latino,2019,March,3,Indie Rock,Rock,27.17
Vive Latino,2019,March,3,Pop Rock,Rock,25.34
Vive Latino,2019,March,3,Alternative Metal,Metal,9.82
Vive Latino,2019,March,3,Nu Metal,Metal,9.82
Vive Latino,2019,March,3,Latin Pop,Pop,16.72
Vive Latino,2019,March,3,Indie Pop,Pop,7.54
Vive Latino,2019,March,3,Mainstream Pop,Pop,10.04
Vive Latino,2019,March,3,Contemporary Hip Hop,Hip Hop,10.73
Vive Latino,2019,March,3,Blues Rock,Blues,6.81
Vive Latino,2018,March,3,Alternative Rock,Rock,32.68
Vive Latino,2018,March,3,Indie Rock,Rock,7.48
Vive Latino,2018,March,3,Folk Rock,Rock,7.15
Vive Latino,2018,March,3,Pop Rock,Rock,9.26
Vive Latino,2018,March,3,Alternative Hip Hop,Hip Hop,29.04
Vive Latino,2018,March,3,Contemporary Hip Hop,Hip Hop,22.79
Vive Latino,2018,March,3,Latin Hip Hop,Hip Hop,6.27
Vive Latino,2018,March,3,Contemporary R&B,R&B,20.38
Vive Latino,2018,March,3,Neo Soul,R&B,20.38
Vive Latino,2018,March,3,Indie Pop,Pop,6.42
