Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Def Leppard,GBR,603,57,21,Rock,Hard Rock,5 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Sabaton,SWE,1541,22,1,Metal,Power Metal,1 Festival
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Judas Priest,GBR,1821,25,12,Metal,Heavy Metal,10 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Europe,SWE,1872,174,42,Rock,Hard Rock,9 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Lamb of God,USA,2898,36,3,Metal,Groove Metal,7 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Black Label Society,USA,3213,37,4,Metal,Groove Metal,3 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Sepultura,BRA,3234,38,5,Metal,Thrash Metal,7 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",P.O.D.,USA,3846,44,28,Metal,Alternative Metal,4 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Arch Enemy,SWE,5640,63,1,Metal,Death Metal,2 Festivals
Wacken Open Air,2026,August,8,"Jul 29-Aug 1",Powerwolf,DEU,6262,68,5,Metal,Power Metal,17 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Guns N' Roses,USA,104,7,3,Rock,Hard Rock,6 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Papa Roach,USA,906,14,9,Metal,Alternative Metal,11 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Drowning Pool,USA,3409,39,25,Metal,Alternative Metal,8 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Within Temptation,NLD,3650,42,2,Metal,Symphonic Metal,14 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Gojira,FRA,4292,50,4,Metal,Progressive Metal,13 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Peyton Parrish,USA,4435,422,215,Rock,Alternative Rock,4 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Apocalyptica,FIN,5453,59,3,Metal,Symphonic Metal,16 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Static-X,USA,6788,74,42,Metal,Alternative Metal,13 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Machine Head,USA,7725,81,7,Metal,Groove Metal,12 Festivals
Wacken Open Air,2025,August,8,"Jul 30-Aug 2",Mastodon,USA,8500,88,8,Metal,Progressive Metal,15 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",Scorpions,DEU,435,31,13,Rock,Hard Rock,10 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",Korn,USA,501,8,6,Metal,Alternative Metal,18 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",Motionless In White,USA,1748,24,4,Metal,Metalcore/Deathcore,19 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",The Warning,MEX,2614,249,130,Rock,Alternative Rock,19 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",Architects,GBR,4146,48,14,Metal,Metalcore/Deathcore,4 Festivals
Wacken Open Air,2024,August,8,"Jul 31-Aug 3",Spiritbox,CAN,4733,52,15,Metal,Metalcore/Deathcore,12 Festivals
