Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Wacken Open Air,August,8,1,USA,0.2289,27.3
Wacken Open Air,August,8,2,BRA,0.0697,8.8
Wacken Open Air,August,8,3,MEX,0.0521,6.9
Wacken Open Air,August,8,4,DEU,0.0399,26.5
Wacken Open Air,August,8,5,ARG,0.0257,1.5
Wacken Open Air,August,8,6,GBR,0.0255,4.8
Wacken Open Air,August,8,7,CAN,0.0250,5.6
Wacken Open Air,August,8,8,FRA,0.0210,0.7706
Wacken Open Air,August,8,9,UKR,0.0204,0.0785
Wacken Open Air,August,8,10,IDN,0.0200,1.4
