Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Wacken Open Air,August,8,2025,Alternative Rock,Rock,22.75
Wacken Open Air,August,8,2025,Hard Rock,Rock,21.52
Wacken Open Air,August,8,2025,Heavy Metal,Metal,4.67
Wacken Open Air,August,8,2025,Progressive Metal,Metal,3.53
Wacken Open Air,August,8,2025,Folk Metal,Metal,1.94
Wacken Open Air,August,8,2025,Metalcore/Deathcore,Metal,2.46
Wacken Open Air,August,8,2025,Alternative Metal,Metal,10.66
Wacken Open Air,August,8,2025,Symphonic Metal,Metal,3.70
Wacken Open Air,August,8,2025,Nu Metal,Metal,8.05
Wacken Open Air,August,8,2025,Glam Metal,Metal,1.49
Wacken Open Air,August,8,2024,Alternative Rock,Rock,2.90
Wacken Open Air,August,8,2024,Hard Rock,Rock,12.40
Wacken Open Air,August,8,2024,Heavy Metal,Metal,4.45
Wacken Open Air,August,8,2024,Death Metal,Metal,2.41
Wacken Open Air,August,8,2024,Black Metal,Metal,2.14
Wacken Open Air,August,8,2024,Progressive Metal,Metal,3.44
Wacken Open Air,August,8,2024,Power Metal,Metal,3.38
Wacken Open Air,August,8,2024,Metalcore/Deathcore,Metal,9.25
Wacken Open Air,August,8,2024,Alternative Metal,Metal,13.18
Wacken Open Air,August,8,2024,Nu Metal,Metal,10.03
Wacken Open Air,August,8,2023,Alternative Rock,Rock,2.32
Wacken Open Air,August,8,2023,Folk Rock,Rock,2.96
Wacken Open Air,August,8,2023,Heavy Metal,Metal,14.53
Wacken Open Air,August,8,2023,Death Metal,Metal,2.23
Wacken Open Air,August,8,2023,Progressive Metal,Metal,10.83
Wacken Open Air,August,8,2023,Power Metal,Metal,3.25
Wacken Open Air,August,8,2023,Folk Metal,Metal,3.17
Wacken Open Air,August,8,2023,Thrash Metal,Metal,6.76
Wacken Open Air,August,8,2023,Metalcore/Deathcore,Metal,5.57
Wacken Open Air,August,8,2023,Punk Rock,Punk,2.12
Wacken Open Air,August,8,2022,Mainstream Pop,Pop,1.32
Wacken Open Air,August,8,2022,Alternative Hip Hop,Hip Hop,1.32
Wacken Open Air,August,8,2022,Hard Rock,Rock,1.79
Wacken Open Air,August,8,2022,Heavy Metal,Metal,6.35
Wacken Open Air,August,8,2022,Death Metal,Metal,2.16
Wacken Open Air,August,8,2022,Power Metal,Metal,2.64
Wacken Open Air,August,8,2022,Folk Metal,Metal,1.92
Wacken Open Air,August,8,2022,Alternative Metal,Metal,33.14
Wacken Open Air,August,8,2022,Industrial Metal,Metal,1.32
Wacken Open Air,August,8,2022,Nu Metal,Metal,30.42
Wacken Open Air,August,8,2019,Hard Rock,Rock,2.67
Wacken Open Air,August,8,2019,Heavy Metal,Metal,7.59
Wacken Open Air,August,8,2019,Progressive Metal,Metal,2.52
Wacken Open Air,August,8,2019,Power Metal,Metal,5.06
Wacken Open Air,August,8,2019,Folk Metal,Metal,2.20
Wacken Open Air,August,8,2019,Thrash Metal,Metal,1.66
Wacken Open Air,August,8,2019,Metalcore/Deathcore,Metal,7.75
Wacken Open Air,August,8,2019,Alternative Metal,Metal,7.85
Wacken Open Air,August,8,2019,Groove Metal,Metal,2.19
Wacken Open Air,August,8,2019,Symphonic Metal,Metal,1.80
Wacken Open Air,August,8,2018,Other Electronic Music,Electronic,2.48
Wacken Open Air,August,8,2018,Hard Rock,Rock,12.46
Wacken Open Air,August,8,2018,Heavy Metal,Metal,18.43
Wacken Open Air,August,8,2018,Death Metal,Metal,5.29
Wacken Open Air,August,8,2018,Progressive Metal,Metal,2.79
Wacken Open Air,August,8,2018,Power Metal,Metal,3.44
Wacken Open Air,August,8,2018,Folk Metal,Metal,2.68
Wacken Open Air,August,8,2018,Metalcore/Deathcore,Metal,3.41
Wacken Open Air,August,8,2018,Alternative Metal,Metal,3.47
Wacken Open Air,August,8,2018,Symphonic Metal,Metal,4.31
