Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Wireless Festival - Finsbury Park,July,7,1,USA,1.8,325.1
Wireless Festival - Finsbury Park,July,7,2,GBR,0.236,83.2
Wireless Festival - Finsbury Park,July,7,3,ZAF,0.1521,13.0
Wireless Festival - Finsbury Park,July,7,4,IND,0.1447,6.2
Wireless Festival - Finsbury Park,July,7,5,BRA,0.1354,18.8
Wireless Festival - Finsbury Park,July,7,6,CAN,0.1223,48.1
Wireless Festival - Finsbury Park,July,7,7,MEX,0.093,6.1
Wireless Festival - Finsbury Park,July,7,8,FRA,0.0877,8.5
Wireless Festival - Finsbury Park,July,7,9,NGA,0.0763,47.7
Wireless Festival - Finsbury Park,July,7,10,PHL,0.0709,13.9
