Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Wireless Festival - Finsbury Park,July,7,2025,Mainstream Pop,Pop,48.03
Wireless Festival - Finsbury Park,July,7,2025,Contemporary Hip Hop,Hip Hop,48.03
Wireless Festival - Finsbury Park,July,7,2025,Contemporary R&B,R&B,9.82
Wireless Festival - Finsbury Park,July,7,2025,Dancehall,Reggae,30.20
Wireless Festival - Finsbury Park,July,7,2025,Reggae Fusion,Reggae,9.82
Wireless Festival - Finsbury Park,July,7,2025,Afrobeat,African,20.38
Wireless Festival - Finsbury Park,July,7,2024,Mainstream Pop,Pop,109.56
Wireless Festival - Finsbury Park,July,7,2024,Afropop,Pop,4.86
Wireless Festival - Finsbury Park,July,7,2024,Alternative Hip Hop,Hip Hop,35.14
Wireless Festival - Finsbury Park,July,7,2024,Trap,Hip Hop,96.81
Wireless Festival - Finsbury Park,July,7,2024,Contemporary Hip Hop,Hip Hop,141.88
Wireless Festival - Finsbury Park,July,7,2024,Drill,Hip Hop,11.21
Wireless Festival - Finsbury Park,July,7,2024,Amapiano,Electronic,2.48
Wireless Festival - Finsbury Park,July,7,2024,Contemporary R&B,R&B,2.54
Wireless Festival - Finsbury Park,July,7,2024,Dancehall,Reggae,31.91
Wireless Festival - Finsbury Park,July,7,2024,Afrobeat,African,44.78
Wireless Festival - Finsbury Park,July,7,2023,Mainstream Pop,Pop,0.70
Wireless Festival - Finsbury Park,July,7,2023,Alternative Hip Hop,Hip Hop,74.25
Wireless Festival - Finsbury Park,July,7,2023,Trap,Hip Hop,166.65
Wireless Festival - Finsbury Park,July,7,2023,Contemporary Hip Hop,Hip Hop,132.05
Wireless Festival - Finsbury Park,July,7,2023,Drill,Hip Hop,26.06
Wireless Festival - Finsbury Park,July,7,2023,Grime,Hip Hop,2.48
Wireless Festival - Finsbury Park,July,7,2023,Contemporary R&B,R&B,15.96
Wireless Festival - Finsbury Park,July,7,2023,Alternative R&B,R&B,4.86
Wireless Festival - Finsbury Park,July,7,2023,Dancehall,Reggae,6.19
Wireless Festival - Finsbury Park,July,7,2023,Afrobeat,African,6.31
Wireless Festival - Finsbury Park,July,7,2022,Mainstream Pop,Pop,74.59
Wireless Festival - Finsbury Park,July,7,2022,Alternative Hip Hop,Hip Hop,51.64
Wireless Festival - Finsbury Park,July,7,2022,Trap,Hip Hop,88.78
Wireless Festival - Finsbury Park,July,7,2022,Contemporary Hip Hop,Hip Hop,94.57
Wireless Festival - Finsbury Park,July,7,2022,Drill,Hip Hop,21.82
Wireless Festival - Finsbury Park,July,7,2022,Contemporary R&B,R&B,104.47
Wireless Festival - Finsbury Park,July,7,2022,Soul,R&B,9.82
Wireless Festival - Finsbury Park,July,7,2022,Neo Soul,R&B,59.18
Wireless Festival - Finsbury Park,July,7,2022,Dancehall,Reggae,35.45
