"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Let Me Love You","2016-08-05","N/A","Pop","N/A","N/A","DJ Snake, Justin Bieber","N/A","N/A","N/A","N/A","48","N/A","N/A","N/A","N/A","744027587.105","N/A","N/A","N/A","484680238","2963411777","N/A","N/A","N/A","497966871","4080662207","N/A","N/A","N/A","120642","N/A","N/A","N/A","N/A","342201","2787111","N/A","N/A","N/A","39333","16724017"
"Closer","2016-07-29","N/A","Electronic","N/A","N/A","The Chainsmokers, Halsey","N/A","N/A","N/A","N/A","89","N/A","N/A","N/A","N/A","610217719.5699999","N/A","N/A","N/A","427909053","3668320504","N/A","N/A","N/A","227866065","5123372654","N/A","N/A","N/A","309635","N/A","N/A","N/A","N/A","334781","5792091","N/A","N/A","N/A","24269","16794865"
"Something Just Like This","2017-02-22","N/A","Rock","N/A","N/A","The Chainsmokers, Coldplay","N/A","N/A","N/A","N/A","114","N/A","N/A","N/A","N/A","567878392.0600001","N/A","N/A","N/A","456959633","3581160456","N/A","N/A","N/A","141384745","3153875334","N/A","N/A","N/A","359973","N/A","N/A","N/A","N/A","252764","2776111","N/A","N/A","N/A","12013","16665296"
"No Broke Boys","2025-06-06","N/A","R&B","N/A","N/A","Disco Lines, Tinashe","N/A","N/A","N/A","N/A","117","N/A","N/A","N/A","N/A","565458119.5799999","N/A","N/A","N/A","658508076","661162810","N/A","N/A","N/A","30524431","30660747","N/A","N/A","N/A","98778","N/A","N/A","N/A","N/A","9844630","10057045","N/A","N/A","N/A","N/A","N/A"
"Wake Me Up","2013-01-01","N/A","Electronic","N/A","N/A","Avicii","N/A","N/A","N/A","N/A","190","N/A","N/A","N/A","N/A","479721275.22499996","N/A","N/A","N/A","341266648","3061173586","N/A","N/A","N/A","120381262","3258706927","N/A","N/A","N/A","385896","N/A","N/A","N/A","N/A","31605","35618","N/A","N/A","N/A","20460","29685448"
"Titanium (feat. Sia)","2011-08-24","N/A","Electronic","N/A","N/A","David Guetta, Sia","N/A","N/A","N/A","N/A","204","N/A","N/A","N/A","N/A","465420879.88500005","N/A","N/A","N/A","32513","108445","N/A","N/A","N/A","222629049","2598067902","N/A","N/A","N/A","272412","N/A","N/A","N/A","N/A","704924","5181723","N/A","N/A","N/A","N/A","N/A"
"Faded","2015-12-04","N/A","Electronic","N/A","N/A","Alan Walker","N/A","N/A","N/A","N/A","212","N/A","N/A","N/A","N/A","461501359.885","N/A","N/A","N/A","212082085","2373919212","N/A","N/A","N/A","322959651","5949111091","N/A","N/A","N/A","267819","N/A","N/A","N/A","N/A","1388632","13871356","N/A","N/A","N/A","0","27726576"
"I'm Good (Blue)","2022-08-24","N/A","Electronic","N/A","N/A","David Guetta, Bebe Rexha","N/A","N/A","N/A","N/A","230","N/A","N/A","N/A","N/A","448555182.88","N/A","N/A","N/A","296969177","2361069415","N/A","N/A","N/A","192511621","1028327224","N/A","N/A","N/A","349785","N/A","N/A","N/A","N/A","76914","301038","N/A","N/A","N/A","N/A","N/A"
"Blessings","2025-05-09","N/A","Electronic","N/A","N/A","Calvin Harris, Clementine Douglas","N/A","N/A","N/A","N/A","235","N/A","N/A","N/A","N/A","444565650.43","N/A","N/A","N/A","305874226","309403946","N/A","N/A","N/A","48582407","49344188","N/A","N/A","N/A","573606","N/A","N/A","N/A","N/A","4359575","4425037","N/A","N/A","N/A","N/A","N/A"
"Lean On","2015-03-02","N/A","Electronic","N/A","N/A","Major Lazer, DJ Snake, MØ","N/A","N/A","N/A","N/A","241","N/A","N/A","N/A","N/A","441786489.335","N/A","N/A","N/A","293617501","2632317871","N/A","N/A","N/A","239617246","4440697051","N/A","N/A","N/A","256557","N/A","N/A","N/A","N/A","3673488","238152852","N/A","N/A","N/A","N/A","N/A"
