"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Oskar Med K","Norway","Electronic","Big Indie Labels, Sony Music Entertainment","2390","1586","18067","174951","57187805","459701311","-216208","11191285","103069148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10060","0","931","0","0","17264","145444","11637","N/A","N/A","367","3032","0","1578","N/A","94229","2608","16639","68","594","11253","19","2","15","131.1538939320321","154.1162041924731"
"2","Kelvin Momo","South Africa","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","3106","3657","99084","4390787","17719944","578886712","27353","1860778","4344827","4999","8000","520000","7012269","213427259","36704","1485136","5441","365","143836","680","6701","3778","1153283","84664","1455","319749","350","33908","N/A","N/A","N/A","232987","16833","633","14","35","6223","331","0","0","312.09701187483256","431.8205234685637"
"3","ZHU","United States","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group","3229","2969","6190","1001291","12893204","2245754305","383897","3971105","38434919","3752","2000","812000","4659569","1032496541","31233","8908509","10137","N/A","N/A","N/A","N/A","10313","418238","5529","-166","320985","313","248194","442","464999","145946","22700","5097","5141","75","710","1662","228","50","2615","406.352385210922","14910.698199397324"
"4","Zerb","Brazil","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3260","1534","2708","191474","35423129","1679484040","99025","8696758","108947034","8905","2000","209000","5356677","233614550","15543","1285488","39662","-212","129455","988","6326","-215","130354","123","-539","211580","166","19483","119","57536","191115","40084","1210","12708","81","936","189","120","32","2156","545.9060155860693","21216.776324262755"
"5","Route 94","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","3440","2736","3061","194312","16552220","860221645","616116","7076659","33438943","2747","1000","359000","5580685","635837753","16391","2696041","48432","20","693","7","196","137","39810","90","-364","221630","59","335809","126","156043","243019","33541","4549","5869","63","796","298","68","19","2611","498.0303151813089","29252.352494977098"
"6","ARTBAT","Ukraine","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3581","3690","9425","598160","19078092","719268867","414377","4440819","59267138","7845","5000","404000","3671244","278905367","35027","2936049","2594","7836","310153","175833","2093403","11294","933139","23761","6150","382943","646","51337","1358","206421","165444","59341","6847","3158","56","370","31","128","79","14675","3994.6160504088502","197987.07231036702"
"7","Regard","Kosovo","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","3605","1323","4698","308951","14229984","3217204307","4874","5897482","107938481","3107","0","1430000","6330627","1416633166","18747","8254774","29160","66","112746","218","82548","810","362347","492","-155","67982","265","90007","531","109222","215688","35842","1150","27189","100","1984","3657","69","19","1565","68.40283831664134","7345.0541741788475"
"8","Sam Feldt","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels, BMG","3902","1490","3886","820430","19140726","4997228307","-3252","7153644","108934181","15441","0","228000","3518340","781794060","18583","10117679","16970","185","54638","1236","15988","-762","444498","4248","-1183","591352","382","137846","41","272987","180089","34037","471","51828","111","2399","2131","286","112","7233","164.48539367409472","17173.163095048447"
"9","Mahmut Orhan","Turkey","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels","4244","6733","4510","729638","7419074","606669280","62722","2240982","13318644","4431","0","5440","7696790","1403417854","16847","7091453","2237","2210","1673611","83255","1284077","33941","2532032","347854","-69","97728","190","36603","542","151322","162526","39595","5479","4308","57","503","2276","185","8","208","89.17906020951092","1844.2678762319"
"10","Adriatique","Switzerland","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","4549","4820","6206","382688","14970358","417982921","-28218","3872705","37935025","32708","2500","94600","515187","27718122","6636","321890","4205","1134","234044","30873","1441210","12761","1030367","88475","-27","322990","367","37277","1071","309915","116074","39428","9892","2287","52","213","52","191","89","9079","2929.537569567376","100429.29321051286"
"11","&ME","Germany","Electronic","BMG, Big Indie Labels","4580","3256","3017","241947","19893000","710788957","299793","4868114","40601847","53748","400","30700","82771","11816614","1280","156687","5327","-451","170963","3179","62885","7706","681376","248221","-180","149402","308","21409","815","172084","174980","124704","6676","3268","82","513","11","182","91","16673","3473.9815570322626","180876.90789869134"
"12","Klangkarussell","Austria","Electronic","Sony Music Entertainment","4958","3151","3748","462820","17584654","1208797803","201039","4962391","39005187","9216","1000","235000","1858379","327697619","7018","1824467","32255","72","8763","740","6996","792","64397","1824","-315","273093","377","370039","160","238899","103379","21774","2169","14357","70","962","3554","139","8","210","63.590602567036605","2938.4063347148585"
"13","Mr. Belt & Wezol","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels","5034","2579","2159","209978","18959429","757348943","419776","6846896","81064133","37538","1000","104000","288262","43584675","3020","695970","14077","51","414766","32032","344827","-448","447049","19538","-333","152630","177","14686","280","77862","179890","32023","2646","8658","79","970","114","74","47","6813","771.0865373459352","39126.98247840029"
"14","Rampa","Germany","Electronic","Big Indie Labels, BMG","5058","3202","2838","238896","19707799","762935366","281603","4892656","41359862","45626","300","19200","208959","16836012","2067","231594","6951","524","178986","41857","329551","9585","715133","168884","-138","102498","300","17925","636","134605","68712","76741","8365","2137","54","257","16","248","119","16487","3252.815046878427","158874.20023419574"
