"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Oskar Med K","Norway","Electronic","Big Indie Labels, Sony Music Entertainment","2390","1586","52325","174951","168876271","459701311","-562967","11191285","103069148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10060","0","931","0","0","39172","145444","51395","N/A","N/A","1035","3032","0","1578","N/A","94229","2608","54347","73","754","11253","19","2","15","151.7552535872765","154.1162041924731"
"2","Kelvin Momo","South Africa","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","3106","3657","321723","4390787","54186643","578886712","-470311","1860778","4344827","4999","26000","520000","21357978","213427259","108500","1485136","5441","365","143836","680","67771","16905","1153283","378333","2852","319749","928","33908","N/A","N/A","N/A","232987","16833","2029","16","46","6223","331","0","0","323.33222752735213","431.8205234685637"
"3","ZHU","United States","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group","3229","2969","16138","1001291","35522133","2245754305","658903","3971105","38434919","3752","5000","812000","13491857","1032496541","78734","8908509","10137","N/A","N/A","N/A","N/A","20721","418238","45493","-1245","320985","905","248194","1275","464999","421279","22700","5097","14745","82","914","1662","228","50","2615","664.4637198851271","14910.698199397324"
"4","Zerb","Brazil","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3260","1534","8475","191474","104149652","1679484040","28856","8696758","108947034","8905","4000","209000","15051849","233614550","44868","1285488","39662","-212","129455","988","28960","-787","130354","1128","-1567","211580","394","19483","425","57536","1030206","40084","1210","46362","83","1195","189","120","32","2156","1308.242999575147","21216.776324262755"
"5","Route 94","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","3440","2736","8108","194312","43550906","860221645","2165000","7076659","33438943","2747","3000","359000","15108284","635837753","45350","2696041","48432","20","693","7","1366","305","39810","213","-1150","221630","222","335809","349","156043","635109","33541","4549","16994","72","1019","298","68","19","2611","1540.183476796577","29252.352494977098"
"6","ARTBAT","Ukraine","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3581","3690","27756","598160","54883997","719268867","248134","4440819","59267138","7845","13000","404000","10199513","278905367","88151","2936049","2594","7836","310153","175833","4205353","33002","933139","160978","38058","382943","1856","51337","4299","206421","487330","59341","6847","9359","63","461","31","128","79","14675","9289.616075445236","197987.07231036702"
"7","Regard","Kosovo","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","3605","1323","12603","308951","41347303","3217204307","216207","5897482","107938481","3107","0","1430000","17800162","1416633166","54416","8254774","29160","66","112746","218","361357","528","362347","2887","-421","67982","739","90007","1333","109222","636566","35842","1150","77454","107","2428","3657","69","19","1565","73.76733095895699","7345.0541741788475"
"8","Sam Feldt","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels, BMG","3902","1490","9901","820430","56498611","4997228307","165514","7153644","108934181","15441","0","228000","10874964","781794060","54256","10117679","16970","185","54638","1236","34893","-2564","444498","24618","-3088","591352","1061","137846","169","272987","496271","34037","471","161678","114","2842","2131","286","112","7233","175.07627162066024","17173.163095048447"
"9","Mahmut Orhan","Turkey","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels","4244","6733","11401","729638","20781145","606669280","146683","2240982","13318644","4431","-10","5440","20958609","1403417854","45955","7091453","2237","2210","1673611","83255","7503067","55888","2532032","981389","-74","97728","420","36603","1572","151322","482548","39595","5479","12458","72","689","2276","185","8","208","93.74195596903733","1844.2678762319"
"10","Adriatique","Switzerland","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","4549","4820","16135","382688","42297559","417982921","86587","3872705","37935025","32708","5300","94600","1076010","27718122","13577","321890","4205","2534","234044","130873","1960310","45717","1030367","507869","3367","322990","1120","37277","3067","309915","328822","39428","9892","6932","57","276","52","191","89","9079","7530.334952704517","100429.29321051286"
