"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Oskar Med K","Norway","Electronic","Big Indie Labels, Sony Music Entertainment","2390","1586","174951","459701311","11191285","103069148","N/A","N/A","N/A","N/A","10060","931","145444","N/A","3032","1578","2608","11253","19","2","15","154.1162041924731"
"2","Kelvin Momo","South Africa","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","3106","3657","4390787","578886712","1860778","4344827","4999","520000","213427259","1485136","5441","143836","1153283","319749","33908","N/A","16833","6223","331","0","0","431.8205234685637"
"3","ZHU","United States","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group","3229","2969","1001291","2245754305","3971105","38434919","3752","812000","1032496541","8908509","10137","N/A","418238","320985","248194","464999","5097","1662","228","50","2615","14910.698199397324"
"4","Zerb","Brazil","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3260","1534","191474","1679484040","8696758","108947034","8905","209000","233614550","1285488","39662","129455","130354","211580","19483","57536","1210","189","120","32","2156","21216.776324262755"
"5","Route 94","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","3440","2736","194312","860221645","7076659","33438943","2747","359000","635837753","2696041","48432","693","39810","221630","335809","156043","4549","298","68","19","2611","29252.352494977098"
"6","ARTBAT","Ukraine","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","3581","3690","598160","719268867","4440819","59267138","7845","404000","278905367","2936049","2594","310153","933139","382943","51337","206421","6847","31","128","79","14675","197987.07231036702"
"7","Regard","Kosovo","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","3605","1323","308951","3217204307","5897482","107938481","3107","1430000","1416633166","8254774","29160","112746","362347","67982","90007","109222","1150","3657","69","19","1565","7345.0541741788475"
"8","Sam Feldt","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels, BMG","3902","1490","820430","4997228307","7153644","108934181","15441","228000","781794060","10117679","16970","54638","444498","591352","137846","272987","471","2131","286","112","7233","17173.163095048447"
"9","Mahmut Orhan","Turkey","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels","4244","6733","729638","606669280","2240982","13318644","4431","5440","1403417854","7091453","2237","1673611","2532032","97728","36603","151322","5479","2276","185","8","208","1844.2678762319"
"10","Adriatique","Switzerland","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","4549","4820","382688","417982921","3872705","37935025","32708","94600","27718122","321890","4205","234044","1030367","322990","37277","309915","9892","52","191","89","9079","100429.29321051286"
"11","&ME","Germany","Electronic","BMG, Big Indie Labels","4580","3256","241947","710788957","4868114","40601847","53748","30700","11816614","156687","5327","170963","681376","149402","21409","172084","6676","11","182","91","16673","180876.90789869134"
"12","Klangkarussell","Austria","Electronic","Sony Music Entertainment","4958","3151","462820","1208797803","4962391","39005187","9216","235000","327697619","1824467","32255","8763","64397","273093","370039","238899","2169","3554","139","8","210","2938.4063347148585"
"13","Mr. Belt & Wezol","Netherlands","Electronic","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels","5034","2579","209978","757348943","6846896","81064133","37538","104000","43584675","695970","14077","414766","447049","152630","14686","77862","2646","114","74","47","6813","39126.98247840029"
"14","Rampa","Germany","Electronic","Big Indie Labels, BMG","5058","3202","238896","762935366","4892656","41359862","45626","19200","16836012","231594","6951","178986","715133","102498","17925","134605","8365","16","248","119","16487","158874.20023419574"
"15","Chris Stussy","Netherlands","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","5274","6349","259670","229795011","3378115","41763888","32653","61000","16950790","334094","4478","318827","551526","39333","6651","179429","21664","147","190","102","13736","55027.374527133055"
"16","Tinlicker","Netherlands","Electronic","Big Indie Labels, Universal Music Group","5446","2671","283346","1281655854","5663858","52480067","10739","120000","176805097","1400881","26872","12472","138940","89711","23773","76065","4252","529","254","104","7673","41502.19675429194"
"17","Hayla","United Kingdom","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","5526","2333","83754","1057652851","6249331","98057784","47773","29700","8701541","130562","18200","39330","116646","3082","3637","4601","5309","56","106","28","5664","53312.68576634026"
"18","Claptone","Germany","Electronic","Big Indie Labels, BMG, Universal Music Group, Warner Music Group","5547","4245","590267","1620079119","3517310","39130622","11329","465000","339018518","2288792","12046","45274","724113","1483897","96997","358220","2649","111","355","152","18665","169836.61515770294"
"19","Ben Böhmer","Germany","Electronic","Big Indie Labels","5888","3502","692587","1216395280","4198442","33298578","17779","212000","98936392","1025569","3597","199864","506939","136323","47151","160226","11300","721","231","81","5732","56298.78953759721"
"20","The Blessed Madonna","United States","Electronic","Warner Music Group, Sony Music Entertainment, Universal Music Group, Big Indie Labels","6277","2735","138929","1054329109","5335680","45419912","53734","27800","18366480","236530","27788","65159","216379","285756","17341","90428","2573","183","107","22","4555","34784.01971967214"
"21","Solomun","Germany","Electronic","Big Indie Labels, BMG, Sony Music Entertainment, Warner Music Group, Universal Music Group","6300","5888","1125864","738657133","2452863","26740969","18905","274000","145714779","1162802","4390","N/A","2117796","1334428","102466","818457","9924","266","423","137","10006","70511.93203061208"
"22","Alle Farben","Germany","Electronic","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","6460","3724","373726","2056333115","4218676","50211704","12065","80900","528566370","3100575","26858","144620","107750","173181","328390","199904","274","1733","338","44","1592","7015.912594705214"
"23","The Avener","France","Electronic","Universal Music Group, Sony Music Entertainment, Big Indie Labels","6552","4514","353330","957700775","3533424","20466729","8459","264000","365810344","1876761","51923","1106","51567","125480","402380","47169","3614","5346","151","9","777","5792.732792941899"
"24","Dance Fruits Music","Netherlands","Electronic","Big Indie Labels","7340","6039","559245","2216502454","1626163","27702015","5676","2430000","1084873664","16657320","16400","4775878","290394","31338","85768","55671","10929","1886","1147","6","411","4610.720483746511"
"25","DJ Dark","Romania","Electronic","Big Indie Labels","8069","23701","88418","275634796","710346","3564974","4119","693000","537710285","4270846","47153","20372","53891","129654","17528","123761","5311","8673","416","0","0","754.4130940112359"
"26","NBSPLV","Russian Federation","Electronic","Big Indie Labels","8330","3593","329104","992706285","4134973","6940453","16845","319000","94633519","1215284","101163","2997","32515","3266","10310","32355","66887","19716","254","0","0","168.88417683126792"
"27","Marten Lou","Germany","Electronic","Warner Music Group, Big Indie Labels","8475","5450","55009","202223855","3223217","24105893","24847","20700","19230008","102913","51773","28077","86111","N/A","1675","19175","17826","308","21","14","1772","15314.79437948283"
"28","CamrinWatsin","Ireland","Electronic","Warner Music Group, Universal Music Group, Sony Music Entertainment","8553","2377","31664","591296048","7576762","47606736","116182","4120","495478","4656","44733","104326","29529","N/A","395","29928","9716","1187","15","3","576","3762.3701619160884"
"29","Monolink","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group","8742","7143","599589","691435210","1902865","18398227","13117","511000","190516525","1930810","14227","36604","511053","184068","44461","192356","7568","215","148","64","6825","75471.4723701178"
"30","MEUTE","Germany","Electronic","Big Indie Labels, BMG","8745","18360","495318","196354372","532935","5495758","14112","620000","202100151","2434256","6945","393792","810679","530774","65623","22971","20188","2723","93","6","353","1193.892816172154"
"31","Max Dean","United Kingdom","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels","8793","6578","63566","151210537","2550195","41217788","N/A","N/A","N/A","N/A","6997","95325","2","N/A","1338","70197","7955","229","48","38","4583","22192.744887540146"
"32","Klingande","France","Electronic","Sony Music Entertainment, Universal Music Group","9167","3834","510090","1129419779","3035750","28364032","15712","84400","395103135","1832896","45096","N/A","61475","357151","149123","215823","1688","19089","156","8","487","3834.947591077459"
"33","Nora En Pure","Switzerland","Electronic","Big Indie Labels, Warner Music Group","9172","7656","493832","1044131817","1697856","29479177","15422","460000","193989479","2106158","27514","N/A","455547","242066","193112","290162","2739","566","504","149","14763","67058.40770196427"
