"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Calvin Harris","United Kingdom","Electronic","Sony Music Entertainment, Universal Music Group","50","25","234599","23437032","1083352600","32829780198","6252123","73564141","503173025","62","0","19600000","166161952","18050476340","654615","90403654","373","50475","1828968","544286","16169630","205895","11602160","1811560","-70378","14177928","39769","12248575","59933","7511320","6085601","516560","18","707314","149","7365","137","459","143","19522","4524.612845384414","78923.54633683356"
"2","David Guetta","France","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","51","29","360170","27778517","1367223291","39687459445","4929754","82976362","618443718","132","100000","27800000","319757922","23748673543","1300555","138060605","187","23175","6600494","570831","9247930","79394","12123169","2430808","-83997","47306869","94117","19920948","8788","2587492","4605664","1111133","11","1131292","208","8227","12","1075","367","47839","6115.95415060512","166170.14235821017"
"3","Marshmello","United States","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels","68","59","230985","34860512","491293541","23177325937","1219231","49319843","377746029","95","200000","58500000","205315414","19312632644","1062397","214585708","323","152522","25598491","329618","16971953","-240201","28945997","746438","-138907","17234961","15854","3081740","4581","1458207","3513085","197322","93","398453","204","6501","882","197","86","7663","1084.924460504225","9220.785871679285"
"4","DJ Snake","France","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","74","79","166762","9598346","508789077","15423344700","2502401","49149750","281807877","67","100000","25100000","223278349","16701229072","957332","129025462","1221","7570","3841686","248631","2230419","9630","10414692","1041322","-45115","6575616","13915","5770293","2385","1034705","1442114","367373","395","157663","164","3929","691","337","117","12348","278.0352206520619","21340.08531472406"
"5","Alan Walker","Norway","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group","90","116","339193","41831796","466350544","16341037648","383590","28705928","170676196","96","100000","47400000","315700385","19834234405","2128614","203676407","322","191768","15343310","702291","17835182","45208","10496960","702447","121824","8260469","14775","4027849","6313","891720","1824633","385094","195","251980","135","4434","4834","144","26","756","81.23403804968176","1765.4624311728635"
"6","Avicii","Sweden","Electronic","Universal Music Group, Big Indie Labels","91","65","151327","23680866","503515584","20370077650","2064391","39311823","214562135","101","0","21500000","102000256","10905081068","512560","81394268","N/A","70046","1573466","118786","12057916","36019","7152615","125421","-51485","17935816","29741","8314325","4621","1996890","1117684","192322","53","507253","138","6905","431","666","73","8036","990.4367975182959","23025.709416151207"
"7","The Chainsmokers","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","98","55","227609","21762142","586528549","23494664280","1741204","49893082","341059373","63","0","23000000","161037299","16547702709","522085","105180853","433","37669","3546233","470404","6079799","37884","7179324","1619249","-4447","10798542","16916","5820646","25585","1310469","2073714","243332","85","443732","168","5839","1164","259","91","8710","456.7988511766135","11298.430223468626"
"8","White Noise Radiance","United States","Electronic","Big Indie Labels","232","570","4554","47648","3008529302","28921935057","6357","811981","3685941","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","6","-2","294","244698","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Daft Punk","France","Electronic","Sony Music Entertainment","239","236","261611","11331195","608086591","16571216827","1228949","27736976","245619442","190","90000","7060000","172393179","9170855556","908094","59023679","N/A","81089","1103607","214407","5191855","181672","2082004","53124","-45787","11971085","51510","5135855","7654","124133","1690479","353142","202","244065","139","7072","612","285","59","8184","596.5017206172121","29259.87988989733"
"10","Martin Garrix","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","253","276","53899","15192504","224873267","12854080832","1498030","21858581","204207914","369","100000","15200000","89257117","10412881505","598257","85516683","447","40232","2523436","1214767","5857305","-4438","15502457","1688310","-69256","15589017","16573","7564637","39161","2221783","1896301","143957","146","271730","120","4012","369","331","188","28947","1347.7802245418181","38578.62795609422"
