"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Calvin Harris","United Kingdom","Electronic","Sony Music Entertainment, Universal Music Group","50","25","23437032","32829780198","73564141","503173025","62","19600000","18050476340","90403654","373","1828968","11602160","14177928","12248575","7511320","18","137","459","143","19522","78923.54633683356"
"2","David Guetta","France","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","51","29","27778517","39687459445","82976362","618443718","132","27800000","23748673543","138060605","187","6600494","12123169","47306869","19920948","2587492","11","12","1075","367","47839","166170.14235821017"
"3","Marshmello","United States","Electronic","Sony Music Entertainment, Universal Music Group, Big Indie Labels","68","59","34860512","23177325937","49319843","377746029","95","58500000","19312632644","214585708","323","25598491","28945997","17234961","3081740","1458207","93","882","197","86","7663","9220.785871679285"
"4","DJ Snake","France","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","74","79","9598346","15423344700","49149750","281807877","67","25100000","16701229072","129025462","1221","3841686","10414692","6575616","5770293","1034705","395","691","337","117","12348","21340.08531472406"
"5","Alan Walker","Norway","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group","90","116","41831796","16341037648","28705928","170676196","96","47400000","19834234405","203676407","322","15343310","10496960","8260469","4027849","891720","195","4834","144","26","756","1765.4624311728635"
"6","Avicii","Sweden","Electronic","Universal Music Group, Big Indie Labels","91","65","23680866","20370077650","39311823","214562135","101","21500000","10905081068","81394268","N/A","1573466","7152615","17935816","8314325","1996890","53","431","666","73","8036","23025.709416151207"
"7","The Chainsmokers","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","98","55","21762142","23494664280","49893082","341059373","63","23000000","16547702709","105180853","433","3546233","7179324","10798542","5820646","1310469","85","1164","259","91","8710","11298.430223468626"
"8","White Noise Radiance","United States","Electronic","Big Indie Labels","232","570","47648","28921935057","811981","3685941","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6","294","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Daft Punk","France","Electronic","Sony Music Entertainment","239","236","11331195","16571216827","27736976","245619442","190","7060000","9170855556","59023679","N/A","1103607","2082004","11971085","5135855","124133","202","612","285","59","8184","29259.87988989733"
"10","Martin Garrix","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","253","276","15192504","12854080832","21858581","204207914","369","15200000","10412881505","85516683","447","2523436","15502457","15589017","7564637","2221783","146","369","331","188","28947","38578.62795609422"
