"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","45","19","457828","48522376","1153155407","55253290880","-3760175","60170124","441201052","42","100000","28700000","272859261","17740129507","1045837","141694596","273","-34117","17567382","101103","5824623","-1240","26965297","1528518","7896","13556192","33109","4146149","52063","2320118","8069967","335961","69","455835","177","6277","3177","99","35","3421","15.394008606799371","2912.275809221997"
"2","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","1105876","32838363","2403676113","63258644569","9419041","75235656","407640945","103","200000","12300000","213004307","10989283651","1704437","90743210","1251","60870","2082947","29247","3572523","399802","19833741","772707","13839","746798","35515","4490792","72417","1920766","9133864","850172","612","116459","123","2939","53338","225","23","790","9.40523202152656","162.92722826508958"
"3","Sidhu Moose Wala","India","Hip Hop","Big Indie Labels, BMG","109","277","1669804","48628307","297020106","6967634702","-612487","9715721","9963165","79","400000","30000000","456557958","15290554214","3031100","228108090","N/A","-1907","1848119","16156","429449","1266877","17444481","6103126","-2112","1967414","900","35577","N/A","N/A","N/A","46475","3263","26646","20","43","95031","2","1","5","1.765050974855969","4.115079832900132"
"4","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","717671","15766537","762407074","13362370569","4610189","42059357","153556256","264","400000","13200000","196587680","6174213240","2417087","73160293","342","188348","5733617","1267972","11834367","790626","7471128","8342027","41372","10255220","66671","2945034","9912","500155","2874641","218372","505","135553","119","4466","255","58","14","3675","3.6551798992109696","32715.693079476787"
"5","Yo Yo Honey Singh","India","Pop","Big Indie Labels, Warner Music Group","118","162","2706424","41117499","370784186","5404874337","-1409638","21093382","22273718","166","70000","8320000","306438132","15385828209","1460568","136726573","69","-38508","6960850","709","112040","315086","21018473","10394516","-94815","30593393","471","111108","74","77784","100913","41824","7969","8518","34","119","100098","N/A","N/A","N/A","N/A","N/A"
"6","Juice WRLD","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","122","46","1228638","44861033","1056574433","45350900108","807182","31856359","193113689","222","100000","13800000","183886279","11221313887","1234513","127107517","931","28336","6260967","29919","2045772","-96936","11522936","102183","-9595","2802845","22889","2466563","40226","3755786","52042039","197284","1652","48180","108","1354","62412","97","14","503","6.553158771548425","136.79701754777307"
"7","GIMS","France","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","142","478","693917","9009497","533408989","7978227427","-538959","18409681","40194078","110","200000","14700000","286768322","9998527521","1252204","54660401","648","634707","6790504","2050346","22607826","145006","4728139","1216706","72976","11882134","222352","6562318","3726","77645","747408","302969","428","134663","141","2053","38602","212","2","56","18.093541384493587","354.92123753826826"
"8","Lil Uzi Vert","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","146","96","578950","20205396","977555002","31877239880","5485650","34016807","285946829","539","100000","10300000","99408357","7144172064","870751","72993733","612","314334","3122368","215952","19686912","-7436","16841956","280507","N/A","N/A","18345","1219816","35048","3260066","40559838","417602","1519","77825","95","975","43250","57","14","308","12.493696886297055","121.02644619539048"
"9","LISA (리사)","South Korea","Pop","Sony Music Entertainment, Universal Music Group","158","350","947431","14821858","245306706","5066437326","-1884382","13869975","97347676","2339","N/A","N/A","N/A","N/A","N/A","N/A","16","1049637","26940523","4293530","86816285","390555","107192591","55622643","N/A","N/A","23117","561854","N/A","N/A","N/A","47403","1343","44941","138","1395","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Megan Thee Stallion","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","194","281","330038","11458015","400293126","12626534606","2952588","25492382","186729436","616","60000","7360000","89534690","6298782750","675751","87091136","127","274741","17019888","6670499","20675871","60616","32774318","19787657","59244","8857946","15363","912573","6297","531215","5159870","167005","259","223517","134","2819","38756","56","15","839","14.040126412435985","188.84769485680386"
"11","2Pac","United States","Hip Hop","Big Indie Labels, Universal Music Group","201","164","690616","23853427","540514403","14283685333","-1293980","27740427","99880553","412","150000","9390000","161051506","5964020836","1009757","48822231","N/A","N/A","N/A","N/A","N/A","249129","10949258","997762","565","17972632","45011","4054057","16675","793006","4190187","321609","495","128139","119","3534","131033","24","1","4","0.3292544056475582","7.074822876957366"
"12","j-hope (제이홉)","South Korea","Pop","Big Indie Labels, Warner Music Group","208","412","970249","20587003","307719001","4213022573","-269271","12975415","58407726","6107","N/A","N/A","N/A","N/A","N/A","N/A","35","2937532","16735818","35648746","67763356","1343694","54538346","33149910","N/A","N/A","15168","288234","N/A","N/A","N/A","40942","5047","11185","71","359","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Dave","United Kingdom","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","216","299","506403","7396992","662733004","8276808265","16869369","36572561","225155441","1353","200000","2400000","136241595","1314799882","1245932","12815514","330","159222","2653099","1710994","39569102","157754","4193647","1763837","10130","424342","13425","519684","10937","282671","8300947","812580","1504","130885","152","1925","24721","156","4","186","39.84964258541993","124.13162397527819"
"14","Gunna","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","218","142","592612","11437741","1099288779","27292105150","993632","33963981","224576561","421","80000","3580000","159581959","6397332622","888514","58801324","630","68521","2746641","290132","3341688","75797","6198191","1467837","86145","2123037","14274","702349","204425","1814527","27247433","502906","1468","59444","82","622","1432","159","23","908","38.45041883547736","3509.643190736653"
"15","Ice Spice","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","223","658","228012","5236051","180986453","3907462066","1152984","16223308","98800343","370","350000","3740000","178951507","956462572","1020492","11755576","154","24155","13673158","3343515","83349405","-170861","11603225","1088118","-3774","934866","9490","213451","69650","629251","2364478","125879","1830","46603","78","689","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Central Cee","United Kingdom","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","233","279","624683","10814405","476884768","9598729168","1448267","25961721","167581125","589","310000","6740000","127574325","2745094717","1151247","32133095","63","607976","19839320","4920060","72006668","1135537","17836241","7793038","180097","553954","19562","635870","16892","599909","5867410","200030","1739","42359","141","1156","105170","15","1","5","0.4839648892128565","4.9436009720979515"
"17","Playboi Carti","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","271","95","511811","16073872","1132580634","25293280321","-4386184","42691970","221106068","1020","60000","4890000","57040707","2224724681","408337","32446515","1268","8085","2419802","14574","860306","-126968","13420776","84349","-3435","633007","25344","795524","26354","1859559","26970984","367814","776","83460","105","1115","11033","73","6","414","38.562920440387494","176.4588578443222"
"18","Lil Nas X","United States","Hip Hop","Sony Music Entertainment, Universal Music Group","283","198","34909","12358869","168453116","12842918591","709065","18830595","156136181","203","0","19500000","83813211","8141242618","417369","118055137","1055","-138822","27873875","91384","5298997","-134099","9936562","8387","-28789","3541345","8636","1712016","1488","440766","2369285","92816","357","166922","173","3517","86964","8","2","262","2.7936392128037153","130.61218731907547"
"19","Lil Durk","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","364","440","387774","10240706","458105723","15404803816","870050","19045593","125179229","228","110000","7540000","228969224","10529808624","1089541","86269708","1209","82035","3294212","49322","2033094","-69744","15096888","841237","-27668","4930326","9993","620754","58874","1546209","41432462","307000","1845","43865","82","632","15343","160","11","230","27.983206548944796","407.10495615170936"
"20","The Kid LAROI","Australia","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","375","167","145106","6890778","518772086","14932017557","-2830886","33191917","216635634","520","50000","6080000","70415737","3390376871","482062","45790237","1371","510","5098048","96697","4288987","-20615","4377402","977412","-6331","735950","6727","436379","4364","531470","7169783","175109","610","120494","123","2800","63596","31","4","46","7.378503429975029","98.25175697555754"
"21","6ix9ine","United States","Hip Hop","Big Indie Labels, Warner Music Group","380","596","68817","7073919","179020677","8248707510","535429","12825925","43940270","389","100000","23100000","96309483","9607100465","439769","101664309","633","-954","9736195","60976","3630340","18136","24374363","970049","26537","4065931","2647","754775","4334","1009410","6917084","110026","3767","23444","72","487","55179","46","13","347","9.376776236193752","111.04255652018156"
"22","Swae Lee","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","384","148","212410","3409398","395657357","16110967160","4889816","39292349","268753712","258","32000","953000","143830502","7635085275","674325","56975823","1038","43023","3845711","349163","13749873","-9752","11699245","952815","10743","5460817","3788","476809","760","73187","296290","197850","5670","11418","87","826","10158","99","27","1998","69.47793030560148","587.5608244521952"
"23","Frank Ocean","United States","R&B","Sony Music Entertainment","392","75","998810","21990039","1023036048","23914680940","5406896","40604016","195050580","2074","50000","2320000","34969412","1217526218","196651","11149707","3720","0","44200","0","117490","70470","7452945","0","N/A","N/A","36183","1209257","N/A","N/A","N/A","344884","3638","22712","78","987","69434","N/A","N/A","N/A","N/A","N/A"
