"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Eminem","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","12","8","835832","108775542","602434364","64158037665","-431394","73113659","325443959","6","100000","66600000","186262883","35875421873","913745","306482219","155","3094","10052714","24131","663969","-72471","44856265","255740","-104608","93278250","49872","18892835","0","2266228","579152","681908","111","121520","174","5210","39278","174","20","737","7.556181312574235","163.21409338784042"
"2","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","1251579","109220953","1655978463","133155764752","473400","88253391","531213658","20","100000","32000000","147559752","34323981637","668408","239557754","61","N/A","N/A","N/A","N/A","-106497","141677956","754432","-84068","50331513","29692","23914526","66190","4508903","11901106","1725589","74","132445","143","3954","830","250","62","8159","45.83664112442142","8730.544644685724"
"3","50 Cent","United States","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group","41","83","320779","20587208","338897903","21101171159","673577","45869950","209532011","44","100000","18300000","99522142","14350066036","488571","87227682","11","71505","8902186","486601","748058","67658","38977967","1837228","-37570","42995215","18213","7781916","4944","2129559","2260624","572861","457","46162","157","2815","29531","197","9","1008","3.0990333110446295","141.26212140428518"
"4","Doja Cat","United States","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","42","32","401573","36737888","376093275","30173586228","-221878","56921126","375136710","119","0","14000000","75113056","11762357233","374111","135617541","179","512127","27599051","6815222","26402081","5706","24665980","402896","-8708","4688715","12595","2441700","69102","2028729","1814889","466366","76","143107","176","4442","23123","65","27","1639","8.755263497388357","578.1325176572858"
"5","Kendrick Lamar","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","49","15","459787","47300023","591961050","54069475061","-3204372","72843810","446925242","99","0","20100000","79921743","13406384439","409586","129794858","809","N/A","N/A","N/A","N/A","1527","19206561","25242","-25850","13460072","25860","6065819","27929","1876636","3362308","678481","206","66648","159","2304","11126","94","27","3827","4.88996639025672","487.6259908727588"
"6","Ozuna","Puerto Rico","Latin","Sony Music Entertainment, Big Indie Labels, Warner Music Group","52","62","256644","40519898","517348742","46324313138","-1521010","51770669","286561649","18","100000","38100000","245983871","58717600565","766427","273348744","249","62376","13739730","768980","3260349","-1479","23175679","239946","-10405","12249241","8477","4696001","1765","500537","1261225","542316","196","85878","101","2313","43695","30","1","38","14.715676851601058","42.435098925234065"
"7","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","390610","43274489","636281621","64934788349","3668773","62934836","428095564","78","0","20600000","61437083","12773569882","333234","135912084","91","14113","2555020","16758","490129","-43775","60265583","8153437","-16723","8930532","13812","3072852","169204","6275902","4301303","670640","606","34302","112","1487","6321","167","59","7941","49.92736990504838","887.6217463465167"
"8","Cardi B","United States","Hip Hop","Warner Music Group, Sony Music Entertainment, Universal Music Group","57","111","167167","26784841","189640665","22052420471","-3911173","33256290","286414089","75","0","20300000","89797732","23344160616","398196","186525153","10","265851","32616149","4892947","20433944","-146478","164158236","2353254","-15400","32824810","9021","2558836","3034","947149","2468883","257767","279","65979","121","2196","24580","48","20","4264","5.586875383054413","1383.0077451960906"
"9","Nicki Minaj","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","63","72","91683","34624313","331016016","42870487324","114075","44182478","375923237","33","0","28100000","91875613","35666739349","391158","261070888","34","-58672","22158526","618669","2766648","N/A","223695311","N/A","-26355","47611137","10492","7350510","11167","1065108","1144238","424619","257","73813","167","3285","1773","197","46","3724","17.044409786465348","7891.126244379788"
"10","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","465461","32838363","977045358","63258644569","5578717","75235656","407640945","103","200000","12300000","97107529","10989283651","1003229","90743210","1251","30870","2082947","29247","562523","399802","19833741","772707","14198","746798","14708","4490792","28085","1920766","3973212","850172","612","38677","120","2436","53338","225","23","790","8.935365458457927","162.92722826508958"
