"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Sunflower - Spider-Man: Into the Spider-Verse","2019-09-06","N/A","Hip Hop","N/A","N/A","Post Malone, Swae Lee","N/A","N/A","N/A","N/A","22","N/A","N/A","N/A","N/A","953590444.7750001","N/A","N/A","N/A","891884915","4189860160","N/A","N/A","N/A","295692029","3283611317","N/A","N/A","N/A","133116","N/A","N/A","N/A","N/A","2347799","54648575","N/A","N/A","N/A","N/A","N/A"
"Hypnotize - 2014 Remaster","1997-03-04","N/A","Hip Hop","N/A","N/A","The Notorious B.I.G.","N/A","N/A","N/A","N/A","32","N/A","N/A","N/A","N/A","827767531.2749997","N/A","N/A","N/A","255969476","1607175827","N/A","N/A","N/A","64196094","316752089","N/A","N/A","N/A","67543","N/A","N/A","N/A","N/A","2596876","14142486","N/A","N/A","N/A","N/A","N/A"
"Payphone","2012-01-01","N/A","Pop","N/A","N/A","Maroon 5, Wiz Khalifa","N/A","N/A","N/A","N/A","39","N/A","N/A","N/A","N/A","773303610.42","N/A","N/A","N/A","433393341","2622992661","N/A","N/A","N/A","157248899","1794737603","N/A","N/A","N/A","132801","N/A","N/A","N/A","N/A","42893","11749647","N/A","N/A","N/A","N/A","N/A"
"All The Stars (with SZA)","2018-01-03","N/A","Hip Hop","N/A","N/A","Kendrick Lamar, SZA","N/A","N/A","N/A","N/A","66","N/A","N/A","N/A","N/A","683790790.385","N/A","N/A","N/A","650863849","2935334499","N/A","N/A","N/A","197994840","835684573","N/A","N/A","N/A","80359","N/A","N/A","N/A","N/A","38890","79945","N/A","N/A","N/A","94400","10814687"
"Pal Pal (with Talwiinder)","2025-04-10","N/A","Hip Hop","N/A","N/A","Afusic, Talwiinder, AliSoomroMusic","N/A","N/A","N/A","N/A","70","N/A","N/A","N/A","N/A","673425419.2950001","N/A","N/A","N/A","37952777","43450726","N/A","N/A","N/A","768296215","775292042","N/A","N/A","N/A","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Feel Good Inc.","2005-05-23","N/A","Rock","N/A","N/A","Gorillaz, De La Soul","N/A","N/A","N/A","N/A","90","N/A","N/A","N/A","N/A","609860823.305","N/A","N/A","N/A","543148513","2316406857","N/A","N/A","N/A","302457720","1802176404","N/A","N/A","N/A","166343","N/A","N/A","N/A","N/A","876337","2783861","N/A","N/A","N/A","N/A","N/A"
"The Way I Are","2007-01-01","N/A","Hip Hop","N/A","N/A","Timbaland, Keri Hilson, D.O.E.","N/A","N/A","N/A","N/A","94","N/A","N/A","N/A","N/A","600950329.6799998","N/A","N/A","N/A","208891","4209567","N/A","N/A","N/A","175622692","1105149256","N/A","N/A","N/A","94743","N/A","N/A","N/A","N/A","741549","3121926","N/A","N/A","N/A","N/A","N/A"
"See You Again (feat. Charlie Puth)","2015-01-01","N/A","Pop","N/A","N/A","Wiz Khalifa, Charlie Puth","N/A","N/A","N/A","N/A","97","N/A","N/A","N/A","N/A","594351120.415","N/A","N/A","N/A","258598938","2373160796","N/A","N/A","N/A","440141142","7823536330","N/A","N/A","N/A","239440","N/A","N/A","N/A","N/A","186258","1793427","N/A","N/A","N/A","N/A","N/A"
"luther (with sza)","2024-11-21","N/A","Hip Hop","N/A","N/A","Kendrick Lamar, SZA","N/A","N/A","N/A","N/A","98","N/A","N/A","N/A","N/A","593222938.325","N/A","N/A","N/A","633217796","1467981174","N/A","N/A","N/A","124742588","226069870","N/A","N/A","N/A","114850","N/A","N/A","N/A","N/A","6057517","13630591","N/A","N/A","N/A","229572","3613103"
"Flashing Lights","2007-09-11","N/A","Hip Hop","N/A","N/A","Kanye West a.k.a Ye, Dwele","N/A","N/A","N/A","N/A","115","N/A","N/A","N/A","N/A","566711264.3799999","N/A","N/A","N/A","346589280","1702792223","N/A","N/A","N/A","78808900","465292230","N/A","N/A","N/A","15648","N/A","N/A","N/A","N/A","647179","4491128","N/A","N/A","N/A","0","5241604"
