"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Dj Samir","Brazil","Electronic","Big Indie Labels, BMG","1042","1367","3650","338347","24219324","1448825711","-46446","13891081","38429041","1714","5000","821000","3414782","309409834","33980","4802108","1564","2398","881541","369902","0","78","15660","795","N/A","N/A","121","10182","N/A","N/A","N/A","279","172945","20","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Ariis","Belgium","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1222","926","6302","637753","18914261","1712057470","-33775","15044671","44876248","3876","9000","664000","145087","11605397","2910","262824","12287","137","239393","413","0","88","25769","497","N/A","N/A","56","20947","3","6152","7290","8156","127784","10","4","4","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Scythermane","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group","1245","1144","1128","302188","10219423","1464638909","-57773","8647551","29626986","13867","0","294000","406034","31939613","4616","416955","109705","N/A","N/A","N/A","N/A","-4","17084","12","N/A","N/A","43","5966","50","16521","124109","722","377416","0","0","0","5966","148","1","6","327.88197114904364","346.5157020685014"
"4","DJ FKU","United States","Hip Hop","Big Indie Labels","1403","2531","3272","521949","10988870","1463528702","-68115","7623928","25827902","1636","5000","536000","7198249","409106052","97633","6911684","4185","587","149253","54045","0","103","23808","1791","N/A","N/A","212","22498","N/A","N/A","N/A","69","67748","37","2","2","8441","104","0","0","196.14332009392805","239.98249990981537"
"5","MC GW","Brazil","Latin","Big Indie Labels, BMG, Universal Music Group, Warner Music Group, Sony Music Entertainment","1579","834","1797","1637544","33007996","5262985660","96101","21451665","102237771","3305","2000","483000","1923458","953937752","12287","10566016","6579","1415","681243","40916","0","3938","1572755","121512","-135","155413","613","325103","1","6691","441","8369","21309","260","10","37","2136","1554","3","75","1590.5283388575592","1917.7181178358062"
"6","NXGHT!","Indonesia","Electronic","Big Indie Labels","1698","1696","769","220760","4353155","660770458","-22181","5165485","24641689","23558","1000","210000","73578","6933948","1032","111136","171246","N/A","N/A","N/A","N/A","51","14016","71","N/A","N/A","38","6732","3","4896","3710","14","N/A","N/A","N/A","N/A","9985","61","0","0","148.13329664596353","150.2267681135432"
"7","ZXKAI","Brazil","Hip Hop","Big Indie Labels","2062","1423","17068","411489","24377712","590274832","256663","17093678","27795164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644933","N/A","N/A","N/A","N/A","102","11024","44","N/A","N/A","593","10168","7","547","14005","69580","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Sayfalse","United Kingdom","Hip Hop","Big Indie Labels","2246","1174","2942","408528","19201134","1743756947","-122816","13743979","34462726","6748","1000","523000","69262","9480775","932","140899","104398","0","110","0","0","-110","50934","18","N/A","N/A","92","10867","9","2584","13645","855","75892","13","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Eternxlkz","Kazakhstan","Electronic","N/A","2303","2675","994","645954","5836047","1023974932","-5096","5400683","39020478","2030","0","1080000","5611174","581576659","30440","6481221","3525","250","257073","6241","0","-1065","261686","2947","N/A","N/A","87","29168","N/A","N/A","N/A","2524","102878","11","4","5","N/A","N/A","N/A","N/A","N/A","N/A"
"10","QMIIR","United States","Electronic","Big Indie Labels","2602","3608","5052","107292","9831428","240504110","485391","7403717","25621567","5863","8000","506000","515736","296450860","5375","12129863","485049","N/A","N/A","N/A","N/A","442","27521","2452","N/A","N/A","151","1762","4","138","11496","11839","92337","41","2","4","5169","180","0","0","418.7043427357904","460.07980830604157"
