"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","1106771","43274489","1845430331","64934788349","2865691","62934836","428095564","78","0","20600000","180009082","12773569882","934774","135912084","91","34113","2555020","16758","2040129","577425","60265583","11697830","-50324","8930532","40608","3072852","508344","6275902","12382473","670640","606","102389","118","1825","6321","167","59","7941","50.96773941724328","887.6217463465167"
"2","Future","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","78","54","718863","24021836","1806494816","53553308027","1534087","53286251","391690027","102","100000","14900000","238822938","16152819536","1164266","119779444","335","93483","949035","16092","4132752","134110","25947892","2730936","-35096","10035936","25384","3939764","23898","10662462","33945599","712013","717","103322","100","1389","327","509","56","5318","1031.5464770131684","19360.18390696923"
"3","Lil Wayne","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","93","85","615504","19069958","1301393754","40599165115","545745","47097912","344401534","58","200000","14400000","292954790","22925801637","1485168","154066642","275","83515","4284355","1027707","2030773","-74403","19560719","146121","104360","50692348","29770","5790573","12055","754974","5674110","595224","1040","64678","99","1474","1174","455","41","1719","39.50328380197025","8371.253734658922"
"4","Myke Towers","Puerto Rico","Latin","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","117","121","997879","23731089","1147203783","32443431801","1909359","38241216","209419390","90","100000","14500000","511275054","24014549503","1123612","137214770","1025","-66066","4038588","28746","1684083","51568","12652408","2783717","-28840","4394879","17758","1674362","45595","532895","3162841","286884","173","260989","180","2502","73925","N/A","N/A","N/A","N/A","N/A"
"5","Juice WRLD","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","122","46","1228638","44861033","1056574433","45350900108","807182","31856359","193113689","222","100000","13800000","183886279","11221313887","1234513","127107517","931","28336","6260967","29919","2045772","-96936","11522936","102183","-9595","2802845","22889","2466563","40226","3755786","52042039","197284","1652","48180","108","1354","62412","97","14","503","6.553158771548425","136.79701754777307"
"6","Arcángel","United States","Latin","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","125","199","532270","18833423","1219229990","22460947413","1943418","30843350","168562804","70","100000","13500000","566808403","25480880166","1601870","127298148","260","71338","4288865","20334","5327995","223944","18599892","7926309","0","13690759","13986","1686224","3366","133888","1727528","329412","1949","52278","51","950","113042","11","0","0","0.7857871446287459","15.715742892574918"
"7","YoungBoy Never Broke Again","United States","Hip Hop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","126","304","796346","16478944","1051195129","19688661758","717540","20971678","116722018","116","200000","15400000","487894668","16997541149","3202135","145047584","252","440317","3497154","3041886","18163098","213489","12357581","5060993","123606","4009822","13070","695356","51837","2709730","138587049","519769","11776","3720","28","127","43874","51","2","18","14.28340553816726","50.94314523519016"
"8","Lil Baby","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","127","119","664575","22872152","1082589264","35646022070","-104531","31453137","229100027","87","100000","10400000","249054217","14779117543","1138836","112334041","292","95036","5669076","229112","8421245","26284","23185568","3657450","1497","5171504","15355","1417484","23689","1948101","34619258","568562","383","168489","142","983","8492","161","22","1071","38.36169524080793","898.2848594190048"
"9","Blessd","Colombia","Latin","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","141","298","1104064","10689309","816460005","8009754801","-1235294","25647964","126197351","266","120000","4800000","380262713","5445942701","865915","24832738","104","251478","9526052","11595770","51400396","260678","7419905","5384494","64461","3134770","9475","251633","5475","35258","1183840","184981","1324","64510","58","733","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Lil Uzi Vert","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","146","96","578950","20205396","977555002","31877239880","5485650","34016807","285946829","539","100000","10300000","99408357","7144172064","870751","72993733","612","314334","3122368","215952","19686912","-7436","16841956","280507","N/A","N/A","18345","1219816","35048","3260066","40559838","417602","1519","77825","95","975","43250","57","14","308","12.493696886297055","121.02644619539048"
