"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Jack Harlow","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","733","253","53696","4538705","139203698","12669049635","4678208","27814011","194439871","1654","10000","3160000","17151465","2509280759","134972","34029262","2871","-6908","5821353","273477","6987447","8542","6109775","440983","-71","1115293","1332","336438","1129","332470","1170486","71837","466","44128","157","2036","99496","18","4","32","1.4598985612723925","23.697791577850644"
"2","Kyle","United States","Hip Hop","Big Indie Labels, BMG, Sony Music Entertainment","4441","2201","2547","1131042","11726383","3172866961","34841","4167579","29104608","5074","0","2280000","2241966","1017668808","14935","13204830","8018","-350","1551998","27927","139776","-4124","1769478","3341","-1155","319961","247","31386","188","404054","518974","13443","14177","1332","36","137","48822","78","1","17","11.492338929666712","45.16831691163555"
"3","Nettspend","United States","Hip Hop","N/A","5093","9144","26393","464081","37760798","443245130","545614","1948179","7415157","15983","22000","158000","2476896","16718760","52396","464144","29168","4666","46203","0","0","96815","713750","18443","N/A","N/A","547","9911","8379","176831","9744516","10031","313997","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"4","osamason","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","6192","7019","24805","626965","39610330","741557273","-120546","1894772","5257048","200999","7","264","287","12624","4","316","720245","0","1460","0","0","0","6","0","N/A","N/A","814","15955","6984","229181","6262631","20114","120422","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Odd Future","United States","Hip Hop","Sony Music Entertainment","6261","8653","4413","1254065","2694481","364010920","-13437","1205197","4791276","5020","0","2520000","2029636","959712617","24861","12011426","22671","N/A","N/A","N/A","N/A","-6045","231209","80","-821","625422","299","37802","97","1151823","156871","2874","164594","26","5","8","137782","17","0","0","0.22441739236468317","4.488347847293664"
"6","Glokk40Spaz","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels","7665","10222","13699","418556","23788598","487428644","-12262","1469712","1207734","13090","4000","197000","1870825","65931654","22877","1342442","365917","N/A","N/A","N/A","N/A","0","1469","0","N/A","N/A","312","9144","1403","103531","2997354","13849","333322","15","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Phora","United States","Hip Hop","N/A","8997","9494","2999","849978","3056251","1112255477","-25810","685668","10009922","9759","0","1210000","997033","506016344","9360","7787415","8068","1135","386734","36505","77495","-12670","961489","35899","23825","1063241","105","24125","23","237792","177586","3900","81447","40","5","17","105623","N/A","N/A","N/A","N/A","N/A"
"8","Nine Vicious","United States","Hip Hop","Big Indie Labels","9496","12995","35392","208797","24869263","173665893","87425","1069536","1108406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13910","N/A","N/A","N/A","N/A","88197","459062","153239","N/A","N/A","504","2878","7575","57728","7061244","26104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Autumn!","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","10561","9532","3839","653310","11695283","866644153","-102082","1166502","2189015","24558","0","237000","469826","44745895","3554","1001046","18475","-1149","330250","11820","115669","-2988","542379","8950","N/A","N/A","116","9146","490","235183","1847787","5686","104331","54","11","14","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Gone Wallace","United States","Hip Hop","Other Indie / Unsigned","10691","399421","9","1518","2612","663105","-22","1059","3929","4661","2500","41000","7302771","102206835","79543","1925525","409676","N/A","N/A","N/A","N/A","-33","2299","49","N/A","N/A","2","20","9","1638","749","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Summrs","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels","10998","9653","5873","551454","11325181","709188095","71517","1379660","3012863","25485","2000","172000","676309","42802410","6284","817654","35281","N/A","N/A","N/A","N/A","-6526","470317","23178","-1","173","132","9680","961","236479","2074213","5182","69745","167","3","4","87045","16","0","0","2.3671401036290827","47.342802072581655"
