"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Jack Harlow","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","733","253","8993","4538705","29058121","12669049635","783862","27814011","194439871","1654","0","3160000","2791556","2509280759","16631","34029262","2871","-2671","5821353","42638","0","5734","6109775","18514","-641","1115293","306","336438","174","332470","233979","217","466","10075","105","1262","99496","18","4","32","1.4598985612723925","23.697791577850644"
"2","Kyle","United States","Hip Hop","Big Indie Labels, BMG, Sony Music Entertainment","4441","2201","540","1131042","2622492","3172866961","2624","4167579","29104608","5074","0","2280000","493693","1017668808","2808","13204830","8018","-150","1551998","13321","0","-775","1769478","2989","-268","319961","52","31386","15","404054","107585","16","14177","300","24","71","48822","78","1","17","11.492338929666712","45.16831691163555"
"3","Nettspend","United States","Hip Hop","N/A","5093","9144","4257","464081","6641261","443245130","-134674","1948179","7415157","15983","0","158000","52669","16718760","792","464144","29168","1593","46203","0","0","1565","713750","4527","N/A","N/A","108","9911","1384","176831","1347383","145","313997","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"4","osamason","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","6192","7019","5013","626965","8634116","741557273","-90018","1894772","5257048","200999","0","264","90","12624","2","316","720245","0","1460","0","0","0","6","0","N/A","N/A","160","15955","1334","229181","1332611","132","120422","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Odd Future","United States","Hip Hop","Sony Music Entertainment","6261","8653","901","1254065","572049","364010920","-21652","1205197","4791276","5020","0","2520000","434178","959712617","5090","12011426","22671","N/A","N/A","N/A","N/A","-192","231209","31","0","625422","56","37802","-11","1151823","32909","4","164594","8","4","5","137782","17","0","0","0.22441739236468317","4.488347847293664"
"6","Glokk40Spaz","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels","7665","10222","2707","418556","5407755","487428644","-16227","1469712","1207734","13090","1000","197000","577217","65931654","6783","1342442","365917","N/A","N/A","N/A","N/A","0","1469","0","N/A","N/A","87","9144","264","103531","591179","459","333322","15","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Phora","United States","Hip Hop","N/A","8997","9494","707","849978","656508","1112255477","-12876","685668","10009922","9759","0","1210000","243906","506016344","3399","7787415","8068","1083","386734","36577","0","-997","961489","19803","9381","1063241","24","24125","-19","237792","38038","56","81447","8","3","5","105623","N/A","N/A","N/A","N/A","N/A"
"8","Nine Vicious","United States","Hip Hop","Big Indie Labels","9496","12995","17641","208797","8065010","173665893","116518","1069536","1108406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13910","N/A","N/A","N/A","N/A","32144","459062","28677","N/A","N/A","180","2878","2693","57728","3633523","169","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Autumn!","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","10561","9532","759","653310","2480152","866644153","-34953","1166502","2189015","24558","0","237000","79235","44745895","558","1001046","18475","-441","330250","-626","0","-598","542379","1007","N/A","N/A","35","9146","131","235183","380466","147","104331","12","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Gone Wallace","United States","Hip Hop","Other Indie / Unsigned","10691","399421","5","1518","710","663105","10","1059","3929","4661","400","41000","1099335","102206835","11735","1925525","409676","N/A","N/A","N/A","N/A","1","2299","8","N/A","N/A","0","20","3","1638","186","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
