"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Daft Punk","France","Electronic","Sony Music Entertainment","239","236","758178","11331195","2342538623","16571216827","4834582","27736976","245619442","190","480000","7060000","688021681","9170855556","3441448","59023679","N/A","315609","1103607","2444407","12906805","408371","2082004","465996","-195120","11971085","271209","5135855","25448","124133","4961431","353142","202","1008906","149","9212","612","285","59","8184","4010.06315741044","29259.87988989733"
"2","HUGEL","France","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","625","541","352838","806451","1530361601","3848149070","3279448","24060977","217122872","2659","256000","1140000","178584276","845787378","947084","7632803","535","1135076","1893524","17438975","101871261","1226616","2452711","8626993","1440025","1635551","22305","51080","41139","161003","6932335","644943","314","737069","112","3657","1","325","129","15443","127985.75098699093","269430.4636912148"
"3","Fred again..","United Kingdom","Electronic","Warner Music Group, Sony Music Entertainment, Big Indie Labels","725","561","621980","2543762","1401918632","5025471003","5673181","19442819","219818762","2531","350000","1100000","109715831","409777622","1473124","5836499","529","326369","1506660","6676448","27040815","1302430","4367620","11279932","116170","189352","36832","113070","265912","635670","24239630","184945","4463","71434","90","1253","20","175","56","15948","16390.21874472212","93484.86665772351"
"4","Disclosure","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","909","379","110657","2419152","930206921","7544513168","1139847","22923439","230816719","1273","40000","1840000","98302520","1598590879","368239","10122961","4630","47652","272410","838269","4338752","49333","1013189","862687","-25033","1766475","16905","978886","45421","1435066","4838738","88839","1395","239299","114","2896","37","336","117","12828","22099.336391352965","74720.87399987924"
"5","Bob Sinclar","France","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1033","826","89352","787538","635998319","2807013776","2845990","19819212","80721056","2224","67000","634000","125430894","1439659493","645563","7905038","1958","59935","762234","2175793","9201623","223825","1632201","3030979","-20323","2641673","26745","1907337","5165","31368","1614076","192729","433","608646","131","5944","63","1213","79","8559","17862.598198052856","75840.7512264633"
"6","John Summit","United States","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1317","1169","223789","699166","771022426","2210794026","3050542","13440002","161849379","8821","91000","316000","46103271","154964584","479004","2025762","1124","320375","1061928","11361943","61861649","489907","1633999","9186803","115802","235062","6119","17147","73498","252569","18955931","96994","1526","222132","96","1806","3","122","90","21640","67200.71746477242","344106.4392993352"
"7","Disco Lines","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","1380","630","185068","353573","822655639","1237908303","19565065","22096503","250772485","17026","30700","75800","18545647","38011369","172746","514650","2030","248869","655709","5362419","13575062","312070","522783","2945497","26112","27934","3599","5540","40767","108454","17600707","139101","2854","112764","93","1055","417","67","27","1759","7226.974717439226","12010.187482154883"
"8","Vintage Culture","Brazil","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","1437","1538","134825","2065095","514164450","3885312157","-1639134","7095181","80932151","4339","50000","1240000","59232072","1070342516","372365","8910910","434","80235","379758","1039769","8504923","983261","11677771","16279801","-45737","2506231","22192","524818","27878","739430","5402733","62328","2910","115416","91","1279","14","422","213","21366","25217.16620935582","218502.61240813707"
"9","James Hype","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","1544","1121","94769","539807","441827410","2383550238","2279814","12027868","176194791","3258","150000","1260000","88875941","587954591","1039290","9312727","2182","452369","1676979","8924284","10824330","272182","1699275","4645840","324899","613976","5789","29615","34349","307704","7777684","65815","614","471757","110","3450","13","157","73","11226","25285.466244289077","161621.79689001356"
"10","R3hab","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","1570","1000","56170","2647508","462975933","7671384487","-2982389","11400427","159483201","2622","30000","1950000","81522839","2329126653","401172","23215659","3798","117147","348492","1502109","8990027","-46942","2532469","403509","-143468","6262168","29154","1807586","4778","3938365","10934238","58883","437","599473","111","3778","863","812","191","12829","1642.1234706688922","19910.98367743235"
"11","Gabry Ponte","Italy","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1637","688","119913","757252","745401855","4529680992","-3923956","16017050","164070157","2389","106000","932000","196397270","1701045485","965286","12806603","6515","152375","1292407","2847228","8845863","108768","892900","1375089","54197","1760166","22083","206474","4038","27330","1876028","90957","582","488693","104","3506","510","386","98","5122","3773.156107842156","15268.347994410067"
"12","Duke Dumont","United Kingdom","Electronic","Sony Music Entertainment, Universal Music Group","1696","1460","66353","832574","351114671","2456434651","1170749","9197190","62269264","1166","30000","1360000","100878075","1728517405","308364","8501155","10475","46872","106009","928574","3888580","28515","292917","242493","-7551","437991","4904","1074878","6981","445979","4325204","44074","1217","272804","112","3471","1020","240","65","5195","544.3340210204876","39024.46077312595"
"13","CYRIL","Australia","Electronic","Warner Music Group, Big Indie Labels","1709","721","116774","473788","914398257","2208882827","-4874509","15644142","157899353","9632","57000","231000","57944075","156506190","321624","1100429","12290","42432","785065","1441077","7242926","10300","117015","150649","2525","25188","N/A","N/A","11045","79468","4642494","131423","381","653711","109","3932","565","37","13","1087","3402.458160669443","8910.561055976648"
"14","Ian Asher","United States","Electronic","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","1805","1768","144332","282899","362321528","620737514","8251408","10848996","68571577","11327","39700","106000","31956871","41837564","296234","731085","930","175752","7041089","28530923","96718411","32202","1392233","3231326","1670","11141","2275","5054","22499","184393","7140804","50566","16843","13242","52","229","1071","37","6","544","711.99118699775","5206.026498388451"
"15","Topic","Germany","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","1840","591","58043","345863","773905233","5214261521","-1264079","17099616","190492179","3337","26000","604000","52382064","870548698","190244","6666845","17962","67308","204300","1531709","2605773","20016","236444","241500","-1505","113623","6534","149023","1663","21039","1013354","123020","604","480415","123","3919","136","187","45","3914","21492.56939422867","37480.70438768716"
"16","Keinemusik","Germany","Electronic","Big Indie Labels, BMG","1956","1082","146204","583625","732287026","1689070806","-2787381","11648988","114961129","9477","65000","277000","67105716","191397021","314764","1264070","5420","41317","345699","623178","6040217","175448","1321306","3366215","4058","89688","8624","22727","33379","295735","8795877","218752","1439","239657","105","2306","6","53","47","11088","80888.74958219624","159151.22369289788"
"17","Dom Dolla","Australia","Electronic","Big Indie Labels, Sony Music Entertainment, Warner Music Group","2029","1559","134791","683524","412792849","1626730583","-2031483","7365710","149143839","11381","51000","257000","24596157","166241701","251229","2197376","1302","245737","890773","10354345","22194960","337167","1465244","6420994","120597","235236","3895","18517","41622","250558","8175435","48296","2225","154599","93","1448","7","120","58","14882","43546.25065079654","276990.4279115339"
"18","French Fuse","France","Electronic","Big Indie Labels","2033","19343","18325","82192","36256353","68151286","230857","1127148","489388","1162","377000","853000","296101355","407099030","7663707","10511988","237","1091743","4607153","47374089","199902311","897139","3844010","15288228","778811","1448807","5955","27693","325","8615","115960","8783","82502","1227","18","40","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Purple Disco Machine","Germany","Electronic","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group, BMG","2143","1449","89604","884277","510599219","3355034384","-1802525","8605781","77745819","2461","41000","678000","72058219","816279366","298773","5230496","13304","8883","106974","111989","559708","36404","483237","507069","9045","222394","21191","158072","8793","146275","1186129","128306","275","814694","122","4870","43","525","255","53306","8251.944092225234","262359.2623521568"
"20","Sonny Fodera","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","2169","1573","82557","343846","405285183","1729979164","-623672","8736223","147205210","9394","34000","144000","62621748","211188511","257286","1330149","3504","58040","339962","1661179","9768649","217568","789543","673451","12642","283108","4037","30533","16139","211849","15910222","140666","424","595190","106","2628","115","667","224","14598","10922.1542060409","173676.8172287913"
"21","Adam Port","Germany","Electronic","Warner Music Group, Big Indie Labels, Universal Music Group, BMG","2478","1123","91118","366606","720005884","1673063118","-4131980","11456029","116275496","43529","44300","61400","1160560","14860926","9630","149033","7024","55790","441920","3435607","7949736","71250","786545","3936305","-1147","106113","6952","48119","15469","179244","6305457","160540","11268","22565","69","398","15","219","104","12903","52583.183277434015","146422.72856041216"
"22","Fatboy Slim","United Kingdom","Electronic","BMG, Big Indie Labels","2528","2203","132799","1475999","161214838","1290752467","656071","6583952","59627396","5115","67000","705000","43691820","491898898","398042","4256862","2854","96803","276510","1086576","12765916","204096","902665","910713","32482","1539150","25478","1240322","9747","337285","1771115","50834","1465","229739","115","4348","954","435","49","5060","1783.4042103472666","66737.62723771107"
"23","MK","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","2603","1244","62244","377979","417937622","2647521304","2799193","10359889","156800727","6920","35000","209000","40395999","267141669","208967","1415267","9745","88023","166248","3418649","12044704","41704","344806","470044","17707","289242","3272","52282","13793","376337","18440972","107947","3276","98865","97","1456","70","521","105","8066","9770.442135391479","90720.63565398213"
"24","Don Diablo","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","2632","2483","24066","1864325","227664183","3103182718","-129973","6288003","74836895","5459","10000","1400000","32610984","1057200237","139163","10817894","3302","421771","1012417","1689268","13170421","-44361","2170909","567178","-57436","2627636","5555","370274","3088","515403","1889276","36080","1529","220310","99","1973","686","424","138","20244","2550.49037672052","25831.153405641795"
