"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Daft Punk","France","Electronic","Sony Music Entertainment","239","236","11331195","16571216827","27736976","245619442","190","7060000","9170855556","59023679","N/A","1103607","2082004","11971085","5135855","124133","202","612","285","59","8184","29259.87988989733"
"2","HUGEL","France","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","625","541","806451","3848149070","24060977","217122872","2659","1140000","845787378","7632803","535","1893524","2452711","1635551","51080","161003","314","1","325","129","15443","269430.4636912148"
"3","Fred again..","United Kingdom","Electronic","Warner Music Group, Sony Music Entertainment, Big Indie Labels","725","561","2543762","5025471003","19442819","219818762","2531","1100000","409777622","5836499","529","1506660","4367620","189352","113070","635670","4463","20","175","56","15948","93484.86665772351"
"4","Disclosure","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment","909","379","2419152","7544513168","22923439","230816719","1273","1840000","1598590879","10122961","4630","272410","1013189","1766475","978886","1435066","1395","37","336","117","12828","74720.87399987924"
"5","Bob Sinclar","France","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1033","826","787538","2807013776","19819212","80721056","2224","634000","1439659493","7905038","1958","762234","1632201","2641673","1907337","31368","433","63","1213","79","8559","75840.7512264633"
"6","John Summit","United States","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1317","1169","699166","2210794026","13440002","161849379","8821","316000","154964584","2025762","1124","1061928","1633999","235062","17147","252569","1526","3","122","90","21640","344106.4392993352"
"7","Disco Lines","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","1380","630","353573","1237908303","22096503","250772485","17026","75800","38011369","514650","2030","655709","522783","27934","5540","108454","2854","417","67","27","1759","12010.187482154883"
"8","Vintage Culture","Brazil","Electronic","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","1437","1538","2065095","3885312157","7095181","80932151","4339","1240000","1070342516","8910910","434","379758","11677771","2506231","524818","739430","2910","14","422","213","21366","218502.61240813707"
"9","James Hype","United Kingdom","Electronic","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","1544","1121","539807","2383550238","12027868","176194791","3258","1260000","587954591","9312727","2182","1676979","1699275","613976","29615","307704","614","13","157","73","11226","161621.79689001356"
"10","R3hab","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","1570","1000","2647508","7671384487","11400427","159483201","2622","1950000","2329126653","23215659","3798","348492","2532469","6262168","1807586","3938365","437","863","812","191","12829","19910.98367743235"
