"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Anyma","Italy","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels","2001","2436","223566","910213","405900359","1111227047","-1075423","6552730","62166667","3530","233000","1040000","127158249","359167866","1133408","5555962","2751","299192","2358479","7289285","76234237","511578","3528945","5784781","43631","455573","12387","39688","24519","112123","2000447","117610","2917","113515","86","1083","8","83","74","11452","32754.44570166193","161676.59748043274"
"2","HOLY PRIEST","Germany","Electronic","Big Indie Labels, Warner Music Group","2323","4344","333216","556520","272269729","357214311","2807762","4642981","15129589","7518","133900","206000","42554219","51489888","674069","963883","1263","890055","1705126","17714346","36328479","368008","1239696","3192409","29281","32310","22620","30312","58932","129336","11817897","16903","31601","5502","24","67","2925","38","31","3926","401.3367176425893","1224.0560844051704"
"3","Charlotte de Witte","Belgium","Electronic","Big Indie Labels","2619","6419","218623","1316621","99393257","504784703","-293921","1910098","24380991","6956","134000","949000","34390642","193002782","400802","2433209","738","445906","1634377","7304382","12471151","823696","4685925","10798994","252776","3174742","21394","153722","49038","500171","4345095","26856","11508","22362","45","297","139","136","84","11731","6100.001248984145","111362.65982468305"
"4","DJ Dime","United States","Electronic","N/A","2979","185149","105","1319","609953","1970095","-15772","11939","260377","1064","1210000","1410000","23513733","53625812","57667","454131","69026","-206","23670","100","344","84974","130968","177","-13","1105","3","32","-16","7232","48101","8","171073","275","3","4","41798","34","0","0","17.243600565869937","18.11160528855052"
"5","Paul Kalkbrenner","Germany","Electronic","Sony Music Entertainment","3187","3634","93306","1382093","228669278","1479825478","621526","3414863","18485201","6974","50000","741000","39051543","596832612","248770","3107234","7354","50975","165173","761141","6084379","84022","1031229","1565163","9474","2452171","35442","712452","17600","445837","2132758","47372","1435","229847","82","1957","2620","225","41","2483","269.70807662159774","11394.334501994008"
"6","Boris Brejcha","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","3751","6361","138973","1657437","156349959","1089716711","-156502","1721652","13307772","5163","80000","1380000","52949166","518232173","391726","4832211","2597","50851","354991","501184","3841823","86233","1954068","2529155","39848","1733185","17949","258916","32638","803959","6332732","23499","5653","54581","170","841","415","642","168","13462","3757.399752769134","45466.35241966041"
"7","elysian.","United Kingdom","Electronic","Big Indie Labels","4527","4865","21059","21449","176375608","182522663","5805458","6002874","16531380","4055","184400","242000","90306411","101556852","925186","1139576","76589","15","206","16","516","5347","25191","10867","-377","14251","471","477","1922","316815","9188348","58848","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Bennett","Germany","Electronic","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","4709","1769","55656","322070","328140863","1131954275","-1505961","7272302","91347172","10210","26000","188000","54316161","178977749","257263","1491291","22280","2323","122210","162136","2060872","5127","84473","68013","63","319","N/A","N/A","2972","18609","1900162","23366","5459","57633","71","839","971","15","7","1149","810.9737170411638","5772.9004555823085"
"9","Sara Landry","United States","Electronic","Big Indie Labels","4742","8265","106951","436207","75716875","182127676","-366061","1160159","11672970","20744","48000","153000","7875288","16467686","148884","400483","2747","192133","880094","4300976","22023026","240045","1439936","5301927","37457","201129","5386","16881","30551","166303","2724082","3469","40440","3823","35","90","4065","76","43","3652","259.20637369576247","1477.8431189722976"
"10","HBz","Germany","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment, BMG","4952","5039","43555","434579","284989594","1449020629","-890116","3201349","18760402","5005","10000","1010000","76542186","1136281411","382765","9935067","13085","24486","351922","1066708","4930626","17731","178780","585488","47","27494","7724","48302","2409","46638","1684886","8214","5395","56845","52","546","3978","148","16","353","574.3600337596758","900.3927019391767"
