"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Anyma","Italy","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels","2001","2436","39529","910213","31182671","1111227047","625732","6552730","62166667","3530","40000","1040000","10302486","359167866","135374","5555962","2751","19192","2358479","459285","8193577","7306","3528945","363250","1311","455573","913","39688","1304","112123","120276","117610","2917","8065","74","614","8","83","74","11452","3362.669720162108","161676.59748043274"
"2","HOLY PRIEST","Germany","Electronic","Big Indie Labels, Warner Music Group","2323","4344","27358","556520","30490772","357214311","549304","4642981","15129589","7518","12000","206000","5132463","51489888","77791","963883","1263","38265","1705126","864346","3986639","55016","1239696","383608","1335","32310","2041","30312","3749","129336","870453","16903","31601","557","12","20","2925","38","31","3926","94.46512109411677","1224.0560844051704"
"3","Charlotte de Witte","Belgium","Electronic","Big Indie Labels","2619","6419","15304","1316621","8016885","504784703","-233107","1910098","24380991","6956","7000","949000","2857061","193002782","31294","2433209","738","5906","1634377","234382","930188","77065","4685925","497050","6118","3174742","1836","153722","3221","500171","337592","26856","11508","1703","31","144","139","136","84","11731","497.9484206589564","111362.65982468305"
"4","DJ Dime","United States","Electronic","N/A","2979","185149","5","1319","27608","1970095","-24920","11939","260377","1064","200000","1410000","1361411","53625812","2177","454131","69026","-6","23670","0","19","18081","130968","102","-4","1105","1","32","0","7232","121","8","171073","11","2","3","41798","34","0","0","15.749325046197992","18.11160528855052"
"5","Paul Kalkbrenner","Germany","Electronic","Sony Music Entertainment","3187","3634","8323","1382093","16335406","1479825478","-418435","3414863","18485201","6974","3000","741000","3177588","596832612","16906","3107234","7354","275","165173","3311","52019","3970","1031229","3958","-2559","2452171","1861","712452","1120","445837","170022","47372","1435","17922","66","1165","2620","225","41","2483","97.07326065299829","11394.334501994008"
"6","Boris Brejcha","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","3751","6361","11120","1657437","12096460","1089716711","55698","1721652","13307772","5163","0","1380000","4437392","518232173","29226","4832211","2597","951","354991","11184","98703","-1379","1954068","18019","-2607","1733185","1279","258916","2206","803959","472456","23499","5653","3502","47","265","415","642","168","13462","631.773634506223","45466.35241966041"
"7","elysian.","United Kingdom","Electronic","Big Indie Labels","4527","4865","2207","21449","19026163","182522663","-91974","6002874","16531380","4055","6000","242000","5808356","101556852","42654","1139576","76589","2","206","-4","58","-89","25191","122","-39","14251","48","477","151","316815","891397","58848","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Bennett","Germany","Electronic","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","4709","1769","4218","322070","24493358","1131954275","-139595","7272302","91347172","10210","1000","188000","4542857","178977749","21419","1491291","22280","-147","122210","2136","8517","-279","84473","2506","2","319","N/A","N/A","185","18609","138485","23366","5459","4613","54","391","971","15","7","1149","78.84914628974713","5772.9004555823085"
"9","Sara Landry","United States","Electronic","Big Indie Labels","4742","8265","6456","436207","4405224","182127676","-223405","1160159","11672970","20744","3000","153000","682340","16467686","12989","400483","2747","2493","880094","110976","301926","13161","1439936","179579","2257","201129","362","16881","1775","166303","156141","3469","40440","255","15","29","4065","76","43","3652","82.64875888364323","1477.8431189722976"
"10","HBz","Germany","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment, BMG","4952","5039","3243","434579","19394475","1449020629","-323743","3201349","18760402","5005","0","1010000","5978139","1136281411","30315","9935067","13085","2096","351922","116708","192716","1298","178780","4801","21","27494","511","48302","117","46638","116424","8214","5395","5638","34","288","3978","148","16","353","159.10918319092085","900.3927019391767"
