"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Anyma","Italy","Electronic","Universal Music Group, Warner Music Group, Big Indie Labels","2001","2436","29013","910213","7576958","1111227047","806705","6552730","62166667","3530","30000","1040000","3524358","359167866","89030","5555962","2751","10715","2358479","236879","0","9911","3528945","137511","1629","455573","242","39688","397","112123","37064","2902","2917","1785","63","391","8","83","74","11452","1116.6080281495774","161676.59748043274"
"2","HOLY PRIEST","Germany","Electronic","Big Indie Labels, Warner Music Group","2323","4344","5339","556520","6929957","357214311","34247","4642981","15129589","7518","3000","206000","1114030","51489888","18585","963883","1263","6361","1705126","273626","0","14019","1239696","145675","426","32310","441","30312","803","129336","187233","420","31601","130","8","11","2925","38","31","3926","79.42702444738839","1224.0560844051704"
"3","Charlotte de Witte","Belgium","Electronic","Big Indie Labels","2619","6419","3299","1316621","1773853","504784703","-60934","1910098","24380991","6956","2000","949000","637333","193002782","7145","2433209","738","1473","1634377","79304","0","25828","4685925","177077","1511","3174742","394","153722","717","500171","71176","450","11508","382","21","78","139","136","84","11731","215.04644841421032","111362.65982468305"
"4","DJ Dime","United States","Electronic","N/A","2979","185149","0","1319","5055","1970095","-977","11939","260377","1064","50000","1410000","343316","53625812","545","454131","69026","-1","23670","0","0","1019","130968","21","-1","1105","0","32","0","7232","19","0","171073","3","1","1","41798","34","0","0","15.749325046197992","18.11160528855052"
"5","Paul Kalkbrenner","Germany","Electronic","Sony Music Entertainment","3187","3634","1862","1382093","3576159","1479825478","-45635","3414863","18485201","6974","1000","741000","743395","596832612","4278","3107234","7354","54","165173","-2538","0","440","1031229","721","-539","2452171","384","712452","238","445837","36044","5393","1435","3815","52","717","2620","225","41","2483","85.17144558627568","11394.334501994008"
"6","Boris Brejcha","Germany","Electronic","Big Indie Labels, Sony Music Entertainment","3751","6361","2457","1657437","2642164","1089716711","-28883","1721652","13307772","5163","0","1380000","907263","518232173","5342","4832211","2597","292","354991","3132","0","-63","1954068","6110","-639","1733185","276","258916","493","803959","98941","313","5653","839","38","161","415","642","168","13462","476.9460103698746","45466.35241966041"
"7","elysian.","United Kingdom","Electronic","Big Indie Labels","4527","4865","519","21449","4734433","182522663","-17045","6002874","16531380","4055","1000","242000","1163923","101556852","8431","1139576","76589","1","206","0","0","-15","25191","15","-11","14251","10","477","31","316815","196826","654","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Bennett","Germany","Electronic","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","4709","1769","895","322070","5562674","1131954275","-55148","7272302","91347172","10210","0","188000","966803","178977749","4591","1491291","22280","-19","122210","578","0","-87","84473","437","2","319","N/A","N/A","40","18609","28712","214","5459","1029","40","206","971","15","7","1149","56.12126762397133","5772.9004555823085"
"9","Sara Landry","United States","Electronic","Big Indie Labels","4742","8265","1649","436207","948259","182127676","-24738","1160159","11672970","20744","0","153000","162734","16467686","2742","400483","2747","761","880094","29804","0","9854","1439936","72119","347","201129","81","16881","429","166303","33616","29","40440","56","8","14","4065","76","43","3652","79.81692901924022","1477.8431189722976"
"10","HBz","Germany","Electronic","Universal Music Group, Big Indie Labels, Sony Music Entertainment, BMG","4952","5039","706","434579","4333825","1449020629","-38311","3201349","18760402","5005","0","1010000","1234394","1136281411","6291","9935067","13085","837","351922","50234","0","254","178780","245","3","27494","101","48302","24","46638","24229","127","5395","1325","25","152","3978","148","16","353","159.10918319092085","900.3927019391767"
"11","Amelie Lens","Belgium","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","5064","9009","1318","761020","1106766","255312407","-39128","1378117","25009956","16452","0","488000","138803","88281043","1292","1665377","2342","1541","793844","41584","0","2959","2706662","108660","388","1610907","185","98476","312","381696","38413","420","18334","243","25","58","1125","87","60","5639","107.26135320869157","51789.66778434073"
"12","Padre Guilherme","Portugal","Electronic","Big Indie Labels","5177","33371","1865","250260","296953","13508557","4009","225271","187675","11199","3000","131000","746644","10194631","7384","170515","122","1093","2358095","21482","0","18354","2816070","65111","2218","690227","90","6811","75","12306","2148","102","87817","16","3","3","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Maddix","Netherlands","Electronic","Big Indie Labels, Warner Music Group, Sony Music Entertainment","5464","3464","679","234129","3952627","951035333","-35983","4644180","50979487","17018","0","152000","212356","71660605","3536","1371397","5600","255","472602","13507","0","442","543866","5729","609","272733","84","33968","159","92099","55675","128","7239","800","31","118","121","200","104","14228","436.3662416582729","38861.91980070836"
"14","Miss Monique","Ukraine","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","5750","12018","1386","402439","1149209","203142112","19102","1066150","17718879","7071","0","1280000","574409","318740331","5586","4390614","4387","5468","438168","64234","0","1776","1104376","33540","785","503380","113","21864","343","179124","36690","1","12139","329","30","86","194","119","69","4206","238.04346269540244","32408.7858491328"
