"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Tiësto","Netherlands","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","299","159","53173","8240257","150191170","17910483663","-383335","34527323","392099768","555","10000","7170000","29117104","6085537246","137205","40401281","635","-2710","1247424","4169","42490","18240","7906233","163848","-23628","17894270","6177","4064772","2320","2067886","916678","258379","168","87150","126","3942","42","1347","300","38395","1363.0761909176983","114077.04354789572"
"2","Armin Van Buuren","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","757","862","21425","4633102","63240185","8161323553","155016","14042635","118019573","1124","10000","6110000","19054039","3743336775","144989","31335001","1501","1203","2375607","139514","453514","15638","4952589","204564","5129","9380101","5348","1911144","2531","1189077","1082378","123284","210","75854","108","3141","119","3121","534","38090","1965.7814137688836","88265.38359455456"
"3","DJ Dime","United States","Electronic","N/A","2979","185149","5","1319","27608","1970095","-24920","11939","260377","1064","200000","1410000","1361411","53625812","2177","454131","69026","-6","23670","0","19","18081","130968","102","-4","1105","1","32","0","7232","121","8","171073","11","2","3","41798","34","0","0","15.749325046197992","18.11160528855052"
"4","Robert Miles","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3729","2077","7280","322160","18287052","1058999914","73747","7665043","72754325","5378","5000","685000","5329876","507365537","53207","3467043","N/A","N/A","N/A","N/A","N/A","729","5432","331","-59","84546","588","70506","2","9570","26","65388","975","25242","101","3136","1419","137","13","2535","51.087825282095736","10053.153622440248"
"5","Paul van Dyk","Germany","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3872","7948","3998","513745","9651949","626816209","2435","1779366","18176540","5362","10000","1700000","5908394","811114501","26105","4375229","4972","366","111580","4776","60427","5471","643890","36310","-1578","3483721","661","451676","444","174057","80382","24432","2157","12275","81","1320","1554","771","108","3651","452.6989509445055","8908.4018690497"
"6","Dash Berlin","Netherlands","Electronic","Big Indie Labels, Universal Music Group","3894","3332","2871","599754","14292769","1083452378","-184824","5583335","34732190","12051","1000","875000","1269429","167029514","8734","1546722","10714","62","11224","98","6538","-761","462018","73","-4933","3155228","271","443108","140","429758","90354","15561","4305","6076","63","518","4443","835","98","6687","124.61861219597895","7276.07709185364"
"7","ATB","Germany","Electronic","Big Indie Labels, Universal Music Group","4048","2172","5289","477953","17482708","1669968951","354001","5698271","77043432","5483","3000","485000","4038002","908940006","22068","5201904","18785","1014","36704","589","5996","470","182834","3734","-1304","1412332","626","316331","325","42145","72041","53785","958","26607","100","2387","2475","659","26","1444","109.84336819209996","6759.455450882864"
"8","Hypaton","Italy","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group, BMG","5158","2213","1385","114079","19938454","566274868","-797352","6681476","104764546","53408","300","14000","162360","1778560","1122","14934","11468","-196","264443","2578","1015699","0","294192","0","339","6976","709","11431","50","13680","45695","36700","7842","4893","57","306","273","32","18","1875","563.8485614841351","11676.595066944867"
"9","Above & Beyond","United Kingdom","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","5509","7170","4123","874495","13861239","1466430533","1540","2067399","31670230","8224","0","1320000","1997398","493572081","19652","4949635","7407","2078","316640","11994","189565","1587","671172","10314","-2882","2354315","489","303547","883","537599","304734","18306","2884","8984","71","606","915","991","223","12812","615.4124980727711","31457.10746675642"
"10","Marlon Hoffstadt a.k.a DJ Daddy Trance","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","5797","3348","4690","207326","20917522","428643097","1006531","6213820","86936888","26694","1800","37100","514641","18828949","5147","185300","4537","12831","198528","218777","1520438","7311","398164","88899","N/A","N/A","277","11920","3181","226156","880951","30687","8187","1883","49","261","99","237","47","4974","858.5234982988607","40115.275075337566"
"11","Darude","Finland","Electronic","Big Indie Labels, Warner Music Group","6474","3569","5114","285800","10155628","752739567","305027","4670862","35973795","10607","0","541000","1751610","487701035","18154","4536049","48227","86","10110","166","3143","5772","81690","4704","137","116908","773","52612","185","41805","138059","23318","3005","9617","82","1398","22662","98","8","295","38.39520619101319","497.00950791167327"
