"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Tiësto","Netherlands","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","299","159","142864","8240257","441103164","17910483663","26221","34527323","392099768","555","40000","7170000","96788508","6085537246","418888","40401281","635","47290","1247424","4169","399100","68393","7906233","534681","18480","17894270","18534","4064772","7077","2067886","2813180","258379","168","264927","130","4651","42","1347","300","38395","2887.301404854437","114077.04354789572"
"2","Armin Van Buuren","Netherlands","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","757","862","58069","4633102","193571070","8161323553","-292086","14042635","118019573","1124","30000","6110000","55084564","3743336775","396297","31335001","1501","-28797","2375607","139514","1334124","39273","4952589","876925","27739","9380101","15654","1911144","7703","1189077","3043252","123284","210","232784","114","3841","119","3121","534","38090","2806.2750627926584","88265.38359455456"
"3","DJ Dime","United States","Electronic","N/A","2979","185149","24","1319","171704","1970095","-10705","11939","260377","1064","580000","1410000","4636553","53625812","5402","454131","69026","-6","23670","0","222","18081","130968","102","-6","1105","1","32","-2","7232","3353","8","171073","25","2","3","41798","34","0","0","16.081025593350713","18.11160528855052"
"4","Robert Miles","United Kingdom","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","3729","2077","22441","322160","54414978","1058999914","-26941","7665043","72754325","5378","17000","685000","15514472","507365537","167852","3467043","N/A","N/A","N/A","N/A","N/A","729","5432","331","-235","84546","1642","70506","0","9570","96","65388","975","79300","113","3875","1419","137","13","2535","55.72043042009894","10053.153622440248"
"5","Paul van Dyk","Germany","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","3872","7948","11865","513745","36843110","626816209","123129","1779366","18176540","5362","10000","1700000","15523178","811114501","72117","4375229","4972","366","111580","4776","161085","21821","643890","116930","6765","3483721","1826","451676","1398","174057","260376","24432","2157","37813","88","1674","1554","771","108","3651","477.65704448900607","8908.4018690497"
"6","Dash Berlin","Netherlands","Electronic","Big Indie Labels, Universal Music Group","3894","3332","7778","599754","42840358","1083452378","12383","5583335","34732190","12051","2000","875000","3447754","167029514","23699","1546722","10714","62","11224","98","83098","-2209","462018","479","-14056","3155228","848","443108","409","429758","250668","15561","4305","17764","64","665","4443","835","98","6687","134.23658554016228","7276.07709185364"
"7","ATB","Germany","Electronic","Big Indie Labels, Universal Music Group","4048","2172","15145","477953","48345075","1669968951","665512","5698271","77043432","5483","7000","485000","11393324","908940006","58534","5201904","18785","2064","36704","589","38336","1191","182834","15683","-3113","1412332","1714","316331","850","42145","211128","53785","958","79697","103","2870","2475","659","26","1444","118.94830610651034","6759.455450882864"
"8","Hypaton","Italy","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group, BMG","5158","2213","4198","114079","60171860","566274868","-1075547","6681476","104764546","53408","700","14000","388359","1778560","2126","14934","11468","-196","264443","2578","3883839","0","294192","0","811","6976","2050","11431","187","13680","131015","36700","7842","10109","63","416","273","32","18","1875","900.7461138911939","11676.595066944867"
"9","Above & Beyond","United Kingdom","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","5509","7170","10718","874495","39151337","1466430533","-16145","2067399","31670230","8224","0","1320000","5616776","493572081","53816","4949635","7407","2898","316640","11994","364335","4024","671172","31242","-8364","2354315","1470","303547","2502","537599","863877","18306","2884","27503","76","768","915","991","223","12812","733.0743853715367","31457.10746675642"
"10","Marlon Hoffstadt a.k.a DJ Daddy Trance","Germany","Electronic","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","5797","3348","12435","207326","44774568","428643097","2283994","6213820","86936888","26694","4500","37100","1892404","18828949","16381","185300","4537","12831","198528","218777","2424801","12560","398164","175944","N/A","N/A","855","11920","9487","226156","2667084","30687","8187","6524","57","333","99","237","47","4974","2684.7911233926798","40115.275075337566"
"11","Darude","Finland","Electronic","Big Indie Labels, Warner Music Group","6474","3569","14697","285800","28534622","752739567","451389","4670862","35973795","10607","3000","541000","5062862","487701035","49820","4536049","48227","86","10110","166","167705","5772","81690","4704","1565","116908","2125","52612","569","41805","441431","23318","3005","27531","94","1824","22662","98","8","295","40.38587871950291","497.00950791167327"
"12","Safri Duo","Denmark","Electronic","Universal Music Group, Sony Music Entertainment, Big Indie Labels","6755","4135","7799","214465","25119761","558198505","-394554","4058780","30749843","14211","0","195","6570168","220061142","38313","1409277","2265","-801","515506","4562","358272","421361","1039782","37575","26844","417190","685","27643","N/A","N/A","N/A","53393","2037","43959","91","2217","2948","35","6","226","184.33981003986776","1607.1167063513851"
"13","Gareth Emery","United States","Electronic","Big Indie Labels","7537","9724","5408","353911","19956902","787752075","156899","1640315","15096364","10217","4000","544000","7396496","391478590","36883","2925925","13030","N/A","N/A","N/A","N/A","4776","433496","9640","4772","1306396","698","166685","437","181416","199788","12156","4468","16617","65","436","2776","681","153","6316","222.77805919082112","10814.376811807279"
"14","Cosmic Gate","Germany","Electronic","Big Indie Labels, Universal Music Group","9318","12421","8295","312800","14095457","692815017","74461","1250259","15372018","10852","4000","407000","7046956","271444871","37048","2278196","15269","362","25483","3766","78870","6080","281929","111584","1875","806844","1100","60906","1327","149307","256302","17083","4972","14730","70","624","2345","788","128","5069","224.297295847196","11481.544765083681"
"15","Delerium","Canada","Electronic","Big Indie Labels, Universal Music Group, Warner Music Group","9696","5406","7344","135300","32142796","524843014","81847","3402744","33185654","31538","1600","59700","878094","51181718","6893","283035","109555","N/A","N/A","N/A","N/A","109","2805","10","-243","73093","354","20246","118","2603","96191","32173","2950","23667","87","1290","690","881","21","1651","1531.3063833418976","12176.72167474439"
