"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Children","1996-07-11","N/A","Electronic","N/A","N/A","Robert Miles","N/A","N/A","N/A","N/A","3368","N/A","N/A","N/A","N/A","111614684.47500001","N/A","N/A","N/A","9674690","35293348","N/A","N/A","N/A","53114751","454284243","N/A","N/A","N/A","191262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Better Off (Alone, Pt. III)","2023-09-28","N/A","Electronic","N/A","N/A","Alan Walker, Dash Berlin, Vikkstar","N/A","N/A","N/A","N/A","3596","N/A","N/A","N/A","N/A","106937313.54499999","N/A","N/A","N/A","106854577","263973956","N/A","N/A","N/A","27024082","66969663","N/A","N/A","N/A","5330","N/A","N/A","N/A","N/A","720530","2233950","N/A","N/A","N/A","N/A","N/A"
"Your Love (9PM)","2021-01-15","N/A","Electronic","N/A","N/A","ATB, Topic, A7S","N/A","N/A","N/A","N/A","4025","N/A","N/A","N/A","N/A","99093342.69","N/A","N/A","N/A","58004455","865979883","N/A","N/A","N/A","9317420","125615336","N/A","N/A","N/A","155203","N/A","N/A","N/A","N/A","403932","5998448","N/A","N/A","N/A","6566","8055975"
"This Is What It Feels Like","2013-01-01","N/A","Electronic","N/A","N/A","Armin Van Buuren, Trevor Guthrie","N/A","N/A","N/A","N/A","4427","N/A","N/A","N/A","N/A","92304947.29999998","N/A","N/A","N/A","14591006","440237195","N/A","N/A","N/A","18203505","206210476","N/A","N/A","N/A","64363","N/A","N/A","N/A","N/A","148782","18387397","N/A","N/A","N/A","N/A","N/A"
"Blah Blah Blah","2018-01-01","N/A","Electronic","N/A","N/A","Armin Van Buuren","N/A","N/A","N/A","N/A","4681","N/A","N/A","N/A","N/A","88715113.235","N/A","N/A","N/A","31210125","616071876","N/A","N/A","N/A","51712390","808523289","N/A","N/A","N/A","65660","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cynical","2023-06-30","N/A","Electronic","N/A","N/A","twocolors, Safri Duo, Chris de Sarandy","N/A","N/A","N/A","N/A","4877","N/A","N/A","N/A","N/A","86185247.97999999","N/A","N/A","N/A","57197955","245901214","N/A","N/A","N/A","7413048","48483332","N/A","N/A","N/A","124868","N/A","N/A","N/A","N/A","115820","560811","N/A","N/A","N/A","0","2229408"
"9 PM (Till I Come) - Radio Edit","1998-10-26","N/A","Electronic","N/A","N/A","ATB","N/A","N/A","N/A","N/A","4939","N/A","N/A","N/A","N/A","85378525.29999995","N/A","N/A","N/A","24364049","190033795","N/A","N/A","N/A","723253","25155888","N/A","N/A","N/A","2994","N/A","N/A","N/A","N/A","41057","240156","N/A","N/A","N/A","N/A","N/A"
"Played-A-Live (The Bongo Song)","2001-01-01","N/A","Electronic","N/A","N/A","Safri Duo","N/A","N/A","N/A","N/A","5558","N/A","N/A","N/A","N/A","77839237.88","N/A","N/A","N/A","16327430","98039117","N/A","N/A","N/A","22452774","152800869","N/A","N/A","N/A","96996","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","4733206"
"The Glen - Levi Heron Edit","2025-05-09","N/A","Electronic","N/A","N/A","Levi Heron","N/A","N/A","N/A","N/A","8560","N/A","N/A","N/A","N/A","55400732.29999999","N/A","N/A","N/A","66096325","74001983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12203","N/A","N/A","N/A","N/A","2322337","4528606","N/A","N/A","N/A","N/A","N/A"
"Club Bizarre","1995-01-01","N/A","Electronic","N/A","N/A","U96","N/A","N/A","N/A","N/A","8970","N/A","N/A","N/A","N/A","53381100.12","N/A","N/A","N/A","57413650","88345438","N/A","N/A","N/A","6062869","10641758","N/A","N/A","N/A","17154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","316829"
"Be My Lover (feat. La Bouche) - 2023 Mix","2023-04-21","N/A","Electronic","N/A","N/A","Hypaton, David Guetta, La Bouche","N/A","N/A","N/A","N/A","9701","N/A","N/A","N/A","N/A","50133123.809999995","N/A","N/A","N/A","59260376","311414903","N/A","N/A","N/A","3176948","20902476","N/A","N/A","N/A","8665","N/A","N/A","N/A","N/A","465637","2299740","N/A","N/A","N/A","5737","1173452"
"In And Out Of Love - Slowed Version","2008-08-18","N/A","Electronic","N/A","N/A","Armin Van Buuren, Sharon Den Adel","N/A","N/A","N/A","N/A","11018","N/A","N/A","N/A","N/A","45205034.47","N/A","N/A","N/A","14749032","21029475","N/A","N/A","N/A","36959425","386248024","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1810612","1936085","N/A","N/A","N/A","0","26384"
"In And Out Of Love","2008-08-04","N/A","Electronic","N/A","N/A","Armin Van Buuren, Sharon Den Adel","N/A","N/A","N/A","N/A","11026","N/A","N/A","N/A","N/A","45175864.855000004","N/A","N/A","N/A","2764990","14559013","N/A","N/A","N/A","163786","719750","N/A","N/A","N/A","35588","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"I Don't wanna lose","2024-07-26","N/A","Electronic","N/A","N/A","ASPARAGUSproject","N/A","N/A","N/A","N/A","11031","N/A","N/A","N/A","N/A","45153191.385","N/A","N/A","N/A","1161431","1171612","N/A","N/A","N/A","49607452","52132065","N/A","N/A","N/A","292","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1328"
"Sandstorm - Radio Edit","1999-11-26","N/A","Electronic","N/A","N/A","Darude","N/A","N/A","N/A","N/A","12112","N/A","N/A","N/A","N/A","41736551.20999999","N/A","N/A","N/A","1624945","18085121","N/A","N/A","N/A","16998818","321236406","N/A","N/A","N/A","82421","N/A","N/A","N/A","N/A","1123263","16644502","N/A","N/A","N/A","N/A","N/A"
"It's That Time - FISHER Remix","2024-06-21","N/A","Electronic","N/A","N/A","Marlon Hoffstadt a.k.a DJ Daddy Trance, FISHER","N/A","N/A","N/A","N/A","13251","N/A","N/A","N/A","N/A","38676928.029999994","N/A","N/A","N/A","47557813","100775304","N/A","N/A","N/A","2756116","6016663","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","708934","1678777","N/A","N/A","N/A","13204","445727"
"Als du gingst - edit","2025-04-29","N/A","Pop","N/A","N/A","Contec, Lina Maly","N/A","N/A","N/A","N/A","14791","N/A","N/A","N/A","N/A","35327097.864999995","N/A","N/A","N/A","44312915","44656471","N/A","N/A","N/A","3447172","3984241","N/A","N/A","N/A","583","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"For An Angel - Radio Mix 09","2009-05-30","N/A","Electronic","N/A","N/A","Paul van Dyk","N/A","N/A","N/A","N/A","15936","N/A","N/A","N/A","N/A","33189383.94","N/A","N/A","N/A","199425","820998","N/A","N/A","N/A","18879759","142721561","N/A","N/A","N/A","52940","N/A","N/A","N/A","N/A","177364","550319","N/A","N/A","N/A","0","535949"
"Susma - Y-Emre Music Remix","2022-01-12","N/A","Hip Hop","N/A","N/A","Catwork, Melisa, Y-Emre Music","N/A","N/A","N/A","N/A","16007","N/A","N/A","N/A","N/A","33075542.270000003","N/A","N/A","N/A","24062669","42336224","N/A","N/A","N/A","18301766","21576336","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6985","12632","N/A","N/A","N/A","0","139094"
"On & On","2023-03-29","N/A","Electronic","N/A","N/A","Armin Van Buuren, Punctual, Alika","N/A","N/A","N/A","N/A","17726","N/A","N/A","N/A","N/A","30215081.134999998","N/A","N/A","N/A","31620554","176268355","N/A","N/A","N/A","1209165","7061940","N/A","N/A","N/A","18985","N/A","N/A","N/A","N/A","112580","522104","N/A","N/A","N/A","N/A","N/A"
"It's That Time","2023-04-21","N/A","Electronic","N/A","N/A","Marlon Hoffstadt a.k.a DJ Daddy Trance","N/A","N/A","N/A","N/A","18651","N/A","N/A","N/A","N/A","28977273.360000003","N/A","N/A","N/A","17307798","71222586","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5384","N/A","N/A","N/A","N/A","1054314","9333725","N/A","N/A","N/A","N/A","N/A"
"Turn It Up","2019-03-15","N/A","Electronic","N/A","N/A","Armin Van Buuren","N/A","N/A","N/A","N/A","19036","N/A","N/A","N/A","N/A","28486008.979999997","N/A","N/A","N/A","9587462","84362040","N/A","N/A","N/A","18469480","131690785","N/A","N/A","N/A","14693","N/A","N/A","N/A","N/A","121483","1698469","N/A","N/A","N/A","N/A","N/A"
"9PM (Till I Come)","2009-06-06","N/A","Electronic","N/A","N/A","ATB","N/A","N/A","N/A","N/A","20062","N/A","N/A","N/A","N/A","27224134.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","154383","7870732","N/A","N/A","N/A","89680","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DARILDIM","2025-05-30","N/A","Pop","N/A","N/A","Faruk Sabanci, Mela Bedel","N/A","N/A","N/A","N/A","21825","N/A","N/A","N/A","N/A","25282703.79","N/A","N/A","N/A","11113980","11174048","N/A","N/A","N/A","16984992","17296124","N/A","N/A","N/A","96","N/A","N/A","N/A","N/A","11630","11791","N/A","N/A","N/A","N/A","N/A"
"Another You","2015-01-01","N/A","Electronic","N/A","N/A","Armin Van Buuren, Mr. Probz","N/A","N/A","N/A","N/A","21946","N/A","N/A","N/A","N/A","25161759.8","N/A","N/A","N/A","21460","837493","N/A","N/A","N/A","1380284","45616626","N/A","N/A","N/A","17859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","615","1956240"
"Saltwater - Radio Edit","2000-01-01","N/A","Electronic","N/A","N/A","Chicane, Moya Brennan","N/A","N/A","N/A","N/A","23374","N/A","N/A","N/A","N/A","23779008.88","N/A","N/A","N/A","6248191","94621006","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","535","N/A","N/A","N/A","N/A","69418","158637","N/A","N/A","N/A","0","481877"
"Losing Control","2025-08-08","N/A","Electronic","N/A","N/A","KI/KI, Marlon Hoffstadt a.k.a DJ Daddy Trance","N/A","N/A","N/A","N/A","25261","N/A","N/A","N/A","N/A","22129770.735000003","N/A","N/A","N/A","22352004","22746258","N/A","N/A","N/A","2923439","2964366","N/A","N/A","N/A","6811","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dream A Little Dream","2025-04-24","N/A","Electronic","N/A","N/A","Armin Van Buuren, Sam Gray","N/A","N/A","N/A","N/A","25331","N/A","N/A","N/A","N/A","22077209.665","N/A","N/A","N/A","11883524","13370556","N/A","N/A","N/A","1751067","1829995","N/A","N/A","N/A","43674","N/A","N/A","N/A","N/A","195950","203034","N/A","N/A","N/A","N/A","N/A"
"Das Boot","1992-01-01","N/A","Electronic","N/A","N/A","U96","N/A","N/A","N/A","N/A","25488","N/A","N/A","N/A","N/A","21969935.165","N/A","N/A","N/A","6303184","41300785","N/A","N/A","N/A","2234853","22146640","N/A","N/A","N/A","50871","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","247157"
