"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","45","19","36987","48522376","92405953","55253290880","-927629","60170124","441201052","42","0","28700000","22464364","17740129507","85881","141694596","273","-2509","17567382","77602","0","1304","26965297","228758","-8080","13556192","2507","4146149","4013","2320118","585313","29292","69","33668","125","3954","3177","99","35","3421","15.144875742565976","2912.275809221997"
"2","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","108146","32838363","297354650","63258644569","3694679","75235656","407640945","103","0","12300000","28858423","10989283651","276760","90743210","1251","8906","2082947","10921","0","210600","19833741","772707","4091","746798","3772","4490792","7222","1920766","1581953","81991","612","8771","101","1428","53338","225","23","790","8.935365458457927","162.92722826508958"
"3","Sidhu Moose Wala","India","Hip Hop","Big Indie Labels, BMG","109","277","139934","48628307","25727642","6967634702","305166","9715721","9963165","79","0","30000000","39291576","15290554214","277074","228108090","N/A","89","1848119","5385","0","15751","17444481","473750","-165","1967414","53","35577","N/A","N/A","N/A","633","3263","2115","10","21","95031","2","1","5","1.7106178943889943","4.115079832900132"
"4","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","47703","15766537","57816145","13362370569","-840547","42059357","153556256","264","0","13200000","13962739","6174213240","113954","73160293","342","21078","5733617","450281","0","57334","7471128","285543","5674","10255220","3883","2945034","681","500155","218780","4733","505","11011","99","2339","255","58","14","3675","3.4312139219817372","32715.693079476787"
"5","Yo Yo Honey Singh","India","Pop","Big Indie Labels, Warner Music Group","118","162","229002","41117499","30821310","5404874337","196780","21093382","22273718","166","0","8320000","22313379","15385828209","113593","136726573","69","-367","6960850","317","0","36823","21018473","828857","-7015","30593393","34","111108","4","77784","9665","620","7969","650","26","63","100098","N/A","N/A","N/A","N/A","N/A"
"6","Juice WRLD","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","122","46","94730","44861033","80558084","45350900108","-520863","31856359","193113689","222","0","13800000","14754173","11221313887","89707","127107517","931","2454","6260967","10737","0","-8306","11522936","7044","-1306","2802845","1709","2466563","2886","3755786","3887014","5333","1652","3712","78","569","62412","97","14","503","6.161666060524989","136.79701754777307"
"7","GIMS","France","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","142","478","57859","9009497","41495212","7978227427","256249","18409681","40194078","110","0","14700000","23029445","9998527521","122571","54660401","648","221593","6790504","1463070","0","32598","4728139","41425","9612","11882134","16713","6562318","253","77645","54795","2671","428","10296","124","1092","38602","212","2","56","17.968573942102978","354.92123753826826"
"8","Lil Uzi Vert","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","146","96","38674","20205396","70836862","31877239880","-477076","34016807","285946829","539","0","10300000","6465382","7144172064","44229","72993733","612","347","3122368","14791","0","-5469","16841956","42860","N/A","N/A","1280","1219816","1679","3260066","2589802","677","1519","7279","64","531","43250","57","14","308","11.66341224446216","121.02644619539048"
"9","LISA (리사)","South Korea","Pop","Sony Music Entertainment, Universal Music Group","158","350","74905","14821858","19139841","5066437326","31508","13869975","97347676","2339","N/A","N/A","N/A","N/A","N/A","N/A","16","65366","26940523","1742416","0","-12286","107192591","3493576","N/A","N/A","1759","561854","N/A","N/A","N/A","1913","1343","3036","127","690","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Megan Thee Stallion","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","194","281","24825","11458015","32130490","12626534606","83892","25492382","186729436","616","10000","7360000","6622431","6298782750","43703","87091136","127","39748","17019888","1224127","0","-4126","32774318","542072","6779","8857946","947","912573","514","531215","392317","1595","259","15482","114","1417","38756","56","15","839","13.0871021696403","188.84769485680386"
"11","2Pac","United States","Hip Hop","Big Indie Labels, Universal Music Group","201","164","49264","23853427","39415734","14283685333","-63639","27740427","99880553","412","10000","9390000","13841009","5964020836","86605","48822231","N/A","N/A","N/A","N/A","N/A","28163","10949258","158380","-5359","17972632","3596","4054057","1244","793006","318282","9285","495","10242","102","1790","131033","24","1","4","0.3292544056475582","7.074822876957366"
"12","j-hope (제이홉)","South Korea","Pop","Big Indie Labels, Warner Music Group","208","412","63008","20587003","20238192","4213022573","179208","12975415","58407726","6107","N/A","N/A","N/A","N/A","N/A","N/A","35","366171","16735818","13588237","0","343710","54538346","6344764","N/A","N/A","1466","288234","N/A","N/A","N/A","2461","5047","708","45","137","N/A","N/A","N/A","N/A","N/A","N/A"
