"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Eminem","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","12","8","2305342","108775542","1791273815","64158037665","768980","73113659","325443959","6","400000","66600000","531649977","35875421873","2601581","306482219","155","-6906","10052714","24131","2608889","-292894","44856265","733646","-351019","93278250","152565","18892835","8574","2266228","2655472","681908","111","353611","177","6101","39278","174","20","737","7.937128959475538","163.21409338784042"
"2","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","3463619","109220953","4839488421","133155764752","2689997","88253391","531213658","20","200000","32000000","429954914","34323981637","1891861","239557754","61","N/A","N/A","N/A","N/A","-314431","141677956","5212433","-257966","50331513","91782","23914526","199410","4508903","34244734","1725589","74","398169","145","4586","830","250","62","8159","124.10897667651136","8730.544644685724"
"3","50 Cent","United States","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group","41","83","927633","20587208","1011366818","21101171159","-1600322","45869950","209532011","44","300000","18300000","292655652","14350066036","1394712","87227682","11","161505","8902186","486601","7754178","437082","38977967","15351665","143939","42995215","57624","7781916","15694","2129559","6793425","572861","457","135785","162","3452","29531","197","9","1008","3.1280061488946402","141.26212140428518"
"4","Doja Cat","United States","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","42","32","1102062","36737888","1121928246","30173586228","43408","56921126","375136710","119","100000","14000000","221665916","11762357233","1063219","135617541","179","842127","27599051","6815222","58015291","20617","24665980","2491257","-35308","4688715","38583","2441700","206182","2028729","5183934","466366","76","432383","177","5075","23123","65","27","1639","9.674493380892594","578.1325176572858"
"5","Kendrick Lamar","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","49","15","1457757","47300023","1806756882","54069475061","183785","72843810","446925242","99","100000","20100000","245427073","13406384439","1302195","129794858","809","N/A","N/A","N/A","N/A","-43803","19206561","157290","-60115","13460072","81725","6065819","83819","1876636","10164339","678481","206","202489","160","2781","11126","94","27","3827","5.0328667689376605","487.6259908727588"
"6","Ozuna","Puerto Rico","Latin","Sony Music Entertainment, Big Indie Labels, Warner Music Group","52","62","694925","40519898","1512510074","46324313138","1320691","51770669","286561649","18","100000","38100000","692103681","58717600565","1926266","273348744","249","132376","13739730","368980","46991449","-101791","23175679","998384","-51786","12249241","21922","4696001","4830","500537","3480123","542316","196","262305","106","2707","43695","30","1","38","15.85476846531081","42.435098925234065"
"7","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","1106771","43274489","1845430331","64934788349","2865691","62934836","428095564","78","0","20600000","180009082","12773569882","934774","135912084","91","34113","2555020","16758","2040129","577425","60265583","11697830","-50324","8930532","40608","3072852","508344","6275902","12382473","670640","606","102389","118","1825","6321","167","59","7941","50.96773941724328","887.6217463465167"
"8","Cardi B","United States","Hip Hop","Warner Music Group, Sony Music Entertainment, Universal Music Group","57","111","491848","26784841","557012537","22052420471","4567804","33256290","286414089","75","100000","20300000","268018531","23344160616","1269143","186525153","10","1095851","32616149","4892947","86520934","-118832","164158236","9476638","1873","32824810","27363","2558836","10840","947149","7245932","257767","279","205273","196","3025","24580","48","20","4264","5.720685582281895","1383.0077451960906"
"9","Nicki Minaj","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","63","72","161855","34624313","975595943","42870487324","-576382","44182478","375923237","33","100000","28100000","268963706","35666739349","1107636","261070888","34","-78672","22158526","618669","35709928","0","223695311","0","-71973","47611137","29300","7350510","33397","1065108","3412344","424619","257","209230","171","3981","1773","197","46","3724","17.84223305202582","7891.126244379788"
"10","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","1105876","32838363","2403676113","63258644569","9419041","75235656","407640945","103","200000","12300000","213004307","10989283651","1704437","90743210","1251","60870","2082947","29247","3572523","399802","19833741","772707","13839","746798","35515","4490792","72417","1920766","9133864","850172","612","116459","123","2939","53338","225","23","790","9.40523202152656","162.92722826508958"
"11","Black Eyed Peas","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","71","81","399083","10268436","687844568","14839754767","2289544","58049226","236153497","61","100000","13800000","229618929","12995078170","1024225","74303258","941","12806","1770155","301597","4746647","45137","1556912","306989","-88288","37873399","28883","6061795","2766","104883","2310326","457348","61","508089","153","8117","84935","76","7","90","2.546623997166003","55.977801897723324"
"12","XXXTENTACION","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","75","45","1012582","53479226","815540510","37078943863","1856579","34591057","117936859","175","300000","43000000","104839198","9678363529","863644","163266756","N/A","N/A","N/A","N/A","N/A","-253534","20502199","0","93709","5748035","30292","4646570","126924","6319154","27206999","233899","3462","22106","66","427","118447","6","2","90","0.6097714086548952","12.845554286113288"
"13","Future","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","78","54","718863","24021836","1806494816","53553308027","1534087","53286251","391690027","102","100000","14900000","238822938","16152819536","1164266","119779444","335","93483","949035","16092","4132752","134110","25947892","2730936","-35096","10035936","25384","3939764","23898","10662462","33945599","712013","717","103322","100","1389","327","509","56","5318","1031.5464770131684","19360.18390696923"
"14","Snoop Dogg","United States","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group, BMG","82","156","622652","16828754","693073587","21835346890","3620739","33038748","309636633","107","0","11100000","252072049","17167915114","1337246","132240492","37","13816","29471187","212230","5879157","24764","88589980","5793243","2958901","48751034","50523","7875631","8181","1215304","1861850","472074","436","133329","126","3962","5886","761","34","1236","105.9970616935702","1454.26677583537"
"15","Lil Wayne","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","93","85","615504","19069958","1301393754","40599165115","545745","47097912","344401534","58","200000","14400000","292954790","22925801637","1485168","154066642","275","83515","4284355","1027707","2030773","-74403","19560719","146121","104360","50692348","29770","5790573","12055","754974","5674110","595224","1040","64678","99","1474","1174","455","41","1719","39.50328380197025","8371.253734658922"
"16","Wiz Khalifa","United States","Hip Hop","Warner Music Group, Big Indie Labels, BMG, Sony Music Entertainment, Universal Music Group","100","131","210120","12447205","703728624","24863672750","4300999","43106802","277294416","98","200000","30300000","229367700","22712600887","1222691","162897729","206","50032","7746908","641046","1083368","211673","39921618","5080988","-240655","45589825","13436","6888912","4158","1347513","5930018","233927","528","121544","159","3876","1767","257","25","971","379.65467625245594","2758.0423317755176"
"17","Sidhu Moose Wala","India","Hip Hop","Big Indie Labels, BMG","109","277","1669804","48628307","297020106","6967634702","-612487","9715721","9963165","79","400000","30000000","456557958","15290554214","3031100","228108090","N/A","-1907","1848119","16156","429449","1266877","17444481","6103126","-2112","1967414","900","35577","N/A","N/A","N/A","46475","3263","26646","20","43","95031","2","1","5","1.765050974855969","4.115079832900132"
"18","Karan Aujla","Canada","Pop","Big Indie Labels, Warner Music Group, Universal Music Group","119","177","2625399","27085985","613613444","7429982871","-1732173","19526077","19509150","178","250000","5310000","362760913","8479190699","1400872","83349145","193","1443","579227","20308","764534","1123617","13675549","16199740","-928","1250829","1257","30830","8156","179306","5603249","92632","2267","37766","62","220","N/A","N/A","N/A","N/A","N/A","N/A"
"19","A$AP Rocky","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Big Indie Labels, BMG, Warner Music Group","124","126","605272","18341802","1219089294","24103365148","6943787","42392466","284062689","230","140000","6090000","129992805","5812204663","1351915","55157902","247","174032","1178916","907635","1134665","268576","20256815","3833419","-4862","8419886","34487","2067593","22036","3647326","7113681","308883","4165","24455","74","772","1476","157","40","3063","23.391740422883355","5437.177421990482"
