"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Eminem","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","12","8","9394920","108775542","7137588300","64158037665","3655238","73113659","325443959","6","2100000","66600000","2194614368","35875421873","11267602","306482219","155","393094","10052714","1234131","15340909","-589670","44856265","15087518","-1460551","93278250","758485","18892835","255066","2266228","29724043","681908","111","1529623","185","8124","39278","174","20","737","11.741366928091717","163.21409338784042"
"2","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","11625500","109220953","19524998104","133155764752","9719956","88253391","531213658","20","1200000","32000000","1780968087","34323981637","8313847","239557754","61","N/A","N/A","N/A","N/A","-1356408","141677956","70930028","-1223544","50331513","473458","23914526","740018","4508903","155225114","1725589","74","1829725","160","6195","830","250","62","8159","4030.36268576329","8730.544644685724"
"3","50 Cent","United States","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group","41","83","3172341","20587208","3614531160","21101171159","9207526","45869950","209532011","44","1200000","18300000","1154833428","14350066036","5460488","87227682","11","731505","8902186","4496601","31492658","4638662","38977967","68241490","-44378","42995215","287621","7781916","66050","2129559","27184100","572861","457","601678","170","4734","29531","197","9","1008","3.342369757696803","141.26212140428518"
"4","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","45","19","1717170","48522376","5106707249","55253290880","-4862071","60170124","441201052","42","700000","28700000","1113482908","17740129507","4432021","141694596","273","25883","17567382","4801103","20682813","-42873","26965297","25819143","-116698","13556192","179314","4146149","155959","2320118","35704939","335961","69","1896586","185","7957","3177","99","35","3421","266.3243768226981","2912.275809221997"
"5","Kendrick Lamar","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","49","15","7271716","47300023","8587721514","54069475061","-25446831","72843810","446925242","99","1300000","20100000","1187711227","13406384439","6861609","129794858","809","N/A","N/A","N/A","N/A","-406091","19206561","196653","-301705","13460072","419897","6065819","357208","1876636","57399328","678481","206","998289","171","3933","11126","94","27","3827","6.049071288303418","487.6259908727588"
"6","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","5277844","43274489","8511431699","64934788349","-6319570","62934836","428095564","78","900000","20600000","866407896","12773569882","5419861","135912084","91","384113","2555020","506758","4280129","1371668","60265583","89879023","-254872","8930532","261413","3072852","2151590","6275902","61255014","670640","606","477362","131","2632","6321","167","59","7941","57.280608209097224","887.6217463465167"
"7","Cardi B","United States","Hip Hop","Warner Music Group, Sony Music Entertainment, Universal Music Group","57","111","1568166","26784841","2029503681","22052420471","5271644","33256290","286414089","75","600000","20300000","1071874740","23344160616","5397527","186525153","10","5535851","32616149","83762947","502141314","176627","164158236","74483523","-374393","32824810","127133","2558836","48331","947149","24929686","257767","279","807518","200","4120","24580","48","20","4264","6.386228566781237","1383.0077451960906"
"8","Nicki Minaj","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","63","72","917031","34624313","4080213703","42870487324","-1067870","44182478","375923237","33","600000","28100000","1177296074","35666739349","5129906","261070888","34","881328","22158526","15308669","148898548","-2165109","223695311","17853005","-613428","47611137","159965","7350510","143208","1065108","16095024","424619","257","860778","176","5396","1773","197","46","3724","22.610948475371366","7891.126244379788"
"9","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","3151432","32838363","8123867945","63258644569","11822294","75235656","407640945","103","700000","12300000","689981529","10989283651","4346565","90743210","1251","60870","2082947","29247","3572523","399802","19833741","772707","15204","746798","161929","4490792","235606","1920766","34782387","850172","612","479788","135","4102","53338","225","23","790","12.62774146683863","162.92722826508958"
"10","XXXTENTACION","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","75","45","3794000","53479226","3417983415","37078943863","1029113","34591057","117936859","175","1300000","43000000","414599798","9678363529","3439253","163266756","N/A","N/A","N/A","N/A","N/A","-285011","20502199","1111325","473513","5748035","172930","4646570","459121","6319154","116642667","233899","3462","96515","84","645","118447","6","2","90","0.7842445752749096","12.845554286113288"
