"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Dj Samir","Brazil","Electronic","Big Indie Labels, BMG","1042","1367","59330","338347","314311336","1448825711","-1470092","13891081","38429041","1714","77000","821000","52255776","309409834","586048","4802108","1564","50258","881541","2551036","25059105","1084","15660","9758","N/A","N/A","1355","10182","N/A","N/A","N/A","43339","172945","127","4","7","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Ariis","Belgium","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1222","926","114850","637753","273037934","1712057470","492346","15044671","44876248","3876","184000","664000","1941846","11605397","40943","262824","12287","15610","239393","1155","362751","1543","25769","26897","N/A","N/A","1669","20947","22","6152","95108","79153","127784","179","13","13","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Scythermane","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group","1245","1144","17773","302188","142570848","1464638909","-1644467","8647551","29626986","13867","17000","294000","7361567","31939613","93323","416955","109705","N/A","N/A","N/A","N/A","-117","17084","982","N/A","N/A","639","5966","593","16521","1585134","21474","377416","4","1","1","5966","148","1","6","333.87391183307665","346.5157020685014"
"4","DJ FKU","United States","Hip Hop","Big Indie Labels","1403","2531","49622","521949","155209770","1463528702","-256336","7623928","25827902","1636","90000","536000","105187802","409106052","1639326","6911684","4185","11549","149253","751843","4475209","3178","23808","28945","N/A","N/A","2720","22498","N/A","N/A","N/A","25187","67748","467","3","3","8441","104","0","0","205.20875228059933","239.98249990981537"
"5","MC GW","Brazil","Latin","Big Indie Labels, BMG, Universal Music Group, Warner Music Group, Sony Music Entertainment","1579","834","21683","1637544","425244622","5262985660","-1127041","21451665","102237771","3305","29000","483000","23654334","953937752","149612","10566016","6579","7666","681243","594251","998580","2693","1572755","296145","-1219","155413","12064","325103","-45","6691","7257","157091","21309","3287","16","120","2136","1554","3","75","1631.071358675246","1917.7181178358062"
"6","NXGHT!","Indonesia","Electronic","Big Indie Labels","1698","1696","10585","220760","61397323","660770458","-1608549","5165485","24641689","23558","12000","210000","1086126","6933948","11675","111136","171246","N/A","N/A","N/A","N/A","302","14016","829","N/A","N/A","487","6732","343","4896","1045514","9796","N/A","N/A","N/A","N/A","9985","61","0","0","149.1552428782722","150.2267681135432"
"7","ZXKAI","Brazil","Hip Hop","Big Indie Labels","2062","1423","241254","411489","312764921","590274832","5459527","17093678","27795164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644933","N/A","N/A","N/A","N/A","941","11024","292","N/A","N/A","6722","10168","68","547","170494","416602","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Sayfalse","United Kingdom","Hip Hop","Big Indie Labels","2246","1174","52188","408528","282632522","1743756947","-2377119","13743979","34462726","6748","30000","523000","996589","9480775","13063","140899","104398","0","110","0","0","-1716","50934","753","N/A","N/A","1094","10867","85","2584","223326","102103","75892","100","7","9","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Eternxlkz","Kazakhstan","Electronic","N/A","2303","2675","16155","645954","73399756","1023974932","13302","5400683","39020478","2030","30000","1080000","72984149","581576659","398897","6481221","3525","23610","257073","31802","5406936","1680","261686","121282","N/A","N/A","902","29168","N/A","N/A","N/A","87800","102878","125","6","8","N/A","N/A","N/A","N/A","N/A","N/A"
"10","QMIIR","United States","Electronic","Big Indie Labels","2602","3608","64416","107292","132510998","240504110","2360752","7403717","25621567","5863","150000","506000","13539139","296450860","223926","12129863","485049","N/A","N/A","N/A","N/A","1212","27521","5527","N/A","N/A","1310","1762","103","138","189660","137885","92337","561","4","7","5169","180","0","0","429.32067577740696","460.07980830604157"
"11","Ogryzek","Poland","Electronic","Big Indie Labels","2824","2576","38944","635880","78370756","922413097","220023","6045751","28083371","3234","42000","696000","37926493","363973909","236959","3662385","84645","N/A","N/A","N/A","N/A","1650","65078","9428","N/A","N/A","1102","19003","0","3","0","29861","59486","757","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
