"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"MONTAGEM DIREÇÃO","2025-08-21","N/A","Hip Hop","N/A","N/A","DJ FKU, farofinat beats, Dj Samir","N/A","N/A","N/A","N/A","4751","N/A","N/A","N/A","N/A","87737011.685","N/A","N/A","N/A","81084201","85180692","N/A","N/A","N/A","25683032","33010473","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MATUSHKA ULTRAFUNK","2024-10-05","N/A","Hip Hop","N/A","N/A","satirin, FUNK DEMON, EVO","N/A","N/A","N/A","N/A","7160","N/A","N/A","N/A","N/A","64283802.42999999","N/A","N/A","N/A","60046154","98993958","N/A","N/A","N/A","35382519","45253663","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","846016"
"MONTAGEM REBOLA","2025-10-03","N/A","Hip Hop","N/A","N/A","ATLXS, DJ FKU","N/A","N/A","N/A","N/A","7741","N/A","N/A","N/A","N/A","60294545.35","N/A","N/A","N/A","33928548","34236924","N/A","N/A","N/A","29051869","34483138","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SLAVA FUNK! - Slowed","2024-11-11","N/A","Electronic","N/A","N/A","MVSTERIOUS, Hxmr, yngastrobeatz.","N/A","N/A","N/A","N/A","9508","N/A","N/A","N/A","N/A","50881602.97","N/A","N/A","N/A","31124750","45134218","N/A","N/A","N/A","25517306","25517362","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SLAVA FUNK!","2024-11-11","N/A","Electronic","N/A","N/A","MVSTERIOUS, Hxmr, yngastrobeatz.","N/A","N/A","N/A","N/A","11090","N/A","N/A","N/A","N/A","44926564.504999995","N/A","N/A","N/A","58041221","90108629","N/A","N/A","N/A","324305","658200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1093047","1198990","N/A","N/A","N/A","N/A","N/A"
"FINA LANA","2025-04-18","N/A","Hip Hop","N/A","N/A","6YNTHMANE, LXGHTXNG","N/A","N/A","N/A","N/A","11182","N/A","N/A","N/A","N/A","44651278.475","N/A","N/A","N/A","44632249","51861632","N/A","N/A","N/A","10393573","10407770","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1851542","1854681","N/A","N/A","N/A","N/A","N/A"
"MONTAGEM ECLIPSE","2025-11-27","N/A","Hip Hop","N/A","N/A","DJ FKU","N/A","N/A","N/A","N/A","12077","N/A","N/A","N/A","N/A","41843496.77","N/A","N/A","N/A","6749537","7160317","N/A","N/A","N/A","30797660","36645631","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MAZKO","2024-10-25","N/A","Hip Hop","N/A","N/A","S4nri0, MC LyC4N","N/A","N/A","N/A","N/A","13732","N/A","N/A","N/A","N/A","37651723.739999995","N/A","N/A","N/A","51143135","104895579","N/A","N/A","N/A","592953","1896779","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","203989"
"SPACE! - Super Slowed","2024-04-26","N/A","Latin","N/A","N/A","NAOMI, DRAWMEDEATH","N/A","N/A","N/A","N/A","14009","N/A","N/A","N/A","N/A","37018580.379999995","N/A","N/A","N/A","50348601","65367154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80256","110511","N/A","N/A","N/A","N/A","N/A"
"HEAVENLY JUMPSTYLE","2025-11-07","N/A","Hip Hop","N/A","N/A","TWXNY, Sxilwix, INNXCENCE","N/A","N/A","N/A","N/A","15487","N/A","N/A","N/A","N/A","33979761.050000004","N/A","N/A","N/A","36558605","42283692","N/A","N/A","N/A","363424","597983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
