"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","83344","43274489","158650601","64934788349","1998925","62934836","428095564","78","0","20600000","14363982","12773569882","76317","135912084","91","2347","2555020","5905","0","80288","60265583","3648100","-3663","8930532","3115","3072852","37745","6275902","921722","73347","606","7692","88","921","6321","167","59","7941","49.81824835883835","887.6217463465167"
"2","Future","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","78","54","54831","24021836","134279173","53553308027","-406729","53286251","391690027","102","0","14900000","18786010","16152819536","91825","119779444","335","876","949035","5377","0","-60","25947892","33726","-2140","10035936","2011","3939764","1812","10662462","2610811","63782","717","7992","75","672","327","509","56","5318","200.3603499075852","19360.18390696923"
"3","Lil Wayne","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","93","85","42961","19069958","97746513","40599165115","-212611","47097912","344401534","58","100000","14400000","22532771","22925801637","110292","154066642","275","46653","4284355","534249","0","-6317","19560719","4560","-2423","50692348","2379","5790573","829","754974","418082","16681","1040","4998","73","700","1174","455","41","1719","36.87997459306723","8371.253734658922"
"4","Myke Towers","Puerto Rico","Latin","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","117","121","62479","23731089","86560706","32443431801","-60686","38241216","209419390","90","100000","14500000","35891704","24014549503","80705","137214770","1025","-3151","4038588","11858","0","-6581","12652408","433861","-2312","4394879","1771","1674362","3671","532895","259296","6366","173","18732","77","1215","73925","N/A","N/A","N/A","N/A","N/A"
"5","Juice WRLD","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","122","46","94730","44861033","80558084","45350900108","-520863","31856359","193113689","222","0","13800000","14754173","11221313887","89707","127107517","931","2454","6260967","10737","0","-8306","11522936","7044","-1306","2802845","1709","2466563","2886","3755786","3887014","5333","1652","3712","78","569","62412","97","14","503","6.161666060524989","136.79701754777307"
"6","Arcángel","United States","Latin","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","125","199","40822","18833423","86055864","22460947413","-536188","30843350","168562804","70","0","13500000","40446548","25480880166","93625","127298148","260","-3586","4288865","4994","0","137","18599892","231493","0","13690759","1187","1686224","205","133888","119360","8891","1949","3669","36","467","113042","11","0","0","0.7857871446287459","15.715742892574918"
"7","YoungBoy Never Broke Again","United States","Hip Hop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","126","304","55244","16478944","78625092","19688661758","146164","20971678","116722018","116","0","15400000","33683891","16997541149","162665","145047584","252","30389","3497154","1069788","0","0","12357581","0","5802","4009822","754","695356","3115","2709730","9720756","44337","11776","262","24","75","43874","51","2","18","14.117139699387804","50.94314523519016"
"8","Lil Baby","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","127","119","51291","22872152","86877177","35646022070","333581","31453137","229100027","87","100000","10400000","19560491","14779117543","91860","112334041","292","3429","5669076","41810","0","3905","23185568","289793","0","5171504","1262","1417484","1616","1948101","2509441","14729","383","13060","130","641","8492","161","22","1071","35.77710486696921","898.2848594190048"
"9","Blessd","Colombia","Latin","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","141","298","80935","10689309","59805653","8009754801","-359191","25647964","126197351","266","10000","4800000","26960702","5445942701","60806","24832738","104","26683","9526052","1982499","0","9325","7419905","413403","9615","3134770","807","251633","473","35258","88078","3745","1324","4568","46","380","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Lil Uzi Vert","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","146","96","38674","20205396","70836862","31877239880","-477076","34016807","285946829","539","0","10300000","6465382","7144172064","44229","72993733","612","347","3122368","14791","0","-5469","16841956","42860","N/A","N/A","1280","1219816","1679","3260066","2589802","677","1519","7279","64","531","43250","57","14","308","11.66341224446216","121.02644619539048"
"11","Milo j","Argentina","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","164","313","122282","11546329","57784151","7528845753","-53915","17161277","66580339","365","30000","3920000","15106693","1632171072","82460","15899724","264","25023","7178839","395013","0","27372","5459196","87405","17","9357","630","94150","N/A","N/A","N/A","56","15558","326","14","62","N/A","N/A","N/A","N/A","N/A","N/A"
