"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Blinding Lights","2019-11-29","N/A","Hip Hop","N/A","N/A","The Weeknd","N/A","N/A","N/A","N/A","42","N/A","N/A","N/A","N/A","768156115.095","N/A","N/A","N/A","545713376","5357441582","N/A","N/A","N/A","291403055","3375932547","N/A","N/A","N/A","758209","N/A","N/A","N/A","N/A","1881077","32365398","N/A","N/A","N/A","N/A","N/A"
"Timeless (with Playboi Carti)","2024-09-27","N/A","Pop","N/A","N/A","The Weeknd, Playboi Carti","N/A","N/A","N/A","N/A","59","N/A","N/A","N/A","N/A","700968862.7649999","N/A","N/A","N/A","665474631","1469786334","N/A","N/A","N/A","308621676","495209689","N/A","N/A","N/A","108182","N/A","N/A","N/A","N/A","7178710","17423845","N/A","N/A","N/A","N/A","N/A"
"Pal Pal (with Talwiinder)","2025-04-10","N/A","Hip Hop","N/A","N/A","Afusic, Talwiinder, AliSoomroMusic","N/A","N/A","N/A","N/A","70","N/A","N/A","N/A","N/A","673425419.2950001","N/A","N/A","N/A","37952777","43450726","N/A","N/A","N/A","768296215","775292042","N/A","N/A","N/A","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"FE!N (feat. Playboi Carti)","2023-07-26","N/A","Hip Hop","N/A","N/A","Travis Scott, Playboi Carti","N/A","N/A","N/A","N/A","168","N/A","N/A","N/A","N/A","505016484.07000005","N/A","N/A","N/A","289966294","1562965017","N/A","N/A","N/A","174488444","545832566","N/A","N/A","N/A","7784","N/A","N/A","N/A","N/A","3720002","26467524","N/A","N/A","N/A","N/A","N/A"
"No Hands (feat. Roscoe Dash & Wale)","2010-09-06","N/A","Hip Hop","N/A","N/A","Waka Flocka Flame, Roscoe Dash, Wale","N/A","N/A","N/A","N/A","218","N/A","N/A","N/A","N/A","457171356.40999997","N/A","N/A","N/A","247356459","1016775798","N/A","N/A","N/A","89151184","518309464","N/A","N/A","N/A","9145","N/A","N/A","N/A","N/A","2984855","70713940","N/A","N/A","N/A","N/A","N/A"
"VeLDÁ","2025-01-05","N/A","Latin","N/A","N/A","Bad Bunny, Omar Courtz, Dei V","N/A","N/A","N/A","N/A","249","N/A","N/A","N/A","N/A","436876427.3549999","N/A","N/A","N/A","502565830","832240120","N/A","N/A","N/A","123194438","195129139","N/A","N/A","N/A","29857","N/A","N/A","N/A","N/A","1835261","3107537","N/A","N/A","N/A","10183","427259"
"No Pole","2023-02-28","N/A","Hip Hop","N/A","N/A","Don Toliver","N/A","N/A","N/A","N/A","276","N/A","N/A","N/A","N/A","418801174.45","N/A","N/A","N/A","459915422","843910745","N/A","N/A","N/A","114052217","171596738","N/A","N/A","N/A","25098","N/A","N/A","N/A","N/A","6648781","14533899","N/A","N/A","N/A","49383","1743289"
"rockstar (feat. 21 Savage)","2018-04-27","N/A","Hip Hop","N/A","N/A","Post Malone, 21 Savage","N/A","N/A","N/A","N/A","291","N/A","N/A","N/A","N/A","408099529.64","N/A","N/A","N/A","195105488","3358670561","N/A","N/A","N/A","82697980","2178849059","N/A","N/A","N/A","131976","N/A","N/A","N/A","N/A","2636230","215661755","N/A","N/A","N/A","4603","20111416"
"Haseen","2025-02-23","N/A","Hip Hop","N/A","N/A","Talwiinder, NDS, Rippy Grewal","N/A","N/A","N/A","N/A","303","N/A","N/A","N/A","N/A","401524909.66","N/A","N/A","N/A","227803037","234677079","N/A","N/A","N/A","231656261","233654539","N/A","N/A","N/A","975","N/A","N/A","N/A","N/A","22495","32136","N/A","N/A","N/A","N/A","N/A"
"Another Love","2012-01-01","N/A","Hip Hop","N/A","N/A","antichristtqwe, lusttqwe","N/A","N/A","N/A","N/A","335","N/A","N/A","N/A","N/A","383685903.2","N/A","N/A","N/A","511304213","3506062638","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","29108704"
