"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Jack Harlow","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","733","253","109174","4538705","353505381","12669049635","4410467","27814011","194439871","1654","20000","3160000","38242543","2509280759","246147","34029262","2871","-16908","5821353","273477","12647737","-85418","6109775","715247","-6038","1115293","3376","336438","2610","332470","2854547","71837","466","131050","159","2429","99496","18","4","32","1.6250666690736437","23.697791577850644"
"2","Kyle","United States","Hip Hop","Big Indie Labels, BMG, Sony Music Entertainment","4441","2201","6259","1131042","34533210","3172866961","491293","4167579","29104608","5074","0","2280000","6185038","1017668808","38302","13204830","8018","-350","1551998","27927","741486","-13624","1769478","3869","-3448","319961","608","31386","536","404054","1518032","13443","14177","3801","44","197","48822","78","1","17","11.845577938343999","45.16831691163555"
"3","Nettspend","United States","Hip Hop","N/A","5093","9144","75624","464081","72038044","443245130","770455","1948179","7415157","15983","29000","158000","3503003","16718760","65743","464144","29168","7206","46203","0","0","96815","713750","18443","N/A","N/A","1498","9911","22993","176831","16372812","10031","313997","6","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"4","osamason","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","6192","7019","87677","626965","124692879","741557273","-176675","1894772","5257048","200999","46","264","1541","12624","33","316","720245","0","1460","0","0","0","6","0","N/A","N/A","2513","15955","20920","229181","19710176","20114","120422","17","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Odd Future","United States","Hip Hop","Sony Music Entertainment","6261","8653","11261","1254065","7905066","364010920","63047","1205197","4791276","5020","0","2520000","6007907","959712617","71829","12011426","22671","N/A","N/A","N/A","N/A","-6045","231209","80","-2947","625422","788","37802","302","1151823","457111","2874","164594","67","6","10","137782","17","0","0","0.22441739236468317","4.488347847293664"
"6","Glokk40Spaz","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels","7665","10222","43139","418556","70361276","487428644","-49640","1469712","1207734","13090","12000","197000","6539047","65931654","80392","1342442","365917","N/A","N/A","N/A","N/A","0","1469","0","N/A","N/A","993","9144","5137","103531","9145328","13849","333322","17","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Phora","United States","Hip Hop","N/A","8997","9494","7826","849978","9165483","1112255477","-3356","685668","10009922","9759","0","1210000","2926848","506016344","27090","7787415","8068","1135","386734","36505","147295","-12670","961489","35899","120498","1063241","253","24125","201","237792","543798","3900","81447","193","13","31","105623","N/A","N/A","N/A","N/A","N/A"
"8","Nine Vicious","United States","Hip Hop","Big Indie Labels","9496","12995","86518","208797","68943780","173665893","401739","1069536","1108406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13910","N/A","N/A","N/A","N/A","88197","459062","153239","N/A","N/A","1175","2878","18069","57728","17149359","26104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Autumn!","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","10561","9532","13518","653310","37376351","866644153","-114135","1166502","2189015","24558","3000","237000","1510190","44745895","12691","1001046","18475","-1149","330250","11820","461709","-2988","542379","8950","N/A","N/A","235","9146","1722","235183","5459954","5686","104331","163","13","19","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Gone Wallace","United States","Hip Hop","Other Indie / Unsigned","10691","399421","22","1518","8099","663105","-115","1059","3929","4661","24900","41000","57771178","102206835","955654","1925525","409676","N/A","N/A","N/A","N/A","-33","2299","49","N/A","N/A","4","20","10","1638","2487","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Summrs","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels","10998","9653","15239","551454","32575004","709188095","50134","1379660","3012863","25485","4000","172000","1866480","42802410","16619","817654","35281","N/A","N/A","N/A","N/A","-6526","470317","23178","-8","173","265","9680","3032","236479","6214691","5182","69745","572","3","4","87045","16","0","0","2.3671401036290827","47.342802072581655"
"12","Molly Santana","United States","Hip Hop","Universal Music Group, Big Indie Labels","12167","21114","22805","192937","13233713","81668532","-172721","638530","1475701","27100","6900","70000","1187289","8748520","23906","293027","5509","52273","443781","48575","5634373","83043","445213","159781","N/A","N/A","221","1368","3269","47363","1276019","4347","211057","27","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Caskey","United States","Hip Hop","Universal Music Group, Big Indie Labels","12855","29445","5998","189240","10575552","286427494","220498","609373","1817871","12387","6000","387000","4601613","284137384","53132","3433876","7974","8818","191776","4060679","967256","6253","370650","387332","8172","435852","158","13339","97","32336","95233","2610","244055","18","4","5","159741","2","0","0","0.054523522132342545","0.9331169941326243"
"14","GASHI","United States","Hip Hop","Sony Music Entertainment, BMG","13224","10391","3416","262921","7746715","1104908299","1204","928653","13651105","9860","1000","380000","2255545","255892933","9909","2945234","9543","-14026","2274964","547597","375630","-27755","2085307","102903","-208","32125","207","10885","55","46557","198078","3750","16766","3223","58","301","39496","73","20","763","11.738471101485372","251.32409003681317"
"15","Atmosphere","United States","Hip Hop","Warner Music Group, Big Indie Labels","14250","11485","7704","706416","13901188","868879552","24306","848524","4072096","20167","2700","89300","1384179","218753316","11566","1595482","15755","148","49145","2144","36446","3957","323489","3805","-3393","940287","477","44316","382","34477","193274","3017","8725","6550","50","405","35219","356","1","167","19.754878936117407","286.29329108413634"
"16","Lil Windex","Canada","Hip Hop","N/A","14934","55183","1208","61257","1336901","68300055","21512","160306","430500","11380","-10000","1170000","1133785","366871525","16312","17249381","5008","17793","4119888","18904","8646987","-4311","197981","0","-1361","226271","59","1163","3","19756","15070","108","359033","0","1","1","153562","1","0","0","0.08600299729199389","1.7200599458398775"
"17","Jace!","United States","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group","14979","14860","7426","242060","12117293","224596016","7078","895898","1135842","14492","5000","293000","4804991","109116620","44776","2469455","34228","-290","254733","680","18928","-2666","309726","58017","N/A","N/A","119","2038","2750","174678","13770991","4942","323608","5","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Cal Scruby","United States","Hip Hop","N/A","15272","22003","6154","224881","12521180","483697019","68146","520764","4179016","13200","6000","374000","4770183","153094787","45463","2701686","15623","-252","453382","4427","63247","1235","140369","6758","31733","136171","257","4220","244","29779","33574","2414","69964","402","8","9","142257","5","0","0","0.1736632688684725","3.47326537736945"
"19","KA$HDAMI","United States","Hip Hop","Universal Music Group, Warner Music Group","16081","11884","6733","395572","13239460","514474581","-15843","733198","2374970","26338","1000","268000","1058279","72479025","10602","1826259","29197","-525","537375","1691","199258","-14088","273180","11488","N/A","N/A","163","7119","358","152491","1691603","1078","331081","7","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Devvon Terrell","United States","R&B","Big Indie Labels","16568","31154","1438","175042","1733844","290270413","4683","206026","2616873","14651","-1000","895000","663809","263082896","4154","3577978","13925","-706","571716","239","16972","-1429","588915","0","-8785","1616697","65","53587","-11","130971","50902","650","66189","462","13","35","132227","4","0","0","0.3063564248377764","6.127128496755527"
"21","Ryan Oakes","United States","Hip Hop","Big Indie Labels, Warner Music Group","16609","15917","7663","228827","11039661","375812550","-220","849196","3296006","36450","3100","88300","813471","27910257","11881","470698","15817","3938","628144","29447","1465434","10758","277219","8023","61941","296726","328","4974","132","15455","88007","1882","94426","293","6","10","155058","2","0","0","0.07692329960860335","1.538465992172067"
"22","Ryan Caraveo","United States","Hip Hop","Big Indie Labels","16815","14738","3482","313304","9594707","621970388","-114206","564848","3060919","24136","1000","217000","1464160","127280060","10094","1651862","39752","440","29599","19215","90772","3054","72312","15148","3305","29124","165","4845","116","31828","88982","777","135305","28","2","3","77796","2","1","5","0.7340556759292637","28.1315550254202"
"23","BMike","Australia","Hip Hop","Big Indie Labels","16823","23476","5308","213841","5031928","196772459","40036","405856","1735825","12509","3000","960000","2029110","235327556","18079","3777373","54420","466","5683","1278","15976","-270","41612","491","1718","253815","139","16577","186","29529","121176","498","417577","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"24","KOTA The Friend","United States","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","17184","10245","4932","681387","11790053","1035168627","217932","1097630","16406364","24612","0","397000","831174","93475451","12315","1949905","25276","81","44952","2337","59702","-3557","401109","10085","265","117442","504","24182","147","75949","184061","2306","30338","1000","22","50","57872","15","0","0","8.443271135186695","29.15128030802206"
"25","Vinnie Paz","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment","17486","18308","3505","297039","9672507","609843800","38443","425267","3521400","13978","1000","432000","3095996","311632577","26128","2814060","29241","39","1455","39","1089","-1110","226612","19664","-271","464911","418","58322","144","31720","24019","4500","44924","539","10","30","88555","37","0","0","2.639161674370449","41.778583716081286"
"26","King Iso","United States","Hip Hop","Big Indie Labels, Warner Music Group","17735","14159","4287","140713","9028842","416496816","58866","811347","6108962","13924","3000","160000","4548059","231857390","40686","4605834","48571","N/A","N/A","N/A","N/A","-410","137871","5087","2047","99437","242","10211","62","12387","23113","2571","33138","1482","2","25","124396","3","0","0","0.5383541425205162","5.636500670397407"
"27","ksuuvi","United States","Hip Hop","Sony Music Entertainment","17792","31698","23917","91559","14219169","50406968","50526","363876","249309","61757","1220","7830","94410","420105","3176","23740","21170","3135","105364","13485","1093694","40571","92912","16883","N/A","N/A","140","470","7000","43772","4304259","2013","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Aesop Rock","United States","Hip Hop","Other Indie / Unsigned","18192","16646","6666","499748","14168418","613289679","68862","678148","4051759","20434","3600","91200","1716435","115422473","15423","1235891","33423","N/A","N/A","N/A","N/A","3341","168723","4090","209","195326","938","30838","398","22505","153169","1314","12886","3388","30","176","70052","131","2","4","4.977833433950032","85.38055277964524"
"29","Futuristic","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","18220","14137","1209","521815","6367026","693477707","10893","574185","6143877","17106","1000","339000","802633","369002042","5748","4223405","16461","2547","188035","24","97525","2923","431937","2685","-5437","1318216","60","42933","-23","211403","208136","1125","36275","473","7","22","81021","42","0","0","3.2622914116255806","37.77635066636976"
"30","Demrick","United States","Hip Hop","Big Indie Labels, BMG","18411","11662","5269","86472","18413903","277359062","6995","1702413","2774070","30151","1400","45800","578131","72237697","6157","1061840","44384","16","9772","271","6778","5220","114199","35300","-831","119280","265","7558","33","13775","24133","10504","48945","616","12","22","53977","163","0","0","10.205337758422324","159.73360788422897"
"31","Nems","United States","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","18474","90031","712","28051","1243224","39780657","-48935","84314","550401","14763","17000","312000","5189796","124451115","90345","2297121","19768","-2","23990","11","1092","10520","497886","30477","15473","100809","19","1122","39","2401","26526","418","32544","1161","6","27","90047","18","0","0","2.5319765718104272","40.51247048256325"
"32","Erick The Architect","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group","18606","7017","3112","206250","15002816","578440075","471548","2504135","12891623","48467","500","78600","252241","15994409","3466","397661","29314","-204","115831","46","8788","-2122","325592","6996","-29","6202","136","4190","0","79712","49550","6015","22725","1082","32","123","60367","35","1","10","7.303748124432163","56.39448488913551"
"33","Pro Era","United States","Hip Hop","Other Indie / Unsigned","18956","90863","554","120719","611509","38133302","1930","22959","791887","11574","0","840000","2962051","450243925","27530","6368939","44323","N/A","N/A","N/A","N/A","-1762","99062","2","-2270","358066","58","7452","-7","1805871","1306786","129","335308","2","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
