"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Om Namo Bhagavate Vasudevaya","2025-07-08","N/A","Hip Hop","N/A","N/A","Sam C.S., Vijay Prakash, Saurabh Mittal, Twinkle Mittal","N/A","N/A","N/A","N/A","36329","N/A","N/A","N/A","N/A","15902380.2","N/A","N/A","N/A","20966379","21949424","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dajczman - ANIA","2025-07-10","N/A","Hip Hop","N/A","N/A","Kazikol","N/A","N/A","N/A","N/A","80384","N/A","N/A","N/A","N/A","7124716","N/A","N/A","N/A","9403155","10534665","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Love And Affection","2020-11-26","N/A","Reggae","N/A","N/A","Pressure, Pressure Busspipe","N/A","N/A","N/A","N/A","112095","N/A","N/A","N/A","N/A","4949077.925000001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4312733","34582388","N/A","N/A","N/A","3953","N/A","N/A","N/A","N/A","17724","211535","N/A","N/A","N/A","N/A","N/A"
"Регион-лето (feat. Beng Ro)","2016-01-01","N/A","Hip Hop","N/A","N/A","FEDUK, Beng Ro","N/A","N/A","N/A","N/A","211202","N/A","N/A","N/A","N/A","2400681.3600000003","N/A","N/A","N/A","373082","769608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1534144","2399305","N/A","N/A","N/A","N/A","N/A"
"Wyprzedziliśmy Polski Rap O 3 Lata","2025-08-22","N/A","Hip Hop","N/A","N/A","swagdisease","N/A","N/A","N/A","N/A","260914","N/A","N/A","N/A","N/A","1857845.6999999997","N/A","N/A","N/A","2267425","2471726","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CZARNA FURA","2025-10-03","N/A","Hip Hop","N/A","N/A","Trill Pem, Bebzik","N/A","N/A","N/A","N/A","346852","N/A","N/A","N/A","N/A","1302641.855","N/A","N/A","N/A","820023","860886","N/A","N/A","N/A","659487","717706","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"HogRider","2025-09-24","N/A","Hip Hop","N/A","N/A","Młody Arab, Młody Allah","N/A","N/A","N/A","N/A","492851","N/A","N/A","N/A","N/A","827256.125","N/A","N/A","N/A","1023115","1050074","N/A","N/A","N/A","6309","6586","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24106","25527","N/A","N/A","N/A","N/A","N/A"
"BB","2025-05-09","N/A","Hip Hop","N/A","N/A","Dharius, Yayo","N/A","N/A","N/A","N/A","710691","N/A","N/A","N/A","N/A","504806.42999999993","N/A","N/A","N/A","186540","280370","N/A","N/A","N/A","555523","1065741","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Pakistan","2025-09-06","N/A","Hip Hop","N/A","N/A","Młody Arab","N/A","N/A","N/A","N/A","820561","N/A","N/A","N/A","N/A","414141.22000000003","N/A","N/A","N/A","492332","628581","N/A","N/A","N/A","5660","18423","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21940","36860","N/A","N/A","N/A","N/A","N/A"
"Strzelam","2025-12-12","N/A","Hip Hop","N/A","N/A","Młody Arab, Młody Allah","N/A","N/A","N/A","N/A","881029","N/A","N/A","N/A","N/A","374696.20000000007","N/A","N/A","N/A","407634","448284","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15552","16962","N/A","N/A","N/A","N/A","N/A"
"To Właśnie To","2022-11-17","N/A","Hip Hop","N/A","N/A","Young Igi, Bebzik","N/A","N/A","N/A","N/A","957409","N/A","N/A","N/A","N/A","333014.79999999993","N/A","N/A","N/A","434123","3195344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","1789"
"Jung Brutal Gesund (feat. Rohgang)","2025-05-09","N/A","Hip Hop","N/A","N/A","Genetikk, Rohgang","N/A","N/A","N/A","N/A","999492","N/A","N/A","N/A","N/A","313035.9","N/A","N/A","N/A","440817","657316","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Rayman","2025-09-13","N/A","Hip Hop","N/A","N/A","Młody Arab","N/A","N/A","N/A","N/A","1001840","N/A","N/A","N/A","N/A","312000.56500000006","N/A","N/A","N/A","377167","435092","N/A","N/A","N/A","5209","12949","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14610","22916","N/A","N/A","N/A","N/A","N/A"
"TAKE NOTE","2025-08-14","N/A","Hip Hop","N/A","N/A","P6ICK, BBT BNOR","N/A","N/A","N/A","N/A","1230741","N/A","N/A","N/A","N/A","231539.91","N/A","N/A","N/A","11831","14750","N/A","N/A","N/A","220263","231207","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jehowy","2025-07-17","N/A","Hip Hop","N/A","N/A","Młody Arab","N/A","N/A","N/A","N/A","1325151","N/A","N/A","N/A","N/A","207645.215","N/A","N/A","N/A","239420","286453","N/A","N/A","N/A","2203","7737","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13162","23416","N/A","N/A","N/A","N/A","N/A"
"Twoja Dupa Będzie Dziś Jebana","2025-08-29","N/A","Hip Hop","N/A","N/A","swagdisease","N/A","N/A","N/A","N/A","1329546","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"WINNER","2025-08-01","N/A","African","N/A","N/A","Dannyboi HNR, Ruhdee","N/A","N/A","N/A","N/A","1419023","N/A","N/A","N/A","N/A","187343.8","N/A","N/A","N/A","244893","256926","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Różowe Wino","2021-03-23","N/A","Hip Hop","N/A","N/A","Kastet THC","N/A","N/A","N/A","N/A","1432735","N/A","N/A","N/A","N/A","184632.85499999998","N/A","N/A","N/A","171899","589096","N/A","N/A","N/A","29608","134975","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13311","52343","N/A","N/A","N/A","N/A","N/A"
"ennui","2024-01-15","N/A","Hip Hop","N/A","N/A","@suffocated","N/A","N/A","N/A","N/A","1487198","N/A","N/A","N/A","N/A","174448.90000000002","N/A","N/A","N/A","183381","5416229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
