"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Behemoth","Poland","Metal","Big Indie Labels","10811","16790","51324","735524","29673495","282643755","-107207","390569","6580078","15380","23000","503000","11008023","173311540","112544","2377422","9914","26986","80323","195456","1712431","15393","800652","72475","-5455","1494573","10057","196618","799","9556","106727","484","11626","22567","41","252","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Cradle Of Filth","United Kingdom","Metal","Big Indie Labels","12062","16275","59371","661338","35431790","298716876","-281674","480186","8550073","12139","25000","354000","14819008","299299522","111522","2267945","13700","N/A","N/A","N/A","N/A","18496","367723","74218","37225","2076463","9758","270731","N/A","N/A","N/A","1709","9449","29110","51","367","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Mayhem","Norway","Metal","Sony Music Entertainment, Big Indie Labels","13707","19040","95483","827182","22202845","155833698","-28725","306121","1373545","21112","32000","249000","3433656","22575323","55793","436820","18436","0","54","0","0","14421","487371","238345","-7364","667924","7413","82100","64","2102","15761","605","24284","8204","36","152","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Dimmu Borgir","Norway","Metal","Big Indie Labels","14436","18860","42347","601604","30453222","287028821","70526","486543","4406430","22023","18000","203000","5091146","142359603","47425","1066753","18718","N/A","N/A","N/A","N/A","17926","218393","40448","-16254","1341874","8617","198974","504","6095","70095","1615","11077","23896","42","243","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Venom","United Kingdom","Metal","Big Indie Labels, BMG","19887","27110","38879","605236","13015738","108184056","28307","230231","2100610","34778","15100","68600","2212273","9248038","32867","132335","41966","N/A","N/A","N/A","N/A","-430","17230","11","34554","154491","4583","98791","N/A","N/A","N/A","633","9140","30718","49","334","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Bathory","Sweden","Metal","Other Indie / Unsigned","20366","27639","64015","518542","21227312","130290832","4990","215912","1142161","24985","20000","122000","7505361","30522653","105482","518673","N/A","N/A","N/A","N/A","N/A","24142","64495","5909","69","8928","5892","72795","N/A","N/A","N/A","700","17712","12637","43","184","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Immortal","Norway","Metal","Big Indie Labels","22975","32371","30702","429517","12347266","101712647","-7124","182327","2058002","33740","10000","187000","1278315","42981319","12985","399796","28935","N/A","N/A","N/A","N/A","1529","71512","785","-16467","920698","5666","122637","N/A","N/A","N/A","465","20832","10367","38","141","48576","7","0","0","12.337937330407541","13.216842367437533"
"8","Satyricon","Norway","Metal","Big Indie Labels","24983","30447","25823","341141","11293088","104545350","-12902","169508","4989986","32130","9400","96400","3468859","45247704","32701","418358","31067","N/A","N/A","N/A","N/A","7482","200116","5324","-11348","621902","4597","96357","287","2975","28515","545","18273","12398","41","145","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Darkthrone","Norway","Metal","Big Indie Labels","27065","30545","61584","525833","12514509","99914148","36964","205437","815064","97079","N/A","N/A","N/A","N/A","N/A","N/A","33846","N/A","N/A","N/A","N/A","10377","284966","9727","-2552","323167","6415","76051","N/A","N/A","N/A","716","24457","8168","40","145","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Dissection","Sweden","Metal","N/A","28455","33139","48153","284107","23908185","130343585","27358","225880","1290010","35090","14000","52200","3439704","10368624","48376","170877","N/A","N/A","N/A","N/A","N/A","45","332","0","-1422","91346","4504","41539","N/A","N/A","N/A","491","35258","4850","27","84","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Kanonenfieber","Germany","Metal","Sony Music Entertainment, Big Indie Labels","28537","40562","58941","151965","25204082","50448356","65691","170246","615147","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28663","N/A","N/A","N/A","N/A","113288","244587","119905","50360","76364","3815","8057","N/A","N/A","N/A","706","103572","802","16","38","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Deafheaven","United States","Metal","Big Indie Labels, Warner Music Group","29305","31068","49689","320258","26082514","120728123","-247996","211633","3192622","48810","9300","35900","1461746","8244459","21063","134133","43122","N/A","N/A","N/A","N/A","29588","154158","21813","-926","162894","5724","25545","538","2873","103912","582","39023","4084","39","178","141693","1","0","0","0.421004044340507","1.7200599458398775"
"13","Zeal & Ardor","Switzerland","Metal","Warner Music Group","31090","31704","23419","263452","20146629","146158054","-26555","259229","1738541","46770","5200","75200","1460199","17726414","14826","258300","53034","204","1145","81","800","5291","71942","28353","-665","77783","5417","21695","247","3759","53236","1109","40999","3863","36","143","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Decalius","United States","Metal","N/A","31394","26453","73345","212187","35103704","67624903","165979","462232","166714","54387","5600","48300","1481873","2835406","30752","74063","112945","250","4340","0","782","6815","38305","4649","105","2493","2377","4085","N/A","N/A","N/A","12909","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Dark Funeral","Sweden","Metal","Sony Music Entertainment","31983","50039","19201","296008","4551780","49826114","-15952","67388","982686","43642","5400","80200","899855","24569243","10555","293620","23858","611","3309","2917","19522","950","298494","21255","-18483","946367","3370","107479","N/A","N/A","N/A","239","25623","7690","24","97","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Rotting Christ","Greece","Metal","Big Indie Labels, Sony Music Entertainment","33428","37060","23405","293390","14793561","128083217","-16981","148717","1966893","63700","0","157","1086159","25144875","8661","255691","37112","N/A","N/A","N/A","N/A","6917","107715","4011","-850","251062","8704","54469","33","2019","3079","635","21789","9562","40","152","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Belphegor","Austria","Metal","Big Indie Labels","33724","51115","18484","235960","6909340","52324793","-7740","98231","913767","45176","6300","61400","1241358","20009446","17645","327166","29646","N/A","N/A","N/A","N/A","13504","198831","13390","4167","599348","2482","60828","N/A","N/A","N/A","244","40383","3928","25","81","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Gaerea","Portugal","Metal","Big Indie Labels, Sony Music Entertainment","34297","43138","32647","103725","8923540","21357502","164515","208457","5364513","52379","7280","15300","681784","2508288","13771","82123","38881","5487","9759","23448","353179","22629","72712","33476","4104","44415","2855","7780","79","282","1107","93","91610","995","23","68","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Marduk","Sweden","Metal","Big Indie Labels, Sony Music Entertainment","34645","50747","21685","295409","6598967","59072206","-3562","71783","844177","48777","5700","52100","757126","16617502","8857","196067","31048","N/A","N/A","N/A","N/A","4130","234687","39437","-7836","602102","3904","50329","N/A","N/A","N/A","151","29062","6486","34","95","73927","N/A","N/A","N/A","N/A","N/A"
"20","Burzum","Norway","Metal","N/A","35188","24510","63410","552524","21411161","159925022","-12835","245343","997417","96449","0","1","508455","13427331","7178","211371","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5601","50344","1503","11320","81869","1197","41825","3800","22","53","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Celtic Frost","Switzerland","Metal","BMG","37786","45153","25247","294078","5871945","49475420","4301","113641","802893","44557","8100","36100","1661840","10507091","25088","152628","N/A","N/A","N/A","N/A","N/A","5517","24866","6540","3740","26399","2934","32630","N/A","N/A","N/A","452","12203","21049","47","259","N/A","N/A","N/A","N/A","N/A","N/A"
