"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Behemoth","Poland","Metal","Big Indie Labels","10811","16790","3923","735524","2282418","282643755","-10906","390569","6580078","15380","1000","503000","762877","173311540","7135","2377422","9914","286","80323","3996","13461","3809","800652","10600","-934","1494573","602","196618","39","9556","8730","484","11626","1703","28","132","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Cradle Of Filth","United Kingdom","Metal","Big Indie Labels","12062","16275","4829","661338","2614613","298716876","-5163","480186","8550073","12139","2000","354000","1290787","299299522","10442","2267945","13700","N/A","N/A","N/A","N/A","2142","367723","22468","-2948","2076463","670","270731","N/A","N/A","N/A","1709","9449","2185","36","176","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Mayhem","Norway","Metal","Sony Music Entertainment, Big Indie Labels","13707","19040","6848","827182","1613292","155833698","-75343","306121","1373545","21112","2000","249000","149999","22575323","2355","436820","18436","0","54","0","0","1579","487371","21665","-1131","667924","557","82100","5","2102","685","605","24284","916","26","91","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Dimmu Borgir","Norway","Metal","Big Indie Labels","14436","18860","5530","601604","3067605","287028821","100283","486543","4406430","22023","5000","203000","577309","142359603","9164","1066753","18718","N/A","N/A","N/A","N/A","9253","218393","36957","3998","1341874","656","198974","44","6095","6821","1615","11077","2021","31","146","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Venom","United Kingdom","Metal","Big Indie Labels, BMG","19887","27110","3879","605236","1280637","108184056","12206","230231","2100610","34778","1000","68600","204490","9248038","3773","132335","41966","N/A","N/A","N/A","N/A","-359","17230","11","1323","154491","401","98791","N/A","N/A","N/A","633","9140","2395","39","176","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Bathory","Sweden","Metal","Other Indie / Unsigned","20366","27639","5270","518542","1623230","130290832","-4913","215912","1142161","24985","2000","122000","586105","30522653","7813","518673","N/A","N/A","N/A","N/A","N/A","18792","64495","5184","138","8928","443","72795","N/A","N/A","N/A","700","17712","1162","28","99","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Immortal","Norway","Metal","Big Indie Labels","22975","32371","2707","429517","1056422","101712647","-594","182327","2058002","33740","1000","187000","115152","42981319","1143","399796","28935","N/A","N/A","N/A","N/A","1069","71512","785","-1365","920698","421","122637","N/A","N/A","N/A","465","20832","826","29","74","48576","7","0","0","11.499659116396613","13.216842367437533"
"8","Satyricon","Norway","Metal","Big Indie Labels","24983","30447","2277","341141","893765","104545350","2078","169508","4989986","32130","500","96400","308260","45247704","2626","418358","31067","N/A","N/A","N/A","N/A","2013","200116","1089","-1003","621902","310","96357","15","2975","2145","545","18273","1030","27","81","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Darkthrone","Norway","Metal","Big Indie Labels","27065","30545","5611","525833","1155351","99914148","34455","205437","815064","97079","N/A","N/A","N/A","N/A","N/A","N/A","33846","N/A","N/A","N/A","N/A","9355","284966","7964","-145","323167","476","76051","N/A","N/A","N/A","716","24457","742","25","71","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Dissection","Sweden","Metal","N/A","28455","33139","4145","284107","2244933","130343585","2364","225880","1290010","35090","1000","52200","380094","10368624","4659","170877","N/A","N/A","N/A","N/A","N/A","14","332","0","5","91346","327","41539","N/A","N/A","N/A","491","35258","392","17","33","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Kanonenfieber","Germany","Metal","Sony Music Entertainment, Big Indie Labels","28537","40562","4871","151965","3070348","50448356","-23843","170246","615147","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28663","N/A","N/A","N/A","N/A","59949","244587","56314","4859","76364","300","8057","N/A","N/A","N/A","706","103572","120","10","21","N/A","N/A","N/A","N/A","N/A","N/A"
