"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Behemoth","Poland","Metal","Big Indie Labels","10811","16790","735524","282643755","390569","6580078","15380","503000","173311540","2377422","9914","80323","800652","1494573","196618","9556","11626","N/A","N/A","N/A","N/A","N/A"
"2","Cradle Of Filth","United Kingdom","Metal","Big Indie Labels","12062","16275","661338","298716876","480186","8550073","12139","354000","299299522","2267945","13700","N/A","367723","2076463","270731","N/A","9449","N/A","N/A","N/A","N/A","N/A"
"3","Mayhem","Norway","Metal","Sony Music Entertainment, Big Indie Labels","13707","19040","827182","155833698","306121","1373545","21112","249000","22575323","436820","18436","54","487371","667924","82100","2102","24284","N/A","N/A","N/A","N/A","N/A"
"4","Dimmu Borgir","Norway","Metal","Big Indie Labels","14436","18860","601604","287028821","486543","4406430","22023","203000","142359603","1066753","18718","N/A","218393","1341874","198974","6095","11077","N/A","N/A","N/A","N/A","N/A"
"5","Venom","United Kingdom","Metal","Big Indie Labels, BMG","19887","27110","605236","108184056","230231","2100610","34778","68600","9248038","132335","41966","N/A","17230","154491","98791","N/A","9140","N/A","N/A","N/A","N/A","N/A"
"6","Bathory","Sweden","Metal","Other Indie / Unsigned","20366","27639","518542","130290832","215912","1142161","24985","122000","30522653","518673","N/A","N/A","64495","8928","72795","N/A","17712","N/A","N/A","N/A","N/A","N/A"
"7","Immortal","Norway","Metal","Big Indie Labels","22975","32371","429517","101712647","182327","2058002","33740","187000","42981319","399796","28935","N/A","71512","920698","122637","N/A","20832","48576","7","0","0","13.216842367437533"
"8","Satyricon","Norway","Metal","Big Indie Labels","24983","30447","341141","104545350","169508","4989986","32130","96400","45247704","418358","31067","N/A","200116","621902","96357","2975","18273","N/A","N/A","N/A","N/A","N/A"
"9","Darkthrone","Norway","Metal","Big Indie Labels","27065","30545","525833","99914148","205437","815064","97079","N/A","N/A","N/A","33846","N/A","284966","323167","76051","N/A","24457","N/A","N/A","N/A","N/A","N/A"
"10","Dissection","Sweden","Metal","N/A","28455","33139","284107","130343585","225880","1290010","35090","52200","10368624","170877","N/A","N/A","332","91346","41539","N/A","35258","N/A","N/A","N/A","N/A","N/A"
"11","Kanonenfieber","Germany","Metal","Sony Music Entertainment, Big Indie Labels","28537","40562","151965","50448356","170246","615147","N/A","N/A","N/A","N/A","28663","N/A","244587","76364","8057","N/A","103572","N/A","N/A","N/A","N/A","N/A"
"12","Deafheaven","United States","Metal","Big Indie Labels, Warner Music Group","29305","31068","320258","120728123","211633","3192622","48810","35900","8244459","134133","43122","N/A","154158","162894","25545","2873","39023","141693","1","0","0","1.7200599458398775"
"13","Zeal & Ardor","Switzerland","Metal","Warner Music Group","31090","31704","263452","146158054","259229","1738541","46770","75200","17726414","258300","53034","1145","71942","77783","21695","3759","40999","N/A","N/A","N/A","N/A","N/A"
"14","Decalius","United States","Metal","N/A","31394","26453","212187","67624903","462232","166714","54387","48300","2835406","74063","112945","4340","38305","2493","4085","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Dark Funeral","Sweden","Metal","Sony Music Entertainment","31983","50039","296008","49826114","67388","982686","43642","80200","24569243","293620","23858","3309","298494","946367","107479","N/A","25623","N/A","N/A","N/A","N/A","N/A"
"16","Rotting Christ","Greece","Metal","Big Indie Labels, Sony Music Entertainment","33428","37060","293390","128083217","148717","1966893","63700","157","25144875","255691","37112","N/A","107715","251062","54469","2019","21789","N/A","N/A","N/A","N/A","N/A"
"17","Belphegor","Austria","Metal","Big Indie Labels","33724","51115","235960","52324793","98231","913767","45176","61400","20009446","327166","29646","N/A","198831","599348","60828","N/A","40383","N/A","N/A","N/A","N/A","N/A"
"18","Gaerea","Portugal","Metal","Big Indie Labels, Sony Music Entertainment","34297","43138","103725","21357502","208457","5364513","52379","15300","2508288","82123","38881","9759","72712","44415","7780","282","91610","N/A","N/A","N/A","N/A","N/A"
"19","Marduk","Sweden","Metal","Big Indie Labels, Sony Music Entertainment","34645","50747","295409","59072206","71783","844177","48777","52100","16617502","196067","31048","N/A","234687","602102","50329","N/A","29062","73927","N/A","N/A","N/A","N/A"
"20","Burzum","Norway","Metal","N/A","35188","24510","552524","159925022","245343","997417","96449","1","13427331","211371","N/A","N/A","N/A","N/A","50344","11320","41825","N/A","N/A","N/A","N/A","N/A"
"21","Celtic Frost","Switzerland","Metal","BMG","37786","45153","294078","49475420","113641","802893","44557","36100","10507091","152628","N/A","N/A","24866","26399","32630","N/A","12203","N/A","N/A","N/A","N/A","N/A"
"22","Blade and Bath","Ukraine","Metal","N/A","39652","51620","84629","20250503","173222","56021","47317","21700","2015451","88703","193498","N/A","21594","N/A","2209","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Psychonaut 4","Georgia","Metal","Big Indie Labels","40161","54142","174151","37399270","101217","186177","49583","39300","572881","12892","72116","N/A","67565","43703","9269","3285","295588","N/A","N/A","N/A","N/A","N/A"
"24","Nargaroth","Germany","Metal","Big Indie Labels","40846","56860","182119","20871827","93035","389844","105099","13800","1864030","34660","42158","N/A","96208","306439","28540","2337","41522","N/A","N/A","N/A","N/A","N/A"
"25","Emperor","Norway","Metal","Other Indie / Unsigned","40935","40389","370134","61732649","118162","779701","156705","N/A","N/A","N/A","70769","N/A","N/A","234752","57442","N/A","35804","N/A","N/A","N/A","N/A","N/A"
"26","Gorgoroth","Norway","Metal","N/A","42016","45680","364854","43096815","77230","431722","98947","7440","4863891","65481","60876","N/A","37517","228290","59883","N/A","38536","N/A","N/A","N/A","N/A","N/A"
"27","Immolation","United States","Metal","Big Indie Labels","42040","72305","137901","25905258","79644","482554","57643","24600","4692588","81427","41342","N/A","123425","287531","24729","N/A","38688","N/A","N/A","N/A","N/A","N/A"
"28","Watain","Sweden","Metal","Big Indie Labels","43381","56094","194236","47995884","79383","1144597","63005","24500","5908857","71750","40904","N/A","154394","325180","33646","N/A","28129","N/A","N/A","N/A","N/A","N/A"
"29","Enslaved","Norway","Metal","Big Indie Labels","44818","54331","177842","58712838","99779","2796356","63373","38300","9240650","122927","40380","N/A","90694","337145","37930","N/A","26116","N/A","N/A","N/A","N/A","N/A"
"30","Lifelover","Sweden","Metal","Other Indie / Unsigned","48833","41937","210750","61242531","155025","305630","115824","N/A","N/A","N/A","124313","N/A","2172","67148","14236","8165","246730","N/A","N/A","N/A","N/A","N/A"
"31","Nachtblut","Germany","Metal","Big Indie Labels","50668","70185","61832","34215498","97984","918009","50632","17800","16973516","167513","88926","N/A","25376","73680","10220","550","31687","N/A","N/A","N/A","N/A","N/A"
"32","Ulver","Norway","Metal","Big Indie Labels, Universal Music Group, Sony Music Entertainment","50914","51573","200789","83053016","133174","1330993","129386","346","3390279","36470","66023","N/A","45636","143345","24717","1849","42918","139338","1","0","0","0.802311228940985"
"33","Carpathian Forest","Norway","Metal","Big Indie Labels","51079","53838","231789","28945367","82725","448073","190784","219","609178","10881","59416","N/A","11960","310666","28552","N/A","63611","N/A","N/A","N/A","N/A","N/A"
"34","Samael","Switzerland","Metal","Big Indie Labels","52006","68545","151509","40681367","85492","1244747","58803","13400","18502073","172569","56872","N/A","30395","150655","30389","491","22325","42469","N/A","N/A","N/A","N/A"
"35","Mgła","Poland","Metal","N/A","52149","49834","184325","49317259","112452","377832","183405","N/A","N/A","N/A","58418","N/A","98646","128288","19961","N/A","60720","N/A","N/A","N/A","N/A","N/A"
"36","BlackBraid","United States","Metal","Other Indie / Unsigned","53634","72221","85746","13489564","96621","1777737","50147","31000","1934561","51989","111014","N/A","50010","N/A","4134","N/A","85978","N/A","N/A","N/A","N/A","N/A"
"37","Hellripper","United Kingdom","Metal","Sony Music Entertainment, Big Indie Labels","53801","71830","78222","19332791","126484","1585142","69569","12200","1511505","43554","23010","N/A","64672","30072","3863","N/A","113217","N/A","N/A","N/A","N/A","N/A"
"38","Curta'n Wall","Ukraine","Metal","N/A","55032","48949","120295","35305272","137773","33290","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2259","N/A","242009","N/A","N/A","N/A","N/A","N/A"
"39","Abbath","Norway","Metal","Big Indie Labels","55637","82537","141508","17895982","24878","700290","60543","39000","12528174","168106","25280","N/A","197206","223544","11747","N/A","55218","N/A","N/A","N/A","N/A","N/A"
