"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Arch Enemy","Sweden","Metal","Sony Music Entertainment, Big Indie Labels","5767","9161","1166447","619694449","863324","14835546","7407","522000","564324282","5064900","11671","56389","759468","1620200","392197","17793","5132","N/A","N/A","N/A","N/A","N/A"
"2","Amon Amarth","Sweden","Metal","Big Indie Labels","7026","7708","1270451","1050300398","947823","11293001","9899","522000","301505950","2717082","9731","N/A","804046","1595803","358947","15906","4955","N/A","N/A","N/A","N/A","N/A"
"3","In Flames","Sweden","Metal","Big Indie Labels","7235","6011","1322307","2073208301","1471839","15694841","13882","294000","236258386","1685049","13796","N/A","397411","1200434","283210","11968","4431","166087","1","0","0","0.2640204616055095"
"4","66Samus","Canada","Metal","N/A","7490","163844","8929","7402154","14037","259964","4105","1130000","337852692","10970113","5217","601689","507903","521115","1532","N/A","399626","N/A","N/A","N/A","N/A","N/A"
"5","Cannibal Corpse","United States","Metal","Big Indie Labels","8829","14040","1296777","374770526","620508","2508177","16250","370000","83260041","1048151","9809","N/A","998088","2105095","325745","24362","6755","N/A","N/A","N/A","N/A","N/A"
"6","Kreator","Germany","Metal","Big Indie Labels","9896","14697","881764","335005026","535784","8759479","18637","166000","118416042","1290975","8987","49233","415060","1150316","185643","N/A","4499","N/A","N/A","N/A","N/A","N/A"
"7","Children Of Bodom","Finland","Metal","Universal Music Group","10700","11328","843393","601290725","804098","6161643","25429","212000","45041659","460584","N/A","N/A","189794","2206092","348310","7759","8117","N/A","N/A","N/A","N/A","N/A"
"8","Behemoth","Poland","Metal","Big Indie Labels","10811","16790","735524","282643755","390569","6580078","15380","503000","173311540","2377422","9914","80323","800652","1494573","196618","9556","11626","N/A","N/A","N/A","N/A","N/A"
"9","Death","United States","Metal","N/A","11016","9785","1150110","429260715","918643","9051349","57785","N/A","N/A","N/A","N/A","N/A","294483","956112","207749","N/A","6992","N/A","N/A","N/A","N/A","N/A"
"10","Mayhem","Norway","Metal","Sony Music Entertainment, Big Indie Labels","13707","19040","827182","155833698","306121","1373545","21112","249000","22575323","436820","18436","54","487371","667924","82100","2102","24284","N/A","N/A","N/A","N/A","N/A"
"11","Archspire","Canada","Metal","Big Indie Labels","15057","34509","208392","72853712","241963","3310968","17589","94800","23139765","757972","27926","N/A","126354","187866","17349","1021","64527","N/A","N/A","N/A","N/A","N/A"
"12","Ola Englund","Sweden","Metal","Big Indie Labels","16534","151226","39604","7227649","13233","60815","9047","939000","307410102","9741496","25300","45506","401275","296166","2974","402224","97152","N/A","N/A","N/A","N/A","N/A"
"13","Obituary","United States","Metal","Big Indie Labels","16780","23163","604848","140051738","318378","1690119","30060","104000","43717140","560357","21470","N/A","390226","748152","102294","N/A","11973","89790","N/A","N/A","N/A","N/A"
"14","Dethklok","United States","Metal","Warner Music Group","17343","14964","485712","422540991","555043","2676561","25777","164000","23837399","358204","23359","3656","83750","621843","34661","N/A","39225","N/A","N/A","N/A","N/A","N/A"
"15","Orbit Culture","Sweden","Metal","Big Indie Labels, Sony Music Entertainment","18818","19397","286065","172951596","510446","5230335","28119","118000","20320206","377363","37289","26683","109744","69880","16936","1755","21904","N/A","N/A","N/A","N/A","N/A"
"16","Dying Fetus","United States","Metal","Big Indie Labels","20083","28213","423149","125020657","265816","963529","33538","75500","43277018","435160","24598","7003","234308","792230","75928","N/A","22484","N/A","N/A","N/A","N/A","N/A"
"17","Amorphis","Finland","Metal","Big Indie Labels","20257","24590","356037","266201806","256964","4258683","44736","64900","18902778","192508","32562","3146","137591","406268","98184","2118","5936","N/A","N/A","N/A","N/A","N/A"
"18","Morbid Angel","United States","Metal","Big Indie Labels","20269","27841","529805","112543088","237891","1188737","32199","58600","40292542","461530","33820","N/A","119900","730566","105689","N/A","14908","156125","5","0","0","1.3201023080275476"
"19","Carcass","United Kingdom","Metal","Big Indie Labels","20667","25381","482795","138864396","336538","1110547","35369","71600","29245434","379343","21784","N/A","187936","688894","95459","N/A","12124","N/A","N/A","N/A","N/A","N/A"
"20","Shadow of Intent","United States","Metal","Big Indie Labels","22173","25218","274993","170918973","370218","2753660","30169","137000","34652917","662516","27333","N/A","162237","163646","23468","N/A","34095","N/A","N/A","N/A","N/A","N/A"
"21","Somniare","Australia","Metal","Other Indie / Unsigned","22754","11747","1798","57929258","1393218","14211075","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"22","Sylosis","United Kingdom","Metal","Big Indie Labels","22868","30653","183487","109873949","350873","5612582","36625","50100","15637225","257151","47815","3651","79642","124566","19282","N/A","35697","N/A","N/A","N/A","N/A","N/A"
"23","The Black Dahlia Murder","United States","Metal","Big Indie Labels, Sony Music Entertainment","23369","27036","391060","219299342","193107","5735040","35439","88700","49737289","546359","19717","18718","246225","1075296","79913","8295","23083","N/A","N/A","N/A","N/A","N/A"
"24","Dark Tranquillity","Sweden","Metal","Sony Music Entertainment","23429","26578","419184","239466659","254149","1985996","36012","69100","52513937","464678","28483","N/A","116373","488276","102682","2560","11813","N/A","N/A","N/A","N/A","N/A"
