"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Aakh Ye Taalibaani","2025-06-14","N/A","Pop","N/A","N/A","Manish Sonipat Aala, Bali Sharma, Vampire, Vampire","N/A","N/A","N/A","N/A","1248","N/A","N/A","N/A","N/A","211291385.59000003","N/A","N/A","N/A","57466175","58767623","N/A","N/A","N/A","154466777","154500204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2391","2398","N/A","N/A","N/A","N/A","N/A"
"Soft Promise","2025-07-04","N/A","Metal","N/A","N/A","Somniare","N/A","N/A","N/A","N/A","24193","N/A","N/A","N/A","N/A","23060901.5","N/A","N/A","N/A","30253853","31833812","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nova Bloom","2025-09-05","N/A","Metal","N/A","N/A","Somniare","N/A","N/A","N/A","N/A","62383","N/A","N/A","N/A","N/A","9309903.1","N/A","N/A","N/A","11073283","11259753","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Twilight Of The Thunder God","2008-09-30","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","69577","N/A","N/A","N/A","N/A","8297409.245000001","N/A","N/A","N/A","7638647","110654076","N/A","N/A","N/A","1376091","32955548","N/A","N/A","N/A","4439","N/A","N/A","N/A","N/A","22892","138201","N/A","N/A","N/A","0","82975"
"Harmonic Haze","2025-05-30","N/A","Metal","N/A","N/A","Somniare","N/A","N/A","N/A","N/A","76199","N/A","N/A","N/A","N/A","7556080.200000001","N/A","N/A","N/A","10079173","11107751","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Are You Dead Yet","2005-01-01","N/A","Metal","N/A","N/A","Children Of Bodom","N/A","N/A","N/A","N/A","81217","N/A","N/A","N/A","N/A","7041540.5150000015","N/A","N/A","N/A","7217548","80318388","N/A","N/A","N/A","680777","6211728","N/A","N/A","N/A","3048","N/A","N/A","N/A","N/A","26534","160304","N/A","N/A","N/A","N/A","N/A"
"War Eternal","2014-04-29","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","84838","N/A","N/A","N/A","N/A","6727791.384999999","N/A","N/A","N/A","6766953","71215532","N/A","N/A","N/A","883340","54832995","N/A","N/A","N/A","2876","N/A","N/A","N/A","N/A","28878","370474","N/A","N/A","N/A","N/A","N/A"
"Nemesis","2005-07-13","N/A","Metal","N/A","N/A","Arch Enemy","N/A","N/A","N/A","N/A","89519","N/A","N/A","N/A","N/A","6346041.145","N/A","N/A","N/A","5105998","59238935","N/A","N/A","N/A","1347681","34248957","N/A","N/A","N/A","4126","N/A","N/A","N/A","N/A","30630","451811","N/A","N/A","N/A","0","77620"
"Hammer Smashed Face","1992-01-01","N/A","Metal","N/A","N/A","Cannibal Corpse","N/A","N/A","N/A","N/A","93212","N/A","N/A","N/A","N/A","6073707.17","N/A","N/A","N/A","5309668","44281825","N/A","N/A","N/A","859361","5739035","N/A","N/A","N/A","4267","N/A","N/A","N/A","N/A","31160","187108","N/A","N/A","N/A","N/A","N/A"
"Guardians Of Asgaard","2008-09-30","N/A","Metal","N/A","N/A","Amon Amarth","N/A","N/A","N/A","N/A","93604","N/A","N/A","N/A","N/A","6045442.6","N/A","N/A","N/A","4716961","64649896","N/A","N/A","N/A","1375307","28911010","N/A","N/A","N/A","4537","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","57925"
