"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","3637728","34013070","3317935195","20883888562","4922152","32181087","130521992","344","900000","12300000","698875310","9225197612","4647562","66917678","229","747040","4731876","7996920","27592414","1331555","13765841","28183752","-225580","36094602","372401","8040364","58263","433371","7307732","224334","97","1647099","164","7080","5428","192","1","338","20.811736924014426","742.2284455583695"
"2","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","1775680","12444970","1228780973","7538455076","1544768","11614776","40784044","929","350000","6930000","271277514","3535442098","1311474","24205479","964","159195","797404","1607738","6627997","296567","3453496","5624407","-170171","15090490","106557","1898931","11905","2986475","5884418","37492","1763","195674","85","1526","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","2010889","8246913","1099582983","4823138310","5390989","14676984","93453431","1152","860000","3560000","333100816","1492664752","3682914","16067541","243","N/A","N/A","N/A","N/A","2042057","8482782","21308591","546256","13435730","147353","2561824","23761","69800","3193281","145334","239","899050","112","5697","50396","N/A","N/A","N/A","N/A","N/A"
"4","Disturbed","United States","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","609","491","621639","7921496","944865043","7168973633","-2639071","17512143","67989295","1079","290000","5070000","291554550","3676519528","1738713","27052590","2473","122085","2113211","1210026","3309498","154371","2635484","1233654","145585","12112573","83216","1482856","13086","122196","7600411","56758","429","618798","118","4717","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","1634308","10380296","1185053475","5616383897","3837388","17870796","45706210","2474","440000","2610000","141590410","1056037609","1300037","8746889","N/A","N/A","N/A","N/A","N/A","907952","5382799","1361842","75578","11881397","169859","2984084","18813","83152","4585601","68500","312","765012","114","5569","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","847705","10730709","788303933","6195610164","1051899","8969515","34162338","2059","220000","3250000","129165278","1281152729","750049","10299130","1176","136830","912825","1873651","4973102","280466","4588232","6758070","-126005","13159174","170152","3725692","N/A","N/A","N/A","0","503","553012","97","3666","130070","26","0","0","0.34322660008716255","6.864532001743251"
"7","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","366278","7094103","624433853","7098392168","-474525","6313351","33981841","666","120000","4350000","188006419","3616143974","920633","22694197","5788","51280","541552","293245","1849517","9888","1215013","504990","-72126","5378378","57189","1105243","9559","146025","5819403","22177","902","345491","78","1352","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ghost","Sweden","Rock","Big Indie Labels, Universal Music Group, Warner Music Group","1189","1262","416762","3921673","851935362","4489728710","131848","8171305","34751085","1482","270000","3310000","206344889","1310412389","1796240","17749078","3145","248281","1758554","6594013","29652796","168718","2024341","10969217","21359","1836760","66845","596922","9485","49989","2136279","41311","2813","122171","78","1430","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Megadeth","United States","Metal","Big Indie Labels","1396","1583","606400","6437171","461531831","3043015394","361149","5095617","31311718","7281","1540000","1770000","40553785","680368649","384775","8112378","1517","176523","497850","1942917","5956732","247177","3400538","6064024","-24247","7843327","95105","1769270","7878","37251","1019308","13066","1081","302387","81","1784","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Black Label Society","United States","Metal","Universal Music Group","1444","4672","197138","1928489","224884189","801106649","1524349","3168742","7762379","1716","17000","756000","9471430","359830741","176721","3362293","23150","13789","336107","140988","776614","N/A","N/A","N/A","-26182","1977027","10673","277058","2843","12180","2235696","17237","4433","72475","66","815","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","506090","3896932","354910844","2037812625","1149041","7250371","30192831","2970","90000","1270000","58317697","750023580","389621","5539494","1328","135393","286446","232969","20494289","48596","2643023","1932445","-37473","5903010","34880","586930","6728","49506","1121142","26314","2283","150706","70","1342","157583","3","0","0","0.0632445742393941","1.1738731156493314"
"12","Judas Priest","United Kingdom","Metal","Sony Music Entertainment","1739","1958","330292","4664489","257219515","2096603532","64671","4197465","58027968","2297","110000","1290000","90005074","934189832","676324","8034299","2862","26401","88394","153502","1819433","220902","1416689","3883258","119784","4672104","58220","1230261","N/A","N/A","N/A","29185","550","522554","93","3336","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Sabaton","Sweden","Metal","Big Indie Labels","1746","2890","213529","2530350","547831217","4363862138","183682","3323169","16934841","1607","120000","2220000","239617491","2501104401","1692938","24924307","2583","131169","703864","3519510","6490441","78170","903799","3318053","100958","1207241","37937","400378","6029","66180","3222282","9252","2835","119400","67","847","N/A","N/A","N/A","N/A","N/A","N/A"
