"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","348503","34013070","287694234","20883888562","148666","32181087","130521992","344","100000","12300000","56779931","9225197612","327890","66917678","229","27040","4731876","146920","649854","7410","13765841","505994","-30300","36094602","24308","8040364","4314","433371","552001","224334","97","140136","145","4686","5428","192","1","338","10.78834510830577","742.2284455583695"
"2","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","136447","12444970","108751802","7538455076","-53410","11614776","40784044","929","20000","6930000","22727943","3535442098","108689","24205479","964","48555","797404","607738","715317","46442","3453496","236811","-12129","15090490","7559","1898931","855","2986475","502602","37492","1763","17013","71","818","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","117185","8246913","75237734","4823138310","-295816","14676984","93453431","1152","20000","3560000","18021447","1492664752","126569","16067541","243","N/A","N/A","N/A","N/A","41478","8482782","762733","-10830","13435730","10403","2561824","1199","69800","194247","145334","239","72166","90","3189","50396","N/A","N/A","N/A","N/A","N/A"
"4","Disturbed","United States","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","609","491","54426","7921496","75591815","7168973633","-248903","17512143","67989295","1079","10000","5070000","22585341","3676519528","127235","27052590","2473","12085","2113211","40026","550038","-3021","2635484","52946","1905","12112573","5646","1482856","1005","122196","645432","56758","429","44103","98","2745","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","110390","10380296","84700356","5616383897","363525","17870796","45706210","2474","10000","2610000","8945147","1056037609","65933","8746889","N/A","N/A","N/A","N/A","N/A","37822","5382799","179583","-7438","11881397","10414","2984084","1101","83152","267821","68500","312","64370","94","3140","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","65582","10730709","67928085","6195610164","-6676","8969515","34162338","2059","10000","3250000","10587589","1281152729","72322","10299130","1176","12210","912825","133651","639962","18065","4588232","349159","-14790","13159174","12667","3725692","N/A","N/A","N/A","0","503","46262","83","2150","130070","26","0","0","0.34322660008716255","6.864532001743251"
"7","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","34838","7094103","48565416","7098392168","6445","6313351","33981841","666","10000","4350000","15062693","3616143974","68417","22694197","5788","1030","541552","3245","52617","-751","1215013","14266","-4691","5378378","4214","1105243","733","146025","452610","22177","902","24673","59","772","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ghost","Sweden","Rock","Big Indie Labels, Universal Music Group, Warner Music Group","1189","1262","27418","3921673","56019085","4489728710","-211266","8171305","34751085","1482","20000","3310000","13994307","1310412389","103927","17749078","3145","8281","1758554","154013","93536","-3195","2024341","32103","-2253","1836760","3272","596922","649","49989","154323","41311","2813","8647","59","728","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Megadeth","United States","Metal","Big Indie Labels","1396","1583","46111","6437171","39033557","3043015394","-294258","5095617","31311718","7281","1540000","1770000","3513760","680368649","30577","8112378","1517","4073","497850","42917","168262","-5137","3400538","175993","-9864","7843327","6468","1769270","593","37251","84025","13066","1081","26194","66","1015","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Black Label Society","United States","Metal","Universal Music Group","1444","4672","25926","1928489","22937867","801106649","235480","3168742","7762379","1716","16000","756000","6056577","359830741","139381","3362293","23150","13789","336107","140988","637791","N/A","N/A","N/A","127","1977027","1207","277058","229","12180","209166","17237","4433","8597","54","512","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","42800","3896932","31686484","2037812625","-31100","7250371","30192831","2970","0","1270000","4857365","750023580","30885","5539494","1328","18963","286446","45539","881849","473","2643023","38943","-3613","5903010","2522","586930","533","49506","94053","26314","2283","15472","56","726","157583","3","0","0","0.058693655782466575","1.1738731156493314"
"12","Judas Priest","United Kingdom","Metal","Sony Music Entertainment","1739","1958","26408","4664489","20855451","2096603532","-10359","4197465","58027968","2297","10000","1290000","7360779","934189832","53098","8034299","2862","5121","88394","45252","457327","6224","1416689","72928","294","4672104","4291","1230261","N/A","N/A","N/A","29185","550","43208","80","2038","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Sabaton","Sweden","Metal","Big Indie Labels","1746","2890","17817","2530350","45043661","4363862138","202542","3323169","16934841","1607","10000","2220000","22785549","2501104401","230477","24924307","2583","13589","703864","159510","1156110","5399","903799","96393","5867","1207241","2538","400378","1155","66180","284123","9252","2835","9246","50","396","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Motörhead","United Kingdom","Metal","Universal Music Group, BMG, Big Indie Labels","2445","2157","25390","4607105","19269286","1917766375","55749","4315013","36576227","5722","7000","934000","6627495","427303113","52533","3956517","N/A","600","323908","6586","28928","47626","1458758","28131","-651","2940763","3834","1100408","283","22422","46565","13556","1198","23377","68","1432","N/A","N/A","N/A","N/A","N/A","N/A"
"15","The Warning","Mexico","Rock","Universal Music Group","2624","7532","21378","847070","14376912","432372663","-329901","1650772","25885139","4718","10000","1040000","5975960","268914384","113464","7959738","1592","36666","953071","859820","3944408","29944","1252999","604798","4260","623869","1099","48788","135","4503","14806","10414","7114","5346","54","386","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Volbeat","Denmark","Metal","Universal Music Group, Big Indie Labels","2663","1968","11835","2804988","32439626","4173970130","81261","4520983","20951066","3439","2000","935000","4388561","1017725047","17973","4737261","8816","245","225882","8996","50131","6835","583153","7512","-631","1774163","1862","623470","143","22576","32385","16693","781","31308","61","1104","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Rata Blanca","Argentina","Metal","N/A","3333","3434","16085","1582848","16709649","794539674","65193","4427877","12895726","4384","4000","357000","6932356","987684317","24857","4200051","11750","N/A","N/A","N/A","N/A","6588","281215","47728","3797","1439731","717","501270","28","5370","3679","12936","2442","8755","26","706","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Trivium","United States","Metal","Warner Music Group, Universal Music Group","4287","5289","8436","1753815","11695455","1397968851","15531","1819609","18628238","8125","2000","810000","2669748","518593467","24039","4371702","5588","2312","105804","42283","524779","1950","720076","13528","-504","1928050","1162","375037","-88","2604920","33750","1476","4283","6134","48","276","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Her Last Sight","Israel","Metal","N/A","4421","26025","9834","138677","3111241","29922617","-142394","492590","1276599","3780","24000","192000","30733462","148029468","243419","2427355","13313","N/A","N/A","N/A","N/A","36548","440379","106990","32709","347897","297","3678","N/A","N/A","N/A","2702","92198","91","6","8","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Gojira","France","Metal","Warner Music Group, BMG, Big Indie Labels","4450","4361","16870","1880785","17661769","1350438587","-38567","2340530","18041686","8747","3000","785000","1943696","295571344","16678","3885689","4328","N/A","N/A","N/A","N/A","7754","1250053","118074","-905","984442","3608","497865","N/A","N/A","N/A","5659","7932","3117","46","239","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Apocalyptica","Finland","Metal","Big Indie Labels, BMG, Sony Music Entertainment, Warner Music Group","4908","4867","6248","1194965","9959209","815322877","-49834","2852501","10820633","8524","0","1030000","2197726","474020016","17805","4661447","9821","586","122187","8164","22007","-97","342355","11146","-2402","2665218","769","488992","73","19808","32781","10890","5827","4611","56","452","N/A","N/A","N/A","N/A","N/A","N/A"
"22","Jack Joseph Puig","United States","Rock","Universal Music Group","5538","2382","14","1465","3320128","173877978","-509544","1413427","2728822","N/A","N/A","N/A","N/A","N/A","N/A","N/A","294358","N/A","N/A","N/A","N/A","185","6544","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","In This Moment","United States","Metal","BMG, Big Indie Labels","5637","5459","7260","1472964","9248584","1182926836","135566","1776482","17749366","7015","2000","997000","2420158","751696264","16797","6139507","14248","N/A","N/A","N/A","N/A","720","538194","22674","-472","1369401","777","179278","128","23202","28254","7627","5876","4487","47","293","N/A","N/A","N/A","N/A","N/A","N/A"
"24","Helloween","Germany","Metal","Big Indie Labels, BMG, Universal Music Group","5736","7093","8738","1435239","7809295","776623552","-22912","1327285","12660210","8281","3000","564000","3234343","427291043","35433","2705863","18635","N/A","N/A","N/A","N/A","29865","305102","41679","2274","1785050","1642","472055","56","8403","12071","9881","1990","14547","62","681","135833","19","0","0","0.25081943852523414","5.016388770504683"
"25","Powerwolf","Germany","Metal","Big Indie Labels","6367","7319","6421","1088559","11109464","1257269344","-53299","1159381","7843240","8844","2000","429000","2664663","526801504","23993","5047949","8677","1104","185669","33261","232293","16981","325881","29428","5936","388635","1605","245328","189","19496","74119","3160","5685","4763","42","262","N/A","N/A","N/A","N/A","N/A","N/A"
"26","Bad Wolves","United States","Rock","Big Indie Labels","6383","3282","10048","946568","13352651","1320238499","-68393","3885451","11563839","17170","1000","268000","954447","302835277","4480","2475495","23503","81","44446","88","1129","-3878","329527","266","0","946872","465","82702","82","19899","91411","5732","4282","5941","58","580","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Rainbow","United Kingdom","Rock","Big Indie Labels","6432","4647","10700","1706582","8384901","826001871","93075","2279139","22031216","13405","2000","352000","1212104","225826891","8161","1265743","38554","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-546","774181","1342","280952","N/A","N/A","N/A","25079","1223","21604","90","2069","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Dio","United States","Metal","BMG, Big Indie Labels, Warner Music Group","6484","4405","11493","3057720","25757795","2427618789","3509","701213","25664338","18878","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2557","339640","N/A","N/A","N/A","3717","1410","19239","63","1175","N/A","N/A","N/A","N/A","N/A","N/A"
"29","Manowar","United States","Metal","N/A","7151","9410","6172","1127220","5728288","478214335","15150","991237","10790253","8825","3000","410000","2862374","381687732","12982","2154579","19271","N/A","N/A","N/A","N/A","8006","151564","5809","-716","1340778","871","262793","75","6305","4690","4978","2396","12626","56","599","N/A","N/A","N/A","N/A","N/A","N/A"
"30","Danzig","United States","Metal","Big Indie Labels","7811","4902","8693","1112693","8420981","687907977","16724","2845768","19178249","20423","1000","204000","919232","71910214","6177","730277","33370","N/A","N/A","N/A","N/A","5087","76900","886","-1219","863296","509","87407","N/A","N/A","N/A","20382","3936","6941","49","650","N/A","N/A","N/A","N/A","N/A","N/A"
"31","Avatar","Sweden","Metal","Sony Music Entertainment","9301","13810","4177","512610","5203112","418477081","-19151","698644","4337898","11131","1000","419000","1200588","198213760","14385","2881254","10176","349","129099","9991","490202","6977","285892","21084","927","356511","688","77231","N/A","N/A","N/A","1869","6202","5871","36","260","N/A","N/A","N/A","N/A","N/A","N/A"
"32","Queensrÿche","United States","Metal","Sony Music Entertainment, Big Indie Labels, Universal Music Group","9432","9469","4018","754822","4461202","445197098","-30341","970970","16552226","9900","2000","281000","1451975","214727288","10356","1629927","36283","N/A","N/A","N/A","N/A","4939","113957","3774","-372","398249","428","103123","1","1179","671","3601","2831","9999","57","1151","N/A","N/A","N/A","N/A","N/A","N/A"
"33","SUICIDAL-IDOL","United States","Metal","N/A","9571","4664","4838","303431","13390351","698075607","33032","3384653","8423392","20149","3000","121000","936007","13341225","13958","245903","96776","-2","342","0","24","-502","63043","1489","N/A","N/A","239","7995","282","17642","651364","1573","77467","131","6","14","N/A","N/A","N/A","N/A","N/A","N/A"
