"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","3637728","34013070","3317935195","20883888562","4922152","32181087","130521992","344","900000","12300000","698875310","9225197612","4647562","66917678","229","747040","4731876","7996920","27592414","1331555","13765841","28183752","-225580","36094602","372401","8040364","58263","433371","7307732","224334","97","1647099","164","7080","5428","192","1","338","20.811736924014426","742.2284455583695"
"2","System of a Down","United States","Metal","Universal Music Group","191","181","2478054","15138205","2420763273","12643742569","3061948","25922974","67889549","294","540000","8120000","472097251","5479433881","2365510","32128481","936","397770","1068205","2156825","9300247","1269983","5817259","7674208","-229386","18561597","301831","5724405","35576","181997","4038097","165289","982","328284","90","2549","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Slipknot","United States","Metal","Warner Music Group","272","349","1979082","15000197","1667240642","10580697672","1310371","15842939","45146000","681","540000","9510000","377047879","4857395373","2629081","42747808","370","993064","4371515","6651408","33967346","770074","8970944","9491781","-155686","17678849","175874","4078221","387","2247","208163","36261","1363","248566","80","1518","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Rammstein","Germany","Metal","Other Indie / Unsigned","418","499","1252425","12387213","1506805379","10501184699","792571","13515022","32571082","625","490000","9210000","454424952","6109851025","2300457","43072293","1327","368828","2701160","2155339","16117079","260658","3989686","2280807","-60221","8531781","172487","2677904","24296","156380","42893","157486","734","415955","90","2705","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Limp Bizkit","United States","Metal","Universal Music Group","426","308","1899472","9031376","1614925944","6573071282","4767938","22271105","88156470","848","360000","2730000","247000190","2368619619","1475576","13435908","2423","159712","308918","39448","539754","707314","2051909","2558627","-44973","4481212","152698","2105967","32970","146192","8100256","135803","743","408047","101","4109","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","1775680","12444970","1228780973","7538455076","1544768","11614776","40784044","929","350000","6930000","271277514","3535442098","1311474","24205479","964","159195","797404","1607738","6627997","296567","3453496","5624407","-170171","15090490","106557","1898931","11905","2986475","5884418","37492","1763","195674","85","1526","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Korn","United States","Metal","Big Indie Labels, Sony Music Entertainment","493","567","1569525","10423612","1139697656","6629542898","1720957","13646985","49112758","591","340000","3640000","210983360","2747559690","1457600","20470445","1260","208311","1435192","483286","2366222","865788","5103686","4310587","-98403","12581019","141896","2585576","26238","186598","4993937","92048","939","335774","86","2015","111721","63","1","1","0.8316644540573556","17.989573475507147"
"8","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","2010889","8246913","1099582983","4823138310","5390989","14676984","93453431","1152","860000","3560000","333100816","1492664752","3682914","16067541","243","N/A","N/A","N/A","N/A","2042057","8482782","21308591","546256","13435730","147353","2561824","23761","69800","3193281","145334","239","899050","112","5697","50396","N/A","N/A","N/A","N/A","N/A"
"9","Deftones","United States","Metal","Warner Music Group","512","421","1854913","8614828","2457639838","8183533374","4678151","18098403","62570902","2039","420000","2100000","143927113","964550332","1472639","10467275","1125","207471","593221","0","0","956163","4360798","10545303","-108","3081528","130700","1006490","141414","543245","42886238","148019","2386","142574","78","1507","162894","2","0","0","0.026402046160550953","0.528040923211019"
"10","Bring Me the Horizon","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group, Warner Music Group","611","619","562097","6912707","1362095749","9632104147","267230","13703382","70482793","849","180000","4840000","201262236","2620155915","1235735","32139587","1094","205915","1889765","6637586","17598128","235976","4178161","5540514","-71211","5619420","100387","1281114","68054","3054708","3036892","55512","2401","143754","86","1438","125332","2","0","0","0.8132256336574049","4.297341962839957"
"11","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","1634308","10380296","1185053475","5616383897","3837388","17870796","45706210","2474","440000","2610000","141590410","1056037609","1300037","8746889","N/A","N/A","N/A","N/A","N/A","907952","5382799","1361842","75578","11881397","169859","2984084","18813","83152","4585601","68500","312","765012","114","5569","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","847705","10730709","788303933","6195610164","1051899","8969515","34162338","2059","220000","3250000","129165278","1281152729","750049","10299130","1176","136830","912825","1873651","4973102","280466","4588232","6758070","-126005","13159174","170152","3725692","N/A","N/A","N/A","0","503","553012","97","3666","130070","26","0","0","0.34322660008716255","6.864532001743251"
"13","Papa Roach","United States","Metal","Warner Music Group","826","672","726592","6446637","723766171","5283096818","339648","14352891","70691565","1519","140000","2070000","159654482","1800963307","1094074","15599703","1889","69659","2358786","2007117","4301305","201937","2085849","2473129","95274","6182051","96452","1969247","7077","138540","3364406","50852","769","391522","97","2543","91581","3","2","246","1.0758930580870256","19.453569873842945"
"14","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","366278","7094103","624433853","7098392168","-474525","6313351","33981841","666","120000","4350000","188006419","3616143974","920633","22694197","5788","51280","541552","293245","1849517","9888","1215013","504990","-72126","5378378","57189","1105243","9559","146025","5819403","22177","902","345491","78","1352","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Pantera","United States","Metal","Big Indie Labels","1068","1081","945015","6687630","650898046","3143117870","1011160","8210322","34591275","3307","200000","1700000","94978537","943804464","715054","6691590","2467","N/A","N/A","N/A","N/A","398269","2547934","4337149","-54975","8481398","82350","1592616","N/A","N/A","N/A","30441","1822","190434","68","1405","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Sleep Token","United Kingdom","Metal","Universal Music Group","1252","1544","1049418","3177232","1610755348","3714080345","-1995486","5369303","12492219","1956","390000","1230000","146066480","350628571","985702","3669403","5103","N/A","N/A","N/A","N/A","447396","1545198","4914561","102696","427878","70278","127421","N/A","N/A","N/A","31416","3157","103809","76","754","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Megadeth","United States","Metal","Big Indie Labels","1396","1583","606400","6437171","461531831","3043015394","361149","5095617","31311718","7281","1540000","1770000","40553785","680368649","384775","8112378","1517","176523","497850","1942917","5956732","247177","3400538","6064024","-24247","7843327","95105","1769270","7878","37251","1019308","13066","1081","302387","81","1784","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Black Label Society","United States","Metal","Universal Music Group","1444","4672","197138","1928489","224884189","801106649","1524349","3168742","7762379","1716","17000","756000","9471430","359830741","176721","3362293","23150","13789","336107","140988","776614","N/A","N/A","N/A","-26182","1977027","10673","277058","2843","12180","2235696","17237","4433","72475","66","815","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Falling In Reverse","United States","Metal","Big Indie Labels","1499","1146","721956","4552950","738708398","4172929095","879027","8354890","23523862","2775","200000","1250000","105724285","1144891114","773400","12219152","3273","287361","1388960","1847157","14423678","313503","1970391","1944498","70996","2550288","74623","508645","16916","116681","7630886","42670","3450","94347","58","623","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","506090","3896932","354910844","2037812625","1149041","7250371","30192831","2970","90000","1270000","58317697","750023580","389621","5539494","1328","135393","286446","232969","20494289","48596","2643023","1932445","-37473","5903010","34880","586930","6728","49506","1121142","26314","2283","150706","70","1342","157583","3","0","0","0.0632445742393941","1.1738731156493314"
"21","Bad Omens","United States","Metal","Big Indie Labels","1542","1617","599055","2281046","829807084","2688023158","1820048","7039275","23692439","4362","126000","469000","88162740","423237701","535047","4057032","2368","N/A","N/A","N/A","N/A","387677","1337954","3961519","124164","520297","48085","148069","15906","43373","3321199","67317","2590","128203","60","693","147925","1","1","63","0.250153549908325","3.210278619266678"
"22","Babymetal","Japan","Metal","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","1636","3055","486617","2931741","398902576","1735072135","-126846","3367842","18457594","2171","320000","3590000","126911776","1047326994","1535433","15514008","2096","573371","1985386","7209577","16316389","394135","2311337","5904067","39118","1023207","40962","168004","-44","15127","676","17226","6084","51073","59","390","N/A","N/A","N/A","N/A","N/A","N/A"
