"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","348503","34013070","287694234","20883888562","148666","32181087","130521992","344","100000","12300000","56779931","9225197612","327890","66917678","229","27040","4731876","146920","649854","7410","13765841","505994","-30300","36094602","24308","8040364","4314","433371","552001","224334","97","140136","145","4686","5428","192","1","338","10.78834510830577","742.2284455583695"
"2","System of a Down","United States","Metal","Universal Music Group","191","181","219368","15138205","205749521","12643742569","484669","25922974","67889549","294","30000","8120000","42769859","5479433881","203128","32128481","936","7470","1068205","6825","155877","101320","5817259","133359","-22873","18561597","16218","5724405","2902","181997","376649","165289","982","27274","77","1472","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Slipknot","United States","Metal","Warner Music Group","272","349","175321","15000197","141255580","10580697672","-7188","15842939","45146000","681","40000","9510000","30690766","4857395373","235387","42747808","370","103064","4371515","971408","1734176","12392","8970944","44460","-20977","17678849","13879","4078221","34","2247","16529","36261","1363","20166","69","799","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Rammstein","Germany","Metal","Other Indie / Unsigned","418","499","113965","12387213","126526284","10501184699","125849","13515022","32571082","625","20000","9210000","37566812","6109851025","192154","43072293","1327","28828","2701160","115339","795639","-7520","3989686","79551","-12623","8531781","10901","2677904","2059","156380","4007","157486","734","34159","71","1539","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Limp Bizkit","United States","Metal","Universal Music Group","426","308","163040","9031376","142129050","6573071282","174732","22271105","88156470","848","20000","2730000","19702999","2368619619","112849","13435908","2423","4142","308918","808","210424","29396","2051909","34436","-5121","4481212","11475","2105967","2766","146192","694821","135803","743","33940","88","2466","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","136447","12444970","108751802","7538455076","-53410","11614776","40784044","929","20000","6930000","22727943","3535442098","108689","24205479","964","48555","797404","607738","715317","46442","3453496","236811","-12129","15090490","7559","1898931","855","2986475","502602","37492","1763","17013","71","818","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Korn","United States","Metal","Big Indie Labels, Sony Music Entertainment","493","567","142861","10423612","103572412","6629542898","1141350","13646985","49112758","591","20000","3640000","18102478","2747559690","126521","20470445","1260","18311","1435192","83286","271622","44349","5103686","85132","-9917","12581019","9126","2585576","941","186598","465162","92048","939","27592","74","1159","111721","63","1","1","0.8316644540573556","17.989573475507147"
"8","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","117185","8246913","75237734","4823138310","-295816","14676984","93453431","1152","20000","3560000","18021447","1492664752","126569","16067541","243","N/A","N/A","N/A","N/A","41478","8482782","762733","-10830","13435730","10403","2561824","1199","69800","194247","145334","239","72166","90","3189","50396","N/A","N/A","N/A","N/A","N/A"
"9","Deftones","United States","Metal","Warner Music Group","512","421","170789","8614828","221642927","8183533374","395669","18098403","62570902","2039","30000","2100000","13261544","964550332","124787","10467275","1125","10461","593221","0","0","71443","4360798","685088","-1875","3081528","8463","1006490","7256","543245","3890351","148019","2386","10611","67","810","162894","2","0","0","0.026402046160550953","0.528040923211019"
"10","Bring Me the Horizon","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group, Warner Music Group","611","619","64948","6912707","122342413","9632104147","-1891","13703382","70482793","849","20000","4840000","18177216","2620155915","139006","32139587","1094","85915","1889765","587586","840918","34643","4178161","438880","-4172","5619420","6348","1281114","7507","3054708","322246","55512","2401","11513","67","813","125332","2","0","0","0.4605535826859295","4.297341962839957"
"11","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","110390","10380296","84700356","5616383897","363525","17870796","45706210","2474","10000","2610000","8945147","1056037609","65933","8746889","N/A","N/A","N/A","N/A","N/A","37822","5382799","179583","-7438","11881397","10414","2984084","1101","83152","267821","68500","312","64370","94","3140","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","65582","10730709","67928085","6195610164","-6676","8969515","34162338","2059","10000","3250000","10587589","1281152729","72322","10299130","1176","12210","912825","133651","639962","18065","4588232","349159","-14790","13159174","12667","3725692","N/A","N/A","N/A","0","503","46262","83","2150","130070","26","0","0","0.34322660008716255","6.864532001743251"
"13","Papa Roach","United States","Metal","Warner Music Group","826","672","69065","6446637","59016256","5283096818","152541","14352891","70691565","1519","10000","2070000","13703976","1800963307","107124","15599703","1889","-341","2358786","57117","363165","11487","2085849","85242","7502","6182051","6725","1969247","555","138540","265034","50852","769","26911","75","1456","91581","3","2","246","0.5659504719195411","19.453569873842945"
"14","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","34838","7094103","48565416","7098392168","6445","6313351","33981841","666","10000","4350000","15062693","3616143974","68417","22694197","5788","1030","541552","3245","52617","-751","1215013","14266","-4691","5378378","4214","1105243","733","146025","452610","22177","902","24673","59","772","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Pantera","United States","Metal","Big Indie Labels","1068","1081","81695","6687630","55770304","3143117870","348578","8210322","34591275","3307","10000","1700000","8129803","943804464","66034","6691590","2467","N/A","N/A","N/A","N/A","16432","2547934","83616","-7491","8481398","5702","1592616","N/A","N/A","N/A","30441","1822","15417","57","799","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Sleep Token","United Kingdom","Metal","Universal Music Group","1252","1544","52022","3177232","105883651","3714080345","-223736","5369303","12492219","1956","10000","1230000","8959101","350628571","48177","3669403","5103","N/A","N/A","N/A","N/A","10072","1545198","8031","1269","427878","3139","127421","N/A","N/A","N/A","31416","3157","4047","45","286","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Megadeth","United States","Metal","Big Indie Labels","1396","1583","46111","6437171","39033557","3043015394","-294258","5095617","31311718","7281","1540000","1770000","3513760","680368649","30577","8112378","1517","4073","497850","42917","168262","-5137","3400538","175993","-9864","7843327","6468","1769270","593","37251","84025","13066","1081","26194","66","1015","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Black Label Society","United States","Metal","Universal Music Group","1444","4672","25926","1928489","22937867","801106649","235480","3168742","7762379","1716","16000","756000","6056577","359830741","139381","3362293","23150","13789","336107","140988","637791","N/A","N/A","N/A","127","1977027","1207","277058","229","12180","209166","17237","4433","8597","54","512","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Falling In Reverse","United States","Metal","Big Indie Labels","1499","1146","45047","4552950","61499128","4172929095","-63252","8354890","23523862","2775","0","1250000","7025804","1144891114","43749","12219152","3273","-2639","1388960","7157","151718","4184","1970391","43448","-3516","2550288","5073","508645","1018","116681","542361","42670","3450","7111","45","343","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","42800","3896932","31686484","2037812625","-31100","7250371","30192831","2970","0","1270000","4857365","750023580","30885","5539494","1328","18963","286446","45539","881849","473","2643023","38943","-3613","5903010","2522","586930","533","49506","94053","26314","2283","15472","56","726","157583","3","0","0","0.058693655782466575","1.1738731156493314"
"21","Bad Omens","United States","Metal","Big Indie Labels","1542","1617","54735","2281046","85061231","2688023158","276590","7039275","23692439","4362","10000","469000","8041005","423237701","47629","4057032","2368","N/A","N/A","N/A","N/A","41043","1337954","346795","12124","520297","3450","148069","1322","43373","400446","67317","2590","13121","46","380","147925","1","1","63","0.1271029175375795","3.210278619266678"
"22","Babymetal","Japan","Metal","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","1636","3055","39503","2931741","31003220","1735072135","-62920","3367842","18457594","2171","30000","3590000","8997976","1047326994","109632","15514008","2096","73371","1985386","609577","632039","60004","2311337","449496","167","1023207","2662","168004","-10","15127","33","17226","6084","3881","38","168","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Godsmack","United States","Metal","BMG, Big Indie Labels, Universal Music Group","1708","1806","32715","3841523","32222838","2513994468","103559","5640230","26188636","2260","10000","1600000","8424708","1329335143","53631","7515745","7764","6580","96938","21732","752867","7877","587932","6102","-3426","3812542","1961","505228","N/A","N/A","N/A","15514","1279","21623","64","750","N/A","N/A","N/A","N/A","N/A","N/A"
"24","Judas Priest","United Kingdom","Metal","Sony Music Entertainment","1739","1958","26408","4664489","20855451","2096603532","-10359","4197465","58027968","2297","10000","1290000","7360779","934189832","53098","8034299","2862","5121","88394","45252","457327","6224","1416689","72928","294","4672104","4291","1230261","N/A","N/A","N/A","29185","550","43208","80","2038","N/A","N/A","N/A","N/A","N/A","N/A"
"25","Sabaton","Sweden","Metal","Big Indie Labels","1746","2890","17817","2530350","45043661","4363862138","202542","3323169","16934841","1607","10000","2220000","22785549","2501104401","230477","24924307","2583","13589","703864","159510","1156110","5399","903799","96393","5867","1207241","2538","400378","1155","66180","284123","9252","2835","9246","50","396","N/A","N/A","N/A","N/A","N/A","N/A"
"26","Motionless In White","United States","Metal","Warner Music Group, Sony Music Entertainment, Big Indie Labels","1787","2232","34741","2171177","52556929","2242562842","-195556","5596325","19988032","4010","10000","1300000","7824522","747274684","55244","8730947","3079","25658","567030","45993","114239","11876","1240581","20694","1817","1638764","2704","268408","N/A","N/A","N/A","30503","6369","4396","41","246","N/A","N/A","N/A","N/A","N/A","N/A"
"27","Bullet For My Valentine","United Kingdom","Metal","Universal Music Group, Sony Music Entertainment, Big Indie Labels","1884","2004","26309","3638034","27364600","2784535984","-20164","5009029","24370763","2301","0","2090000","5417829","1155376400","31833","8308700","4494","377","28186","102","10543","816","1031897","2024","-9729","7568066","3085","1327275","367","110606","64029","8007","3697","7412","54","437","N/A","N/A","N/A","N/A","N/A","N/A"
"28","Mägo de Oz","Spain","Metal","Warner Music Group, Sony Music Entertainment","2121","2353","21552","4860623","28393280","2445562149","98589","3881238","8754673","3648","10000","2420000","6030993","990637166","26053","6794820","9046","386","61748","554","35263","679","447949","12283","-6027","4025724","1262","852990","132","15079","3427","18831","3488","9119","31","427","N/A","N/A","N/A","N/A","N/A","N/A"
"29","I Prevail","United States","Metal","Big Indie Labels, Warner Music Group","2269","2520","22654","1993853","31189517","2602412067","-55992","4509708","26579505","4512","10000","1190000","5084460","550022764","65844","6709061","2299","3975","1007522","118525","895305","9823","1068664","92730","24613","2039868","1991","170928","315","35822","148413","13457","3853","4785","45","316","134384","1","1","44","0.16699403724400727","190.42261971318487"
"30","Slayer","United States","Metal","Big Indie Labels","2356","2459","32877","4625385","18844019","1850188201","51596","3354294","19195317","6768","0","1060000","1646626","345298951","12719","2987770","N/A","N/A","N/A","N/A","N/A","36880","1775630","67692","-8639","4648416","3818","916293","470","185965","57591","57728","1719","16893","55","570","N/A","N/A","N/A","N/A","N/A","N/A"
"31","Motörhead","United Kingdom","Metal","Universal Music Group, BMG, Big Indie Labels","2445","2157","25390","4607105","19269286","1917766375","55749","4315013","36576227","5722","7000","934000","6627495","427303113","52533","3956517","N/A","600","323908","6586","28928","47626","1458758","28131","-651","2940763","3834","1100408","283","22422","46565","13556","1198","23377","68","1432","N/A","N/A","N/A","N/A","N/A","N/A"
"32","Nightwish","Finland","Metal","Big Indie Labels","2564","3723","14879","2499266","20719850","2027580474","39041","2787228","13601539","2781","0","1850000","9266259","1785879776","47052","10803293","9446","323","63629","458","5683","643","512419","1138","-4949","3862222","2889","1156162","209","22783","25371","11424","1597","18070","62","866","N/A","N/A","N/A","N/A","N/A","N/A"
"33","Volbeat","Denmark","Metal","Universal Music Group, Big Indie Labels","2663","1968","11835","2804988","32439626","4173970130","81261","4520983","20951066","3439","2000","935000","4388561","1017725047","17973","4737261","8816","245","225882","8996","50131","6835","583153","7512","-631","1774163","1862","623470","143","22576","32385","16693","781","31308","61","1104","N/A","N/A","N/A","N/A","N/A","N/A"
"34","Lamb of God","United States","Metal","Sony Music Entertainment, Big Indie Labels","2798","4443","19753","2398392","22645960","1511687002","146200","2567482","19856546","4226","0","1010000","4309826","480522265","60763","4942472","3571","3304","307791","60811","330790","10557","1412573","134409","-421","3934829","2110","481140","231","40492","53892","4595","5744","4572","42","296","N/A","N/A","N/A","N/A","N/A","N/A"
"35","Drowning Pool","United States","Metal","Big Indie Labels","3138","2192","33411","2613228","18806684","1237609786","356932","6383196","22562937","4791","4000","551000","3688848","536460188","30667","4340445","16629","413","15243","703","5692","999","124581","3905","-2855","2051636","980","446872","N/A","N/A","N/A","29788","4948","5133","50","411","N/A","N/A","N/A","N/A","N/A","N/A"
"36","Rata Blanca","Argentina","Metal","N/A","3333","3434","16085","1582848","16709649","794539674","65193","4427877","12895726","4384","4000","357000","6932356","987684317","24857","4200051","11750","N/A","N/A","N/A","N/A","6588","281215","47728","3797","1439731","717","501270","28","5370","3679","12936","2442","8755","26","706","N/A","N/A","N/A","N/A","N/A","N/A"
"37","Electric Callboy","Germany","Metal","Sony Music Entertainment, Universal Music Group, Big Indie Labels","3463","3986","10254","1157268","21310583","1425551035","-72582","2777105","12824493","5002","0","1060000","5022010","498032654","29158","7543069","5303","330","417400","14255","66234","969","667589","26489","472","345584","1812","144050","23","8826","16703","9159","7120","3203","35","207","N/A","N/A","N/A","N/A","N/A","N/A"
"38","Sepultura","Brazil","Metal","Big Indie Labels, Warner Music Group","3485","4695","24902","2461433","14552034","817389451","-2468","2299289","19377969","8752","5000","486000","2256185","301095222","20913","2947148","4839","6371","50572","476","23209","7467","1217287","86601","-4134","3878657","3613","897448","256","16090","32462","4911","3387","8238","53","466","N/A","N/A","N/A","N/A","N/A","N/A"
"39","Architects","United Kingdom","Metal","Big Indie Labels","3610","4384","15320","1320493","22536313","1454735207","1146","2780346","11639238","9100","3000","375000","2407601","323293561","15382","3621437","6012","473","190013","1546","25972","5425","750068","47718","3286","850498","1736","212842","289","10465","100780","13908","3062","8665","48","332","N/A","N/A","N/A","N/A","N/A","N/A"
"40","P.O.D.","United States","Metal","Big Indie Labels, Warner Music Group","3817","2956","10000","2142063","13869635","1260011376","51706","3882193","33706734","5736","4000","492000","5058607","516074448","27336","3683217","10251","157","57675","603","11665","377","294935","6546","-1756","1083528","1317","507208","113","18942","37871","12898","2106","12773","78","994","132139","4","0","0","0.3080112381795794","6.160224763591589"
"41","Killswitch Engage","United States","Metal","Big Indie Labels, Sony Music Entertainment","3849","3063","14356","2240688","18550990","1690681810","-44890","3418532","18514330","9356","2000","535000","2014460","415938373","12988","3287490","7785","257","48691","885","15632","1421","478864","9786","-2185","2646394","1138","344682","159","26775","98226","10816","3915","4966","46","327","N/A","N/A","N/A","N/A","N/A","N/A"
"42","Ice Nine Kills","United States","Metal","Big Indie Labels, BMG","3883","5218","16840","1270665","22717347","1401154657","-253090","2501928","13327216","8181","5000","520000","3540169","191134235","49207","3504301","5272","10434","505320","30320","494020","29432","736651","94835","579","582709","1248","76066","0","229","38","10885","6267","2545","38","182","N/A","N/A","N/A","N/A","N/A","N/A"
"43","Within Temptation","Netherlands","Metal","Big Indie Labels, Sony Music Entertainment","3952","5445","7713","1452678","12377880","1242895013","-57282","2141552","20021201","3351","0","1270000","6534203","1247418451","41707","7914803","8049","0","38800","0","7377","2081","437529","49048","650","2022434","1898","606501","N/A","N/A","N/A","14521","2780","12974","68","965","N/A","N/A","N/A","N/A","N/A","N/A"
"44","Asking Alexandria","United Kingdom","Metal","Big Indie Labels","4137","3709","14292","2489129","15123000","2082535502","8884","2672071","13535396","5898","1000","635000","3074879","1021188048","17580","9141262","6469","345","215783","1703","45052","1225","1391372","638","-6338","4557655","1361","625458","347","41271","126520","5900","5329","4369","49","304","90653","23","2","224","2.021929793633799","16.472805664222815"
"45","Trivium","United States","Metal","Warner Music Group, Universal Music Group","4287","5289","8436","1753815","11695455","1397968851","15531","1819609","18628238","8125","2000","810000","2669748","518593467","24039","4371702","5588","2312","105804","42283","524779","1950","720076","13528","-504","1928050","1162","375037","-88","2604920","33750","1476","4283","6134","48","276","N/A","N/A","N/A","N/A","N/A","N/A"
"46","Her Last Sight","Israel","Metal","N/A","4421","26025","9834","138677","3111241","29922617","-142394","492590","1276599","3780","24000","192000","30733462","148029468","243419","2427355","13313","N/A","N/A","N/A","N/A","36548","440379","106990","32709","347897","297","3678","N/A","N/A","N/A","2702","92198","91","6","8","N/A","N/A","N/A","N/A","N/A","N/A"
"47","Dream Theater","United States","Metal","Sony Music Entertainment, Big Indie Labels","4428","6192","11589","1842923","12710517","1247540018","-60110","1619461","16837783","6841","0","1010000","2229213","414742802","15598","3845276","6008","269","24584","891","24607","1831","725168","6629","-4644","3707798","1634","584668","123","13880","14701","8066","3285","8338","58","682","N/A","N/A","N/A","N/A","N/A","N/A"
"48","Spiritbox","Canada","Metal","BMG, Warner Music Group, Universal Music Group","4444","3908","21065","1123989","24977166","918681310","160679","3527167","21013495","11198","5000","410000","1941939","110165319","23911","2189236","4528","1160","350315","4115","28472","8499","716280","63791","418","260927","1542","68766","N/A","N/A","N/A","9770","10672","1405","34","160","N/A","N/A","N/A","N/A","N/A","N/A"
"49","Gojira","France","Metal","Warner Music Group, BMG, Big Indie Labels","4450","4361","16870","1880785","17661769","1350438587","-38567","2340530","18041686","8747","3000","785000","1943696","295571344","16678","3885689","4328","N/A","N/A","N/A","N/A","7754","1250053","118074","-905","984442","3608","497865","N/A","N/A","N/A","5659","7932","3117","46","239","N/A","N/A","N/A","N/A","N/A","N/A"
