"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","68427","34013070","62707932","20883888562","90535","32181087","130521992","344","0","12300000","12409744","9225197612","68644","66917678","229","4048","4731876","45835","0","4100","13765841","27401","-9423","36094602","5219","8040364","870","433371","120580","12436","97","31586","87","3005","5428","192","1","338","10.78834510830577","742.2284455583695"
"2","System of a Down","United States","Metal","Universal Music Group","191","181","45225","15138205","48225800","12643742569","-145985","25922974","67889549","294","10000","8120000","9723126","5479433881","46814","32128481","936","1755","1068205","2674","0","28749","5817259","36892","-5187","18561597","3446","5724405","598","181997","83720","29933","982","6324","64","920","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Slipknot","United States","Metal","Warner Music Group","272","349","35157","15000197","33406372","10580697672","-24188","15842939","45146000","681","10000","9510000","7420228","4857395373","65595","42747808","370","34318","4371515","522629","0","1043","8970944","4272","-5070","17678849","2931","4078221","4","2247","3690","1030","1363","4624","59","508","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Rammstein","Germany","Metal","Other Indie / Unsigned","418","499","22722","12387213","27126657","10501184699","18662","13515022","32571082","625","0","9210000","8235435","6109851025","41510","43072293","1327","2319","2701160","31132","0","101","3989686","6983","-2485","8531781","2470","2677904","383","156380","760","560","734","8031","60","947","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Limp Bizkit","United States","Metal","Universal Music Group","426","308","32707","9031376","32674319","6573071282","-49610","22271105","88156470","848","0","2730000","4271084","2368619619","24519","13435908","2423","1685","308918","298","0","9454","2051909","2302","-1244","4481212","2269","2105967","592","146192","147848","137","743","7635","78","1459","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","29203","12444970","27055754","7538455076","33828","11614776","40784044","929","10000","6930000","5835265","3535442098","26923","24205479","964","18720","797404","205493","0","10699","3453496","93034","-2551","15090490","1616","1898931","250","2986475","110469","494","1763","3939","55","510","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Korn","United States","Metal","Big Indie Labels, Sony Music Entertainment","493","567","30073","10423612","25250808","6629542898","163438","13646985","49112758","591","0","3640000","3985236","2747559690","27720","20470445","1260","6266","1435192","32235","0","5228","5103686","3435","-3085","12581019","1555","2585576","207","186598","103207","21","939","6234","66","701","111721","63","1","1","0.8316644540573556","17.989573475507147"
"8","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","25171","8246913","16811040","4823138310","-53364","14676984","93453431","1152","10000","3560000","3856750","1492664752","26627","16067541","243","N/A","N/A","N/A","N/A","105","8482782","324868","-573","13435730","2025","2561824","224","69800","42876","1949","239","16407","80","2048","50396","N/A","N/A","N/A","N/A","N/A"
"9","Deftones","United States","Metal","Warner Music Group","512","421","35468","8614828","52632446","8183533374","12503","18098403","62570902","2039","10000","2100000","2892865","964550332","26782","10467275","1125","3477","593221","N/A","0","16133","4360798","258353","-790","3081528","1769","1006490","1570","543245","834295","2767","2386","2407","60","497","162894","2","0","0","0.026402046160550953","0.528040923211019"
"10","Bring Me the Horizon","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group, Warner Music Group","611","619","13646","6912707","27336956","9632104147","-7926","13703382","70482793","849","10000","4840000","4210021","2620155915","33737","32139587","1094","4230","1889765","183212","0","9849","4178161","180426","-902","5619420","1395","1281114","1516","3054708","62697","552","2401","2547","56","484","125332","2","0","0","0.4605535826859295","4.297341962839957"
