"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","34013070","20883888562","32181087","130521992","344","12300000","9225197612","66917678","229","4731876","13765841","36094602","8040364","433371","97","5428","192","1","338","742.2284455583695"
"2","System of a Down","United States","Metal","Universal Music Group","191","181","15138205","12643742569","25922974","67889549","294","8120000","5479433881","32128481","936","1068205","5817259","18561597","5724405","181997","982","N/A","N/A","N/A","N/A","N/A"
"3","Slipknot","United States","Metal","Warner Music Group","272","349","15000197","10580697672","15842939","45146000","681","9510000","4857395373","42747808","370","4371515","8970944","17678849","4078221","2247","1363","N/A","N/A","N/A","N/A","N/A"
"4","Rammstein","Germany","Metal","Other Indie / Unsigned","418","499","12387213","10501184699","13515022","32571082","625","9210000","6109851025","43072293","1327","2701160","3989686","8531781","2677904","156380","734","N/A","N/A","N/A","N/A","N/A"
"5","Limp Bizkit","United States","Metal","Universal Music Group","426","308","9031376","6573071282","22271105","88156470","848","2730000","2368619619","13435908","2423","308918","2051909","4481212","2105967","146192","743","N/A","N/A","N/A","N/A","N/A"
"6","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","12444970","7538455076","11614776","40784044","929","6930000","3535442098","24205479","964","797404","3453496","15090490","1898931","2986475","1763","N/A","N/A","N/A","N/A","N/A"
"7","Korn","United States","Metal","Big Indie Labels, Sony Music Entertainment","493","567","10423612","6629542898","13646985","49112758","591","3640000","2747559690","20470445","1260","1435192","5103686","12581019","2585576","186598","939","111721","63","1","1","17.989573475507147"
"8","Ozzy Osbourne","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group","495","604","8246913","4823138310","14676984","93453431","1152","3560000","1492664752","16067541","243","N/A","8482782","13435730","2561824","69800","239","50396","N/A","N/A","N/A","N/A"
"9","Deftones","United States","Metal","Warner Music Group","512","421","8614828","8183533374","18098403","62570902","2039","2100000","964550332","10467275","1125","593221","4360798","3081528","1006490","543245","2386","162894","2","0","0","0.528040923211019"
"10","Bring Me the Horizon","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group, Warner Music Group","611","619","6912707","9632104147","13703382","70482793","849","4840000","2620155915","32139587","1094","1889765","4178161","5619420","1281114","3054708","2401","125332","2","0","0","4.297341962839957"
"11","Black Sabbath","United Kingdom","Metal","BMG, Universal Music Group, Sony Music Entertainment","619","462","10380296","5616383897","17870796","45706210","2474","2610000","1056037609","8746889","N/A","N/A","5382799","11881397","2984084","83152","312","N/A","N/A","N/A","N/A","N/A"
"12","Iron Maiden","United Kingdom","Metal","Warner Music Group, Universal Music Group","722","817","10730709","6195610164","8969515","34162338","2059","3250000","1281152729","10299130","1176","912825","4588232","13159174","3725692","N/A","503","130070","26","0","0","6.864532001743251"
"13","Papa Roach","United States","Metal","Warner Music Group","826","672","6446637","5283096818","14352891","70691565","1519","2070000","1800963307","15599703","1889","2358786","2085849","6182051","1969247","138540","769","91581","3","2","246","19.453569873842945"
"14","Five Finger Death Punch","United States","Metal","Big Indie Labels","989","1087","7094103","7098392168","6313351","33981841","666","4350000","3616143974","22694197","5788","541552","1215013","5378378","1105243","146025","902","N/A","N/A","N/A","N/A","N/A"
"15","Pantera","United States","Metal","Big Indie Labels","1068","1081","6687630","3143117870","8210322","34591275","3307","1700000","943804464","6691590","2467","N/A","2547934","8481398","1592616","N/A","1822","N/A","N/A","N/A","N/A","N/A"
"16","Sleep Token","United Kingdom","Metal","Universal Music Group","1252","1544","3177232","3714080345","5369303","12492219","1956","1230000","350628571","3669403","5103","N/A","1545198","427878","127421","N/A","3157","N/A","N/A","N/A","N/A","N/A"
"17","Megadeth","United States","Metal","Big Indie Labels","1396","1583","6437171","3043015394","5095617","31311718","7281","1770000","680368649","8112378","1517","497850","3400538","7843327","1769270","37251","1081","N/A","N/A","N/A","N/A","N/A"
"18","Black Label Society","United States","Metal","Universal Music Group","1444","4672","1928489","801106649","3168742","7762379","1716","756000","359830741","3362293","23150","336107","N/A","1977027","277058","12180","4433","N/A","N/A","N/A","N/A","N/A"
"19","Falling In Reverse","United States","Metal","Big Indie Labels","1499","1146","4552950","4172929095","8354890","23523862","2775","1250000","1144891114","12219152","3273","1388960","1970391","2550288","508645","116681","3450","N/A","N/A","N/A","N/A","N/A"
"20","Rob Zombie","United States","Metal","Big Indie Labels, BMG, Universal Music Group","1528","1610","3896932","2037812625","7250371","30192831","2970","1270000","750023580","5539494","1328","286446","2643023","5903010","586930","49506","2283","157583","3","0","0","1.1738731156493314"
"21","Bad Omens","United States","Metal","Big Indie Labels","1542","1617","2281046","2688023158","7039275","23692439","4362","469000","423237701","4057032","2368","N/A","1337954","520297","148069","43373","2590","147925","1","1","63","3.210278619266678"
"22","Babymetal","Japan","Metal","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment","1636","3055","2931741","1735072135","3367842","18457594","2171","3590000","1047326994","15514008","2096","1985386","2311337","1023207","168004","15127","6084","N/A","N/A","N/A","N/A","N/A"
"23","Godsmack","United States","Metal","BMG, Big Indie Labels, Universal Music Group","1708","1806","3841523","2513994468","5640230","26188636","2260","1600000","1329335143","7515745","7764","96938","587932","3812542","505228","N/A","1279","N/A","N/A","N/A","N/A","N/A"
"24","Judas Priest","United Kingdom","Metal","Sony Music Entertainment","1739","1958","4664489","2096603532","4197465","58027968","2297","1290000","934189832","8034299","2862","88394","1416689","4672104","1230261","N/A","550","N/A","N/A","N/A","N/A","N/A"
"25","Sabaton","Sweden","Metal","Big Indie Labels","1746","2890","2530350","4363862138","3323169","16934841","1607","2220000","2501104401","24924307","2583","703864","903799","1207241","400378","66180","2835","N/A","N/A","N/A","N/A","N/A"
"26","Motionless In White","United States","Metal","Warner Music Group, Sony Music Entertainment, Big Indie Labels","1787","2232","2171177","2242562842","5596325","19988032","4010","1300000","747274684","8730947","3079","567030","1240581","1638764","268408","N/A","6369","N/A","N/A","N/A","N/A","N/A"
"27","Bullet For My Valentine","United Kingdom","Metal","Universal Music Group, Sony Music Entertainment, Big Indie Labels","1884","2004","3638034","2784535984","5009029","24370763","2301","2090000","1155376400","8308700","4494","28186","1031897","7568066","1327275","110606","3697","N/A","N/A","N/A","N/A","N/A"
"28","Mägo de Oz","Spain","Metal","Warner Music Group, Sony Music Entertainment","2121","2353","4860623","2445562149","3881238","8754673","3648","2420000","990637166","6794820","9046","61748","447949","4025724","852990","15079","3488","N/A","N/A","N/A","N/A","N/A"
