"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Paranoid","1970-09-18","N/A","Metal","N/A","N/A","Black Sabbath","N/A","N/A","N/A","N/A","418","N/A","N/A","N/A","N/A","355227248.0849999","N/A","N/A","N/A","295674028","1606669029","N/A","N/A","N/A","109610977","506036617","N/A","N/A","N/A","209938","N/A","N/A","N/A","N/A","1163191","5272664","N/A","N/A","N/A","N/A","N/A"
"Toxicity","1999-01-01","N/A","Metal","N/A","N/A","System of a Down","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","352813039.53","N/A","N/A","N/A","295256492","1503012185","N/A","N/A","N/A","133744099","1220433381","N/A","N/A","N/A","54924","N/A","N/A","N/A","N/A","482326","2123368","N/A","N/A","N/A","0","3359461"
"Chop Suey!","1999-11-26","N/A","Metal","N/A","N/A","System of a Down","N/A","N/A","N/A","N/A","500","N/A","N/A","N/A","N/A","331225821.88","N/A","N/A","N/A","318374638","1967911126","N/A","N/A","N/A","87967419","1638443709","N/A","N/A","N/A","68011","N/A","N/A","N/A","N/A","552464","2986814","N/A","N/A","N/A","0","4950759"
"Nothing Else Matters (Remastered)","1991-08-12","N/A","Metal","N/A","N/A","Metallica","N/A","N/A","N/A","N/A","504","N/A","N/A","N/A","N/A","330016539.70500004","N/A","N/A","N/A","248940606","1612527123","N/A","N/A","N/A","162006542","1819753139","N/A","N/A","N/A","8617","N/A","N/A","N/A","N/A","194825","420304","N/A","N/A","N/A","N/A","N/A"
"Enter Sandman (Remastered)","1991-08-12","N/A","Metal","N/A","N/A","Metallica","N/A","N/A","N/A","N/A","604","N/A","N/A","N/A","N/A","302813387.69","N/A","N/A","N/A","380149138","2054274294","N/A","N/A","N/A","18836152","247882892","N/A","N/A","N/A","2327","N/A","N/A","N/A","N/A","458158","996391","N/A","N/A","N/A","N/A","N/A"
"Break Stuff","1999-01-01","N/A","Metal","N/A","N/A","Limp Bizkit","N/A","N/A","N/A","N/A","867","N/A","N/A","N/A","N/A","257412276.13499996","N/A","N/A","N/A","273872038","668441818","N/A","N/A","N/A","44774956","326672905","N/A","N/A","N/A","30206","N/A","N/A","N/A","N/A","1864225","7710635","N/A","N/A","N/A","0","1751728"
"Aerials","1999-11-26","N/A","Metal","N/A","N/A","System of a Down","N/A","N/A","N/A","N/A","983","N/A","N/A","N/A","N/A","240642544.44000003","N/A","N/A","N/A","236662062","915550732","N/A","N/A","N/A","58403704","561082932","N/A","N/A","N/A","39732","N/A","N/A","N/A","N/A","438388","1585613","N/A","N/A","N/A","0","2350498"
"Last Resort","2000-04-25","N/A","Metal","N/A","N/A","Papa Roach","N/A","N/A","N/A","N/A","1001","N/A","N/A","N/A","N/A","238687796.85500002","N/A","N/A","N/A","208054257","1535868100","N/A","N/A","N/A","75005546","587374113","N/A","N/A","N/A","78555","N/A","N/A","N/A","N/A","342133","2178483","N/A","N/A","N/A","N/A","N/A"
"Rollin' (Air Raid Vehicle)","2000-01-01","N/A","Metal","N/A","N/A","Limp Bizkit","N/A","N/A","N/A","N/A","1048","N/A","N/A","N/A","N/A","230783314.49499997","N/A","N/A","N/A","235084679","908189237","N/A","N/A","N/A","51130763","389274483","N/A","N/A","N/A","32551","N/A","N/A","N/A","N/A","316239","411043","N/A","N/A","N/A","0","1804802"
"Lonely Day","1999-11-26","N/A","Metal","N/A","N/A","System of a Down","N/A","N/A","N/A","N/A","1124","N/A","N/A","N/A","N/A","221659138.49","N/A","N/A","N/A","224222204","995359239","N/A","N/A","N/A","49620170","456668781","N/A","N/A","N/A","22687","N/A","N/A","N/A","N/A","316341","1302272","N/A","N/A","N/A","N/A","N/A"
"Master Of Puppets","1986-03-03","N/A","Metal","N/A","N/A","Metallica","N/A","N/A","N/A","N/A","1358","N/A","N/A","N/A","N/A","200521992.135","N/A","N/A","N/A","208627366","1221791575","N/A","N/A","N/A","24237992","414632609","N/A","N/A","N/A","60882","N/A","N/A","N/A","N/A","896175","4841016","N/A","N/A","N/A","N/A","N/A"
"Du hast - Single Version","1997-07-18","N/A","Metal","N/A","N/A","Rammstein","N/A","N/A","N/A","N/A","1445","N/A","N/A","N/A","N/A","193022727.065","N/A","N/A","N/A","19383317","814938839","N/A","N/A","N/A","74871497","805860226","N/A","N/A","N/A","56320","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","2705698"
"Cowboys from Hell","1990-07-20","N/A","Metal","N/A","N/A","Pantera","N/A","N/A","N/A","N/A","1521","N/A","N/A","N/A","N/A","186831304.72000006","N/A","N/A","N/A","74341239","438762919","N/A","N/A","N/A","13364650","120302548","N/A","N/A","N/A","29040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1498","676454"
"Walk","1992-02-21","N/A","Metal","N/A","N/A","Pantera","N/A","N/A","N/A","N/A","1565","N/A","N/A","N/A","N/A","183801480.16","N/A","N/A","N/A","95654088","579051821","N/A","N/A","N/A","34821219","350707840","N/A","N/A","N/A","31556","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4157","1652745"
"Change (In the House of Flies)","2000-05-16","N/A","Metal","N/A","N/A","Deftones","N/A","N/A","N/A","N/A","1643","N/A","N/A","N/A","N/A","178772041.70000002","N/A","N/A","N/A","193986335","728921919","N/A","N/A","N/A","22826270","158999370","N/A","N/A","N/A","21268","N/A","N/A","N/A","N/A","3990655","22905615","N/A","N/A","N/A","6020","2546187"
"Duality","2004-01-01","N/A","Metal","N/A","N/A","Slipknot","N/A","N/A","N/A","N/A","1839","N/A","N/A","N/A","N/A","167203479.56","N/A","N/A","N/A","205909772","1135052462","N/A","N/A","N/A","46716152","470709988","N/A","N/A","N/A","32672","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4469","1448907"
"No More Tears","1991-09-17","N/A","Metal","N/A","N/A","Ozzy Osbourne","N/A","N/A","N/A","N/A","1849","N/A","N/A","N/A","N/A","166709208.48999998","N/A","N/A","N/A","143741104","381577599","N/A","N/A","N/A","45682377","170991588","N/A","N/A","N/A","55560","N/A","N/A","N/A","N/A","559984","1325937","N/A","N/A","N/A","0","2504157"
