"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Bring Me the Horizon","United Kingdom","Metal","Sony Music Entertainment, Universal Music Group, Warner Music Group","611","619","562097","6912707","1362095749","9632104147","267230","13703382","70482793","849","180000","4840000","201262236","2620155915","1235735","32139587","1094","205915","1889765","6637586","17598128","235976","4178161","5540514","-71211","5619420","100387","1281114","68054","3054708","3036892","55512","2401","143754","86","1438","125332","2","0","0","0.8132256336574049","4.297341962839957"
"2","Falling In Reverse","United States","Metal","Big Indie Labels","1499","1146","721956","4552950","738708398","4172929095","879027","8354890","23523862","2775","200000","1250000","105724285","1144891114","773400","12219152","3273","287361","1388960","1847157","14423678","313503","1970391","1944498","70996","2550288","74623","508645","16916","116681","7630886","42670","3450","94347","58","623","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Bad Omens","United States","Metal","Big Indie Labels","1542","1617","599055","2281046","829807084","2688023158","1820048","7039275","23692439","4362","126000","469000","88162740","423237701","535047","4057032","2368","N/A","N/A","N/A","N/A","387677","1337954","3961519","124164","520297","48085","148069","15906","43373","3321199","67317","2590","128203","60","693","147925","1","1","63","0.250153549908325","3.210278619266678"
"4","Motionless In White","United States","Metal","Warner Music Group, Sony Music Entertainment, Big Indie Labels","1787","2232","306195","2171177","444983823","2242562842","1959408","5596325","19988032","4010","100000","1300000","73993908","747274684","585873","8730947","3079","52468","567030","125993","3628139","97656","1240581","605118","7552","1638764","37792","268408","N/A","N/A","N/A","30503","6369","49019","56","441","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Bullet For My Valentine","United Kingdom","Metal","Universal Music Group, Sony Music Entertainment, Big Indie Labels","1884","2004","299349","3638034","311548311","2784535984","467991","5009029","24370763","2301","80000","2090000","65042704","1155376400","406480","8308700","4494","10507","28186","2902","47873","74837","1031897","1211209","-121386","7568066","50646","1327275","4006","110606","761750","8007","3697","89894","75","812","N/A","N/A","N/A","N/A","N/A","N/A"
"6","I Prevail","United States","Metal","Big Indie Labels, Warner Music Group","2269","2520","299632","1993853","381300878","2602412067","60799","4509708","26579505","4512","100000","1190000","55145340","550022764","622119","6709061","2299","124465","1007522","1988525","9780255","140138","1068664","1602473","260453","2039868","31562","170928","5397","35822","1729776","13457","3853","83270","61","560","134384","1","1","44","0.3543278509892175","190.42261971318487"
"7","A Day To Remember","United States","Punk","Warner Music Group, Sony Music Entertainment","2693","2074","117029","2585742","416643590","3841902243","155400","5620508","39384555","5487","40000","1070000","34191314","763305805","239925","5796853","4305","65430","349396","834698","2144695","66829","1130016","1177950","-13839","4127864","23523","484285","3065","14490","1132474","13696","3740","87372","67","680","89809","N/A","N/A","N/A","N/A","N/A"
"8","Electric Callboy","Germany","Metal","Sony Music Entertainment, Universal Music Group, Big Indie Labels","3463","3986","174286","1157268","309042788","1425551035","-329401","2777105","12824493","5002","97000","1060000","77053551","498032654","658716","7543069","5303","57260","417400","894255","7507624","75688","667589","2035132","35015","345584","33819","144050","255","8826","234206","9159","7120","42478","46","417","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Architects","United Kingdom","Metal","Big Indie Labels","3610","4384","179775","1320493","285654608","1454735207","-174089","2780346","11639238","9100","48000","375000","31363309","323293561","234316","3621437","6012","90473","190013","564446","578622","100899","750068","1498139","7284","850498","28237","212842","3074","10465","1183827","13908","3062","108013","62","558","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Killswitch Engage","United States","Metal","Big Indie Labels, Sony Music Entertainment","3849","3063","172369","2240688","221892451","1690681810","-133089","3418532","18514330","9356","38000","535000","23315794","415938373","174719","3287490","7785","12447","48691","91165","463379","43368","478864","515807","-31194","2646394","17093","344682","2358","26775","1234612","10816","3915","83019","60","627","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Ice Nine Kills","United States","Metal","Big Indie Labels, BMG","3883","5218","189071","1270665","246181129","1401154657","494768","2501928","13327216","8181","81000","520000","28642212","191134235","414944","3504301","5272","57334","505320","960320","2541920","104750","736651","1384743","45712","582709","18313","76066","3","229","565","10885","6267","47626","47","368","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Asking Alexandria","United Kingdom","Metal","Big Indie Labels","4137","3709","137819","2489129","192116321","2082535502","-242223","2672071","13535396","5898","25000","635000","37034580","1021188048","216171","9141262","6469","30145","215783","301703","713712","6127","1391372","351286","-81259","4557655","24837","625458","3205","41271","1052964","5900","5329","60486","66","550","90653","23","2","224","3.0801131866139815","16.472805664222815"
"13","Her Last Sight","Israel","Metal","N/A","4421","26025","94034","138677","20530925","29922617","306845","492590","1276599","3780","119700","192000","80612686","148029468","911542","2427355","13313","N/A","N/A","N/A","N/A","50506","440379","126695","311261","347897","2656","3678","N/A","N/A","N/A","2702","92198","996","12","23","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Spiritbox","Canada","Metal","BMG, Warner Music Group, Universal Music Group","4444","3908","253535","1123989","284463263","918681310","-34234","3527167","21013495","11198","65000","410000","20675677","110165319","266513","2189236","4528","57180","350315","644115","8223692","155798","716280","1563524","18077","260927","24083","68766","N/A","N/A","N/A","9770","10672","25540","50","362","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Alex Terrible","United States","Metal","Big Indie Labels, Sony Music Entertainment","4489","14120","63584","218093","48049383","142402390","-161498","996827","2689395","4617","150000","1530000","90769708","413798142","1515000","11111770","1287","497642","1069044","13564972","27775882","651637","2767254","15944569","N/A","N/A","4013","13723","N/A","N/A","N/A","4706","83285","1206","22","49","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Dayseeker","United States","Rock","Universal Music Group, Big Indie Labels, Sony Music Entertainment","4582","5922","184831","570396","230852699","664388684","868779","2229875","11594499","7969","61000","209000","26481122","80629096","190401","845100","5896","90722","180670","971448","4791347","140895","347098","845624","48145","150311","7812","17335","N/A","N/A","N/A","10673","5951","49600","43","293","116908","1","1","28","1.0737690393847334","4.334604562660618"
"17","Fraxriel","United States","Metal","N/A","4792","117195","7646","9922","3988913","4337802","64067","68281","133228","524","279230","282000","1187171495","1508910814","25235678","32706997","16000","3283","7585","115043","156603","14699","41243","603014","41","80","165","184","265","390","145374","115","380385","10","4","4","N/A","N/A","N/A","N/A","N/A","N/A"
"18","ZMAJOR","Turkey","Metal","Big Indie Labels","5062","5313","50464","67383","218052936","257537107","3125678","3545620","4500028","8273","119500","130000","1626850","2203791","27033","37489","66093","6945","56244","508932","3611161","907","9979","3243","N/A","N/A","818","1110","2768","6715","6543877","7193","70550","1762","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Lorna Shore","United States","Metal","Sony Music Entertainment","5342","8381","187701","967208","137718639","524026189","134736","1048293","7435021","10169","111000","368000","26070595","118733254","368579","2391398","3816","72103","206764","674212","4783907","160260","615087","2610103","59187","470021","20037","64122","N/A","N/A","N/A","5051","20864","9994","33","150","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Knocked Loose","United States","Metal","Big Indie Labels, Warner Music Group","5738","8319","98132","674988","104965808","577540069","151225","1604261","12036977","12311","8600","79900","2005703","31757988","17580","367432","11020","35904","163232","376787","34674008","65131","528659","376079","12365","235984","10754","29778","1339","7054","675456","4195","43633","3603","24","109","N/A","N/A","N/A","N/A","N/A","N/A"
