"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","998077","34013070","850308790","20883888562","596161","32181087","130521992","344","200000","12300000","164108707","9225197612","978567","66917678","229","117040","4731876","946920","10484014","132962","13765841","1773119","-47263","36094602","77835","8040364","13297","433371","1647420","224334","97","408746","156","5448","5428","192","1","338","12.289483736909908","742.2284455583695"
"2","Pantera","United States","Metal","Big Indie Labels","1068","1081","227273","6687630","162969238","3143117870","907326","8210322","34591275","3307","30000","1700000","22847292","943804464","168961","6691590","2467","N/A","N/A","N/A","N/A","50562","2547934","476015","-20453","8481398","18359","1592616","N/A","N/A","N/A","30441","1822","45040","59","952","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Megadeth","United States","Metal","Big Indie Labels","1396","1583","156088","6437171","135249221","3043015394","-75768","5095617","31311718","7281","1540000","1770000","10114041","680368649","91741","8112378","1517","26553","497850","42917","1147442","21019","3400538","910895","-17752","7843327","19866","1769270","1880","37251","269747","13066","1081","78493","75","1297","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Slayer","United States","Metal","Big Indie Labels","2356","2459","90886","4625385","54147282","1850188201","356805","3354294","19195317","6768","10000","1060000","4921593","345298951","37460","2987770","N/A","N/A","N/A","N/A","N/A","36880","1775630","67692","-18297","4648416","12300","916293","1377","185965","180166","57728","1719","49346","56","713","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Sepultura","Brazil","Metal","Big Indie Labels, Warner Music Group","3485","4695","74394","2461433","42475852","817389451","500870","2299289","19377969","8752","16000","486000","6365080","301095222","59080","2947148","4839","6371","50572","476","114549","27523","1217287","302478","-10421","3878657","11617","897448","818","16090","90853","4911","3387","25042","57","593","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Trivium","United States","Metal","Warner Music Group, Universal Music Group","4287","5289","24261","1753815","33813014","1397968851","76908","1819609","18628238","8125","6000","810000","7162031","518593467","56537","4371702","5588","5192","105804","42283","960999","4704","720076","62877","-3925","1928050","3820","375037","-323","2604920","97821","1476","4283","18022","54","344","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Anthrax","United States","Metal","Big Indie Labels, Sony Music Entertainment, Warner Music Group","5880","7112","38478","1941204","14519487","532692971","84064","1131492","12695004","11500","5000","346000","2453251","169548066","25908","1675858","10412","N/A","N/A","N/A","N/A","22508","957525","32178","-7134","2470958","4054","501475","245","11751","28267","4789","2566","32422","60","750","N/A","N/A","N/A","N/A","N/A","N/A"
"8","66Samus","Canada","Metal","N/A","7490","163844","374","8929","104064","7402154","-501","14037","259964","4105","50000","1130000","29818207","337852692","526158","10970113","5217","12468","601689","108653","2776165","71346","507903","60768","14935","521115","39","1532","N/A","N/A","N/A","25","399626","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Machine Head","United States","Metal","Big Indie Labels, Sony Music Entertainment","8290","7016","18580","1450697","19103918","777174520","140291","1400003","16893091","18566","3000","299000","1945309","169681607","21308","1862119","13885","2949","55637","16302","29627","3723","449132","17791","-5812","1366880","3823","294081","259","10576","57343","3255","5095","14973","49","414","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Testament","United States","Metal","Big Indie Labels","9142","8782","23015","1270952","12507461","495424437","15717","847312","12894697","19521","4000","187000","1293177","104196984","15286","1154099","15611","N/A","N/A","N/A","N/A","21012","354342","24410","-3503","1641284","2644","273444","185","6466","32799","3754","4026","19897","53","439","N/A","N/A","N/A","N/A","N/A","N/A"
