"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","68427","34013070","62707932","20883888562","90535","32181087","130521992","344","0","12300000","12409744","9225197612","68644","66917678","229","4048","4731876","45835","0","4100","13765841","27401","-9423","36094602","5219","8040364","870","433371","120580","12436","97","31586","87","3005","5428","192","1","338","10.78834510830577","742.2284455583695"
"2","Pantera","United States","Metal","Big Indie Labels","1068","1081","16916","6687630","12995988","3143117870","84436","8210322","34591275","3307","0","1700000","1894313","943804464","15385","6691590","2467","N/A","N/A","N/A","N/A","4810","2547934","31823","-2305","8481398","1156","1592616","N/A","N/A","N/A","268","1822","3446","52","487","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Megadeth","United States","Metal","Big Indie Labels","1396","1583","9810","6437171","8805867","3043015394","-25313","5095617","31311718","7281","1540000","1770000","808078","680368649","7228","8112378","1517","725","497850","10805","0","-1178","3400538","25181","-2384","7843327","1360","1769270","106","37251","16507","64","1081","5820","58","616","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Slayer","United States","Metal","Big Indie Labels","2356","2459","6811","4625385","4147604","1850188201","9137","3354294","19195317","6768","0","1060000","438120","345298951","3463","2987770","N/A","N/A","N/A","N/A","N/A","1818","1775630","787","-6186","4648416","807","916293","95","185965","13206","12571","1719","3821","47","365","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Sepultura","Brazil","Metal","Big Indie Labels, Warner Music Group","3485","4695","5307","2461433","3352119","817389451","10451","2299289","19377969","8752","1000","486000","640988","301095222","5745","2947148","4839","306","50572","183","0","1963","1217287","38307","-994","3878657","734","897448","45","16090","8280","31","3387","1879","45","279","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Trivium","United States","Metal","Warner Music Group, Universal Music Group","4287","5289","1818","1753815","2643258","1397968851","-10647","1819609","18628238","8125","0","810000","550276","518593467","3634","4371702","5588","493","105804","10488","0","92","720076","3812","-541","1928050","245","375037","-23","2604920","6844","0","4283","1364","37","174","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Anthrax","United States","Metal","Big Indie Labels, Sony Music Entertainment, Warner Music Group","5880","7112","2702","1941204","1138767","532692971","-13674","1131492","12695004","11500","0","346000","190085","169548066","1825","1675858","10412","N/A","N/A","N/A","N/A","850","957525","7690","-1309","2470958","229","501475","7","11751","2088","33","2566","2487","49","365","N/A","N/A","N/A","N/A","N/A","N/A"
"8","66Samus","Canada","Metal","N/A","7490","163844","20","8929","7536","7402154","-59","14037","259964","4105","10000","1130000","2354265","337852692","48149","10970113","5217","998","601689","35559","0","1455","507903","15866","1043","521115","2","1532","N/A","N/A","N/A","0","399626","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Machine Head","United States","Metal","Big Indie Labels, Sony Music Entertainment","8290","7016","1356","1450697","1486877","777174520","1531","1400003","16893091","18566","0","299000","172350","169681607","1858","1862119","13885","58","55637","754","0","187","449132","3216","-562","1366880","245","294081","19","10576","3807","70","5095","1100","34","206","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Testament","United States","Metal","Big Indie Labels","9142","8782","1663","1270952","925526","495424437","-11329","847312","12894697","19521","1000","187000","53380","104196984","559","1154099","15611","N/A","N/A","N/A","N/A","298","354342","5744","182","1641284","151","273444","15","6466","2700","34","4026","1465","39","219","N/A","N/A","N/A","N/A","N/A","N/A"
