"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Metallica","United States","Metal","Big Indie Labels","67","77","34013070","20883888562","32181087","130521992","344","12300000","9225197612","66917678","229","4731876","13765841","36094602","8040364","433371","97","5428","192","1","338","742.2284455583695"
"2","Pantera","United States","Metal","Big Indie Labels","1068","1081","6687630","3143117870","8210322","34591275","3307","1700000","943804464","6691590","2467","N/A","2547934","8481398","1592616","N/A","1822","N/A","N/A","N/A","N/A","N/A"
"3","Megadeth","United States","Metal","Big Indie Labels","1396","1583","6437171","3043015394","5095617","31311718","7281","1770000","680368649","8112378","1517","497850","3400538","7843327","1769270","37251","1081","N/A","N/A","N/A","N/A","N/A"
"4","Slayer","United States","Metal","Big Indie Labels","2356","2459","4625385","1850188201","3354294","19195317","6768","1060000","345298951","2987770","N/A","N/A","1775630","4648416","916293","185965","1719","N/A","N/A","N/A","N/A","N/A"
"5","Sepultura","Brazil","Metal","Big Indie Labels, Warner Music Group","3485","4695","2461433","817389451","2299289","19377969","8752","486000","301095222","2947148","4839","50572","1217287","3878657","897448","16090","3387","N/A","N/A","N/A","N/A","N/A"
"6","Trivium","United States","Metal","Warner Music Group, Universal Music Group","4287","5289","1753815","1397968851","1819609","18628238","8125","810000","518593467","4371702","5588","105804","720076","1928050","375037","2604920","4283","N/A","N/A","N/A","N/A","N/A"
"7","Anthrax","United States","Metal","Big Indie Labels, Sony Music Entertainment, Warner Music Group","5880","7112","1941204","532692971","1131492","12695004","11500","346000","169548066","1675858","10412","N/A","957525","2470958","501475","11751","2566","N/A","N/A","N/A","N/A","N/A"
"8","66Samus","Canada","Metal","N/A","7490","163844","8929","7402154","14037","259964","4105","1130000","337852692","10970113","5217","601689","507903","521115","1532","N/A","399626","N/A","N/A","N/A","N/A","N/A"
"9","Machine Head","United States","Metal","Big Indie Labels, Sony Music Entertainment","8290","7016","1450697","777174520","1400003","16893091","18566","299000","169681607","1862119","13885","55637","449132","1366880","294081","10576","5095","N/A","N/A","N/A","N/A","N/A"
"10","Testament","United States","Metal","Big Indie Labels","9142","8782","1270952","495424437","847312","12894697","19521","187000","104196984","1154099","15611","N/A","354342","1641284","273444","6466","4026","N/A","N/A","N/A","N/A","N/A"
"11","Kreator","Germany","Metal","Big Indie Labels","9896","14697","881764","335005026","535784","8759479","18637","166000","118416042","1290975","8987","49233","415060","1150316","185643","N/A","4499","N/A","N/A","N/A","N/A","N/A"
"12","Suicidal Tendencies","United States","Punk","Big Indie Labels, BMG","10861","11060","867731","346532769","797389","12672953","15986","262000","113789958","1005322","22193","N/A","378094","997683","114802","7727","8044","N/A","N/A","N/A","N/A","N/A"
"13","Exodus","United States","Metal","Big Indie Labels","11353","15515","897224","218634759","616016","7328856","25723","184000","34569570","460502","17932","3378","361699","1231853","210320","N/A","5789","N/A","N/A","N/A","N/A","N/A"
"14","Soulfly","United States","Metal","Big Indie Labels","12153","14687","834711","225054367","626854","7301834","17022","191000","149005353","1339368","13107","15321","251128","963455","204931","N/A","7471","N/A","N/A","N/A","N/A","N/A"
"15","Sodom","Germany","Metal","Big Indie Labels, BMG","18548","26105","563092","147527408","266310","1377446","29840","74500","29097035","376023","28040","N/A","171811","803540","136983","N/A","7151","N/A","N/A","N/A","N/A","N/A"
"16","Miss May I","United States","Metal","Other Indie / Unsigned","21624","18072","541617","303311578","436164","4810765","36372","44300","83847609","708814","21178","12964","171920","1172132","86028","5071","20622","N/A","N/A","N/A","N/A","N/A"
"17","Sylosis","United Kingdom","Metal","Big Indie Labels","22868","30653","183487","109873949","350873","5612582","36625","50100","15637225","257151","47815","3651","79642","124566","19282","N/A","35697","N/A","N/A","N/A","N/A","N/A"
"18","Overkill","United States","Metal","Big Indie Labels","22929","26754","628838","110726268","197729","3219833","60556","N/A","N/A","N/A","25407","N/A","182354","621419","111224","N/A","5711","N/A","N/A","N/A","N/A","N/A"
"19","Gwar","United States","Metal","Other Indie / Unsigned","23133","41185","269198","103853343","146998","1246476","30025","94000","31471659","371930","19053","55752","199390","452491","15700","3108","15807","N/A","N/A","N/A","N/A","N/A"
"20","Annihilator","Canada","Metal","Big Indie Labels, Warner Music Group","23286","25911","446939","111901340","331645","3331507","38468","63800","38259581","464696","38407","N/A","84019","547461","82076","N/A","7931","59797","N/A","N/A","N/A","N/A"
"21","Municipal Waste","United States","Metal","Big Indie Labels","24814","25080","356512","180186231","284856","1843385","43323","54500","28284386","317134","32046","N/A","179721","493270","51229","N/A","12042","N/A","N/A","N/A","N/A","N/A"
"22","Death Angel","United States","Metal","Big Indie Labels, Warner Music Group","25588","33057","421791","73854472","168450","2889293","43071","47200","17795920","235474","26523","N/A","188486","574374","56757","N/A","9145","N/A","N/A","N/A","N/A","N/A"
"23","Lost Society","Finland","Metal","Big Indie Labels","25809","52987","107484","61632878","205393","612483","33012","39500","16926248","266010","22967","75213","46493","96350","14895","N/A","25471","N/A","N/A","N/A","N/A","N/A"
"24","Iced Earth","United States","Metal","Sony Music Entertainment","26670","29417","391108","187323890","219688","3254785","36109","95100","48212841","439984","44514","N/A","40561","472750","89861","N/A","6449","N/A","N/A","N/A","N/A","N/A"
"25","Dead Sara","United States","Rock","Warner Music Group, Universal Music Group","28698","34925","158970","92594479","280406","1306248","31852","110000","28743428","418279","54980","2114","106731","71055","9687","2952","30088","N/A","N/A","N/A","N/A","N/A"
"26","Cavalera Conspiracy","United States","Metal","Big Indie Labels","29794","43755","346896","52357605","101156","1467028","46284","61000","13406351","231696","30990","5112","180255","695020","88486","174","13527","N/A","N/A","N/A","N/A","N/A"
"27","Destruction","Germany","Metal","Big Indie Labels","32282","49199","312019","37352569","88147","1108189","58023","38900","5612947","75717","31911","N/A","149220","590608","88024","787","8873","N/A","N/A","N/A","N/A","N/A"
"28","Havok","United States","Metal","N/A","32996","47509","209798","68114701","121673","960023","40491","99500","23215851","300635","35913","7299","113810","374611","38983","N/A","17093","58361","N/A","N/A","N/A","N/A"
"29","D.R.I.","United States","Punk","N/A","33204","46126","257005","59989281","108262","1207910","47606","52800","13187520","144568","47994","N/A","16310","474705","26666","N/A","12893","N/A","N/A","N/A","N/A","N/A"
