"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Symphony Of Destruction","1992-07-14","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","3594","N/A","N/A","N/A","N/A","106961316.21000001","N/A","N/A","N/A","57114400","428823011","N/A","N/A","N/A","11206385","102336393","N/A","N/A","N/A","33939","N/A","N/A","N/A","N/A","99598","422034","N/A","N/A","N/A","0","1106128"
"Raining Blood","1986-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","17367","N/A","N/A","N/A","N/A","30755624.460000005","N/A","N/A","N/A","30936720","261527047","N/A","N/A","N/A","1218632","64714754","N/A","N/A","N/A","20587","N/A","N/A","N/A","N/A","94385","439687","N/A","N/A","N/A","0","451955"
"Holy Wars...The Punishment Due - Remastered 2004","1990-10-04","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","17465","N/A","N/A","N/A","N/A","30612528.520000003","N/A","N/A","N/A","5433362","18360997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11395","N/A","N/A","N/A","N/A","57873","264175","N/A","N/A","N/A","0","259270"
"Roots Bloody Roots","1996-02-20","N/A","Metal","N/A","N/A","Sepultura","N/A","N/A","N/A","N/A","22074","N/A","N/A","N/A","N/A","25019905.645","N/A","N/A","N/A","22263334","131706258","N/A","N/A","N/A","5259253","64345018","N/A","N/A","N/A","11291","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"A Tout Le Monde - Remastered 2004","1994-10-28","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","24497","N/A","N/A","N/A","N/A","22804098.589999996","N/A","N/A","N/A","20857444","161430617","N/A","N/A","N/A","2801317","34762450","N/A","N/A","N/A","11338","N/A","N/A","N/A","N/A","21920","100009","N/A","N/A","N/A","N/A","N/A"
"Angel Of Death","1986-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","30110","N/A","N/A","N/A","N/A","18913148.72","N/A","N/A","N/A","17880671","135310690","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17662","N/A","N/A","N/A","N/A","8021","57980","N/A","N/A","N/A","0","281016"
"South Of Heaven","1988-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","36064","N/A","N/A","N/A","N/A","16002149.075","N/A","N/A","N/A","14671298","118405695","N/A","N/A","N/A","1244693","36856588","N/A","N/A","N/A","11912","N/A","N/A","N/A","N/A","70632","295311","N/A","N/A","N/A","0","204571"
"Hangar 18 - Remastered 2004","1990-10-04","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","36845","N/A","N/A","N/A","N/A","15688457.199999997","N/A","N/A","N/A","4389904","16656355","N/A","N/A","N/A","1048326","21654872","N/A","N/A","N/A","12114","N/A","N/A","N/A","N/A","15619","91038","N/A","N/A","N/A","0","79391"
"Seasons In The Abyss","1990-01-01","N/A","Metal","N/A","N/A","Slayer","N/A","N/A","N/A","N/A","37819","N/A","N/A","N/A","N/A","15309577.569999998","N/A","N/A","N/A","10408251","69218996","N/A","N/A","N/A","5324335","59486071","N/A","N/A","N/A","9434","N/A","N/A","N/A","N/A","28693","134499","N/A","N/A","N/A","0","236449"
"Angry Again","1995-01-01","N/A","Metal","N/A","N/A","Megadeth","N/A","N/A","N/A","N/A","37889","N/A","N/A","N/A","N/A","15282936.475","N/A","N/A","N/A","16674522","82753238","N/A","N/A","N/A","42213","361403","N/A","N/A","N/A","8353","N/A","N/A","N/A","N/A","32695","122796","N/A","N/A","N/A","N/A","N/A"
