"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Amr Diab","Egypt","Middle Eastern","Sony Music Entertainment","306","1145","267867","13257288","35099933","1458322783","405672","4080764","6273167","261","30000","7310000","98029398","5756909387","286783","31077592","195","19259","629533","44158","131984","-56269","30957912","0","-12086","22552233","1013","1704951","4838","927809","25467","150302","6608","4407","53","180","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Tamer Hosny","Egypt","Pop","Warner Music Group, Big Indie Labels","446","2795","112101","7918325","8467686","486348038","114986","1886041","4838755","562","20000","9290000","31410778","6306278315","88149","40689657","119","-21219","6482256","1139970","27453567","3604667","45853577","1049920","10923","25228171","583","1420204","1196","292712","9179","19283","10551","2392","21","41","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Nancy Ajram","Lebanon","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","508","3006","70586","4164207","20220789","835689131","91163","3692953","5040016","474","30000","9080000","48121286","5034585632","179715","29391192","137","-12447","5508115","82541","1066921","3861","40873316","269598","-18436","30464523","890","1084974","-2","31555","2648","30156","7747","2778","35","78","10093","2","2","34","4.035449390827289","146.65231149644748"
"4","Elissa","Lebanon","Pop","Warner Music Group, Sony Music Entertainment","610","3388","88158","5914640","12865869","503702698","252838","2180994","2101434","411","20000","6470000","61847364","6615986203","180434","34896425","284","17205","1295149","82014","763235","-6717","20647133","25275","43578","25221462","784","1355241","60","13934","55813","73628","15782","1363","35","79","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Banque Misr","Egypt","Pop","N/A","671","76199","959","17034","2417099","9326806","165919","448844","698454","184","30000","3160000","56961854","1204319989","109512","2548837","N/A","20985","915197","31864","22506608","3541","378086","1917","62888","6828822","8","39","497","8804","810024","15069","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Sherine","Egypt","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","708","1422","170585","10583338","30503447","1019995304","209576","5107002","4128081","654","30000","6240000","43146221","4297046335","132701","22380562","960","-938818","698065","2111010","9669","15695","12667232","30632","0","16210508","1440","1174240","443","383421","411901","95001","13064","1157","29","53","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Essam Sasa","Egypt","Pop","N/A","713","2527","187893","9050194","3693208","134916437","268841","1817725","22587","841","50000","5660000","42364244","1990830204","174659","17299893","566","180469","7729556","2027380","22301943","45535","4310334","348831","64466","3151103","51","26404","4","45217","N/A","7204","347820","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Sezen Aksu","Turkey","Pop","Big Indie Labels","771","1019","186935","14641701","61535790","3923235336","179873","6667401","15097938","757","0","3160000","52561026","4266696114","117991","18536570","27944","-97","72163","6617","0","-136","281412","33506","-925","1423970","1686","1177616","93","49301","2660","61637","3027","9537","21","174","110613","2","0","0","0.9087856735145565","1.435536859758027"
"9","Ahmed Saad","Egypt","Pop","Sony Music Entertainment, Warner Music Group, BMG, Big Indie Labels, Universal Music Group","797","3015","68774","6805444","10751158","469140438","100284","2287924","5912732","776","20000","5510000","43439836","3172597276","94885","16458305","385","-5924","4673857","18970","407911","-13726","6958613","15832","-815","6581736","483","155721","2330","316825","1206734","22070","12711","2014","21","35","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Tarkan","Turkey","Pop","Other Indie / Unsigned","865","1961","56053","4146647","56275508","2014878672","277809","6945545","15399752","1069","10000","3040000","34062393","3895829951","83186","16236659","269","1074","437289","3458","64712","7412","7614066","90599","-1441","1696789","1454","534213","N/A","N/A","N/A","108764","2469","11695","64","810","148176","1","0","0","0.13436980696158818","1.7200599458398775"
"11","Nassif Zeytoun","Syrian Arab Republic","Pop","Big Indie Labels, Warner Music Group","966","11322","18133","1072887","5020750","226444748","-73922","898486","2783119","708","30000","5730000","45212619","3411790600","93226","19989298","287","6162","1551779","93283","1201911","-9356","7464544","36562","-4016","7106106","273","263717","0","577","1","13277","11790","2021","16","29","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Tamer Ashour","Egypt","Pop","Warner Music Group, Big Indie Labels, Sony Music Entertainment","986","2349","136852","7483488","16646197","569411038","168041","2233234","3357507","965","10000","3230000","33513332","2247436772","76795","12169312","1650","43548","2295422","196805","1575921","23786","4304713","34222","9640","12013595","335","737160","N/A","N/A","N/A","18153","66393","128","13","16","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Essam Sasa","Egypt","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","1021","2324","187893","9050194","28992615","900860900","254701","1803585","1856340","841","50000","5660000","42228721","1944761753","174185","16943728","818308","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3164064","0","26406","5374","468430","624847","35676","138405","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Ramy Sabry","Egypt","Pop","Big Indie Labels, Universal Music Group","1035","2875","153421","5178103","20474544","530877261","300323","2520506","4441425","1358","20000","1540000","30949955","1908087093","113318","10572369","1080","200238","2044397","278578","3642063","44867","11948137","545810","-17719","11261875","345","596173","846","90093","1624278","31669","48589","374","13","21","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Haifa Wehbe","Lebanon","Pop","Universal Music Group","1075","9836","33106","1338735","4383655","138119154","35343","1067080","2233087","1756","20000","1810000","19142694","1255024190","54611","5968921","199","63958","1723722","44955","1808499","31900","14669137","157695","17280","13594166","351","199466","N/A","N/A","N/A","20863","20035","977","16","31","158186","4","0","0","0.052804092321101906","1.056081846422038"
"16","Ebru Gündeş","Turkey","Pop","Warner Music Group","1112","1904","104071","4468990","54184190","1620543054","307009","6749965","14262042","1539","10000","1330000","26582670","2150623249","66916","7828990","850","27160","365666","306916","1557787","-2530","8170353","81805","-2444","3589347","911","473453","4","5856","7114","47041","4826","5446","14","111","N/A","N/A","N/A","N/A","N/A","N/A"
"17","Saad Lamjarred","Morocco","Pop","Big Indie Labels, Sony Music Entertainment","1130","5768","7211","2257881","6866134","585457579","160902","2029380","1798820","640","0","15800000","21015655","5452307555","70307","44491484","1067","22732","1506862","129779","296390","483","15435199","349173","-3224","3482451","551","501483","28","42186","48120","26409","9281","2236","30","67","N/A","N/A","N/A","N/A","N/A","N/A"
"18","Mohamed Hamaki","Egypt","Pop","Sony Music Entertainment","1208","3693","59311","6107886","9156095","433980527","156740","2018045","3258922","1080","0","4470000","23310732","3648735530","51327","19925141","1195","-2345","2392855","1349","25826","-18506","13107398","3217","-5300","13497306","317","1418656","1","4194","284","21450","26897","767","22","37","N/A","N/A","N/A","N/A","N/A","N/A"
"19","Rahma Riad","Iraq","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","1265","19476","9490","813935","1669467","71007218","-8520","464226","1138004","1993","20000","3270000","14015862","1077116541","55258","10636989","109","37474","3187435","575671","2410418","29941","9331727","508650","21900","5206276","29","21157","8","479","4490","6175","36012","495","15","20","N/A","N/A","N/A","N/A","N/A","N/A"
"20","Semicenk","Turkey","Pop","Other Indie / Unsigned","1311","1355","87118","6421389","61159812","3560923480","649461","7134688","10201567","2560","6000","290000","11148115","897234489","13818","2958704","1320","-10829","997678","151928","1494162","11751","2208182","393304","8098","16832","1276","103317","N/A","N/A","N/A","62629","2164","13867","15","107","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Dogus","Turkey","Pop","Big Indie Labels","1316","42507","642","100005","1179726","50429396","-18046","371701","1313520","1057","0","956000","2984577","202437405","38854","1635127","1005","18288","1479722","71856","1902493","4328","12565857","0","-12808","732150","16","4276","N/A","N/A","N/A","1798","33057","506","7","54","N/A","N/A","N/A","N/A","N/A","N/A"
