"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Amr Diab","Egypt","Middle Eastern","Sony Music Entertainment","306","1145","68232","13257288","9616670","1458322783","214912","4080764","6273167","261","10000","7310000","26971328","5756909387","77465","31077592","195","3125","629533","13941","0","-19269","30957912","0","-4640","22552233","272","1704951","1350","927809","6348","385","6608","1071","46","105","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Tamer Hosny","Egypt","Pop","Warner Music Group, Big Indie Labels","446","2795","28309","7918325","2187191","486348038","111806","1886041","4838755","562","0","9290000","9199016","6306278315","25722","40689657","119","2749","6482256","417198","0","644239","45853577","116170","4335","25228171","165","1420204","341","292712","2138","127","10551","482","15","32","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Nancy Ajram","Lebanon","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","508","3006","18519","4164207","4597692","835689131","75643","3692953","5040016","474","10000","9080000","12437118","5034585632","44250","29391192","137","-165","5508115","39194","0","5770","40873316","51991","-6257","30464523","213","1084974","-2","31555","667","965","7747","675","31","54","10093","2","2","34","4.035449390827289","146.65231149644748"
"4","Elissa","Lebanon","Pop","Warner Music Group, Sony Music Entertainment","610","3388","23631","5914640","3220398","503702698","132306","2180994","2101434","411","0","6470000","17609346","6615986203","49895","34896425","284","3727","1295149","16274","0","-3927","20647133","2016","754","25221462","205","1355241","11","13934","15543","288","15782","328","32","60","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Banque Misr","Egypt","Pop","N/A","671","76199","541","17034","519830","9326806","20974","448844","698454","184","40000","3160000","1363101","1204319989","4080","2548837","N/A","4355","915197","8367","0","1158","378086","607","19733","6828822","6","39","129","8804","201487","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Sherine","Egypt","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","708","1422","45676","10583338","6901611","1019995304","115710","5107002","4128081","654","10000","6240000","12355590","4297046335","35838","22380562","960","-133","698065","4365","0","5483","12667232","10757","0","16210508","375","1174240","116","383421","106593","8","13064","274","21","34","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Essam Sasa","Egypt","Pop","N/A","713","2527","39736","9050194","864598","134916437","100364","1817725","22587","841","10000","5660000","9793703","1990830204","34949","17299893","566","37770","7729556","417938","0","14513","4310334","229528","0","3151103","8","26404","-1","45217","N/A","53","347820","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Sezen Aksu","Turkey","Pop","Big Indie Labels","771","1019","38929","14641701","15435709","3923235336","93206","6667401","15097938","757","0","3160000","12758112","4266696114","28061","18536570","27944","-25","72163","2979","0","150","281412","12852","-254","1423970","404","1177616","26","49301","681","1439","3027","2191","17","137","110613","2","0","0","0.9087856735145565","1.435536859758027"
"9","Ahmed Saad","Egypt","Pop","Sony Music Entertainment, Warner Music Group, BMG, Big Indie Labels, Universal Music Group","797","3015","18204","6805444","2867191","469140438","142448","2287924","5912732","776","10000","5510000","10147708","3172597276","21098","16458305","385","-1729","4673857","12032","0","-3244","6958613","7531","-488","6581736","125","155721","565","316825","288098","137","12711","295","16","22","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Tarkan","Turkey","Pop","Other Indie / Unsigned","865","1961","9166","4146647","13229494","2014878672","134764","6945545","15399752","1069","10000","3040000","8415083","3895829951","21390","16236659","269","405","437289","1125","0","3088","7614066","8536","-329","1696789","337","534213","N/A","N/A","N/A","10457","2469","2596","49","437","148176","1","0","0","0.13436980696158818","1.7200599458398775"
"11","Nassif Zeytoun","Syrian Arab Republic","Pop","Big Indie Labels, Warner Music Group","966","11322","4863","1072887","1317488","226444748","53835","898486","2783119","708","10000","5730000","11428152","3411790600","22642","19989298","287","2552","1551779","25122","0","-3252","7464544","17072","-1385","7106106","59","263717","0","577","0","295","11790","470","14","26","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Tamer Ashour","Egypt","Pop","Warner Music Group, Big Indie Labels, Sony Music Entertainment","986","2349","38729","7483488","4499739","569411038","156199","2233234","3357507","965","0","3230000","9910717","2247436772","21403","12169312","1650","16016","2295422","99528","0","6535","4304713","8877","2822","12013595","101","737160","N/A","N/A","N/A","165","66393","30","10","11","N/A","N/A","N/A","N/A","N/A","N/A"
"13","Essam Sasa","Egypt","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","1021","2324","39736","9050194","7424328","900860900","86224","1803585","1856340","841","10000","5660000","9755913","1944761753","34796","16943728","818308","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3164064","0","26406","1285","468430","142303","568","138405","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"14","Ramy Sabry","Egypt","Pop","Big Indie Labels, Universal Music Group","1035","2875","41017","5178103","5798994","530877261","214515","2520506","4441425","1358","10000","1540000","9479392","1908087093","34250","10572369","1080","17720","2044397","115891","0","27009","11948137","124804","-35610","11261875","108","596173","253","90093","446600","762","48589","92","10","13","N/A","N/A","N/A","N/A","N/A","N/A"
