"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Amr Diab","Egypt","Middle Eastern","Sony Music Entertainment","309","1126","13163198","1445014953","3764194","6225892","261","7300000","5720577742","30974419","195","622597","30977181","22558336","1704589","925420","6700","N/A","N/A","N/A","N/A","N/A"
"2","Tamer Hosny","Egypt","Pop","Warner Music Group, Big Indie Labels","453","2752","7875434","483231334","1705648","4798968","562","9280000","6294164653","40659594","119","6479376","43955363","25218781","1419988","292268","10647","N/A","N/A","N/A","N/A","N/A"
"3","Nancy Ajram","Lebanon","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","512","2940","4138878","853780064","3585968","5025465","474","9070000","5017299792","29329893","137","5509305","40870644","30472618","1084663","31556","7691","10093","2","2","34","146.65231149644748"
"4","Elissa","Lebanon","Pop","Warner Music Group, Sony Music Entertainment","614","3330","5879100","499083171","1988236","2870225","411","6460000","6591154455","34826160","284","1288867","20654941","25219162","1354957","13919","15861","N/A","N/A","N/A","N/A","N/A"
"5","Banque Misr","Egypt","Pop","N/A","621","90464","16467","8510432","447208","265233","184","3120000","1202475978","2543273","N/A","910273","376928","6805837","33","8595","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Sherine","Egypt","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","706","1413","10520364","1010304994","4932646","4199461","654","6230000","4280470280","22332257","960","698287","12660232","16210508","1173700","383235","12893","N/A","N/A","N/A","N/A","N/A"
"7","Essam Sasa","Egypt","Pop","N/A","708","2522","8986645","133631128","1679207","90294","841","5640000","1977019319","17249198","566","7671973","4295821","3151103","26393","45219","347820","N/A","N/A","N/A","N/A","N/A"
"8","Sezen Aksu","Turkey","Pop","Big Indie Labels","777","1015","14586046","3901000751","6548982","16583727","757","3160000","4247731001","18495486","27944","72180","281218","1424320","1177091","49258","2969","110613","2","0","0","1.435536859758027"
"9","Ahmed Saad","Egypt","Pop","Sony Music Entertainment, Warner Music Group, BMG, Big Indie Labels, Universal Music Group","789","3010","6778557","465109422","2058586","6009233","776","5500000","3158261272","16428138","385","4676541","6959489","6582146","155546","316048","12987","N/A","N/A","N/A","N/A","N/A"
"10","Tarkan","Turkey","Pop","Other Indie / Unsigned","864","1959","4130017","1996229613","6749895","16948217","1069","3030000","3883845928","16204483","269","436643","7609633","1697210","533744","N/A","2439","148176","1","0","0","1.7200599458398775"
"11","Nassif Zeytoun","Syrian Arab Republic","Pop","Big Indie Labels, Warner Music Group","960","11198","1065612","224575181","822865","2778360","708","5720000","3395930920","19958237","287","1548901","7467796","7107896","263629","577","11894","N/A","N/A","N/A","N/A","N/A"
"12","Tamer Ashour","Egypt","Pop","Warner Music Group, Big Indie Labels, Sony Music Entertainment","981","2343","7431458","563016800","2003551","3343046","965","3220000","2233851594","12139770","1650","2276475","4298178","12006472","737024","N/A","67713","N/A","N/A","N/A","N/A","N/A"
"13","Essam Sasa","Egypt","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","1019","2305","8986645","889905842","1663167","1898020","841","5640000","1931002273","16893251","818308","N/A","N/A","N/A","26164","466594","139554","N/A","N/A","N/A","N/A","N/A"
"14","Ramy Sabry","Egypt","Pop","Big Indie Labels, Universal Music Group","1032","2857","5121752","522638197","2229192","4339246","1358","1530000","1895095247","10526154","1080","2021373","11914229","11302842","596032","89751","48893","N/A","N/A","N/A","N/A","N/A"
"15","Haifa Wehbe","Lebanon","Pop","Universal Music Group","1063","9785","1325416","136584072","988484","2255604","1756","1800000","1248441603","5951128","199","1719490","14666616","13594166","199334","N/A","20251","158186","4","0","0","1.056081846422038"
"16","Dogus","Turkey","Pop","Big Indie Labels","1090","43182","99757","50037961","374680","1310269","1057","957000","201479075","1615747","1005","1478691","12569529","736215","4269","N/A","32436","N/A","N/A","N/A","N/A","N/A"
"17","Ebru Gündeş","Turkey","Pop","Warner Music Group","1124","1899","4435650","1603254872","6741813","14423180","1539","1330000","2141797185","7808578","850","352240","8172290","3590185","473152","5854","4716","N/A","N/A","N/A","N/A","N/A"
"18","Saad Lamjarred","Morocco","Pop","Big Indie Labels, Sony Music Entertainment","1128","5693","2254776","582988446","1880062","1809204","640","15800000","5444651836","44466129","1067","1496706","15429035","3483473","501259","42173","9253","N/A","N/A","N/A","N/A","N/A"
"19","Mohamed Hamaki","Egypt","Pop","Sony Music Entertainment","1198","3690","6085619","430515731","1789567","3252555","1080","4470000","3639223463","19904211","1195","2393985","13116718","13499520","1418531","4194","27286","N/A","N/A","N/A","N/A","N/A"
"20","Rahma Riad","Iraq","Pop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","1252","19667","809703","70355321","399231","1138072","1993","3260000","1071683828","10615088","109","3156482","9315570","5200703","21147","475","36222","N/A","N/A","N/A","N/A","N/A"
"21","Semicenk","Turkey","Pop","Other Indie / Unsigned","1334","1326","6388285","3538955639","6929912","10043683","2560","289000","893841060","2954396","1320","1000004","2211259","16351","102861","N/A","2197","N/A","N/A","N/A","N/A","N/A"
"22","Arash","Sweden","Pop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","1345","1172","335592","1299359430","13297055","87931727","1216","3450000","3124281823","20925340","2403","749507","3780337","2558303","110163","15410","2064","N/A","N/A","N/A","N/A","N/A"
"23","Angham","Egypt","Pop","Big Indie Labels, Warner Music Group","1551","5426","3522863","216670338","1336598","3006600","1901","1050000","1301951922","7665566","2528","986570","6117081","4207897","696856","10455","25022","N/A","N/A","N/A","N/A","N/A"
"24","Serdar Ortaç","Turkey","Pop","Big Indie Labels","1666","2817","2486963","1515511363","4777826","8405085","1144","44500","3095913362","8216828","4480","200276","3276691","1010312","219558","5767","5835","155564","1","0","0","1.4030394061785496"
"25","Hassan Shakosh","Egypt","Pop","Big Indie Labels, Sony Music Entertainment","1676","10287","1981465","225075535","858121","1616192","1206","8700000","3453593036","28324540","973","3306715","3238918","6644443","317842","32759","171548","N/A","N/A","N/A","N/A","N/A"
"26","Yalın","Turkey","Pop","Sony Music Entertainment, Big Indie Labels","1698","2209","2686877","1774516483","5425934","7177482","3091","328000","1090424221","3904952","1851","268342","1357125","914318","192847","199","8624","105531","2","0","0","1.7838074803275494"
"27","Hamza Namira","Egypt","Middle Eastern","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","1747","6336","3414100","237189933","1189914","2481093","1829","5000000","1703753610","15399549","671","1652217","2126561","9960183","443192","364495","23783","N/A","N/A","N/A","N/A","N/A"
