"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"I Adore You (feat. Daecolm)","2024-07-19","N/A","Electronic","N/A","N/A","HUGEL, Topic, Arash, Daecolm","N/A","N/A","N/A","N/A","292","N/A","N/A","N/A","N/A","409056811.17999995","N/A","N/A","N/A","346892525","594040919","N/A","N/A","N/A","121159247","227034494","N/A","N/A","N/A","198266","N/A","N/A","N/A","N/A","2131175","3942247","N/A","N/A","N/A","338959","4236046"
"Maleket Gamal El Kon","2025-05-24","N/A","Pop","N/A","N/A","Tamer Hosny, Al Shami","N/A","N/A","N/A","N/A","916","N/A","N/A","N/A","N/A","249030086.21499997","N/A","N/A","N/A","21967054","22693067","N/A","N/A","N/A","230200378","235251390","N/A","N/A","N/A","3045","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"هنا مصر هفضل كل مرة اجيلك","2026-02-13","N/A","Pop","N/A","N/A","Banque Misr, Bahaa Sultan, Esseily","N/A","N/A","N/A","N/A","931","N/A","N/A","N/A","N/A","247655053.20000002","N/A","N/A","N/A","1844373","1454239","N/A","N/A","N/A","181627332","232872338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","340990","342333","N/A","N/A","N/A","N/A","N/A"
"Bir Çift Göz","2025-06-27","N/A","Pop","N/A","N/A","Norm Ender, Ebru Gündeş","N/A","N/A","N/A","N/A","1297","N/A","N/A","N/A","N/A","205408351.87","N/A","N/A","N/A","107986707","114706761","N/A","N/A","N/A","120747446","126820951","N/A","N/A","N/A","13881","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Samjhawan","2014-01-01","N/A","Pop","N/A","N/A","Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal","N/A","N/A","N/A","N/A","1566","N/A","N/A","N/A","N/A","182969012.235","N/A","N/A","N/A","121021093","364841153","N/A","N/A","N/A","98985337","535369341","N/A","N/A","N/A","2258","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"YAPAR MISIN?","2025-07-25","N/A","Hip Hop","N/A","N/A","Poizi, Murat Boz","N/A","N/A","N/A","N/A","1879","N/A","N/A","N/A","N/A","164627800.56","N/A","N/A","N/A","104569019","106946030","N/A","N/A","N/A","84518426","86966511","N/A","N/A","N/A","10302","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ماجد المهندس - هي هي - ريمكس","2023-06-04","N/A","Pop","N/A","N/A","Majid Almohandis","N/A","N/A","N/A","N/A","1909","N/A","N/A","N/A","N/A","163272927.01500005","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","186356801","1075888139","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kazdoura","2025-12-15","N/A","Pop","N/A","N/A","Nassif Zeytoun, Abu Ward","N/A","N/A","N/A","N/A","2787","N/A","N/A","N/A","N/A","125881355.56500001","N/A","N/A","N/A","5986464","6330229","N/A","N/A","N/A","97263306","103962413","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Khatfoony","2025-07-03","N/A","Pop","N/A","N/A","Amr Diab, Orange, Jana Diab","N/A","N/A","N/A","N/A","3062","N/A","N/A","N/A","N/A","118281594.795","N/A","N/A","N/A","25994469","26467207","N/A","N/A","N/A","100088937","106829279","N/A","N/A","N/A","3409","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jedi ou Jedek","2025-02-06","N/A","Pop","N/A","N/A","Mounim Slimani","N/A","N/A","N/A","N/A","3297","N/A","N/A","N/A","N/A","112519754.39000002","N/A","N/A","N/A","9901327","11202459","N/A","N/A","N/A","142320602","154550333","N/A","N/A","N/A","434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22704","123064"
"الجاي بتاعي","2025-06-10","N/A","Pop","N/A","N/A","Houda Bondok (حودة بندق)","N/A","N/A","N/A","N/A","3367","N/A","N/A","N/A","N/A","111153733.56500001","N/A","N/A","N/A","15675383","15731562","N/A","N/A","N/A","97641872","97970958","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Poşet","2010-05-14","N/A","Pop","N/A","N/A","Serdar Ortaç","N/A","N/A","N/A","N/A","3469","N/A","N/A","N/A","N/A","108826678.12999998","N/A","N/A","N/A","27575420","94751305","N/A","N/A","N/A","92489529","178451273","N/A","N/A","N/A","285","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","839","227351"
"Saygımdan","2013-11-14","N/A","Pop","N/A","N/A","Bengü","N/A","N/A","N/A","N/A","3498","N/A","N/A","N/A","N/A","108307266.86000001","N/A","N/A","N/A","58517965","149264196","N/A","N/A","N/A","66960274","144743890","N/A","N/A","N/A","8565","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5490","271659"
"Ey Aşk","2025-06-26","N/A","Pop","N/A","N/A","Sezen Aksu","N/A","N/A","N/A","N/A","3901","N/A","N/A","N/A","N/A","100237510.835","N/A","N/A","N/A","36723270","37197949","N/A","N/A","N/A","72944286","74082484","N/A","N/A","N/A","109","N/A","N/A","N/A","N/A","666","693","N/A","N/A","N/A","N/A","N/A"
"C’est la vie","2012-01-01","N/A","Pop","N/A","N/A","Khaled","N/A","N/A","N/A","N/A","3953","N/A","N/A","N/A","N/A","99273425.48999998","N/A","N/A","N/A","35001184","221444752","N/A","N/A","N/A","48169214","637783717","N/A","N/A","N/A","19580","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"هيجيلي موجوع","2024-01-11","N/A","Pop","N/A","N/A","Tamer Ashour","N/A","N/A","N/A","N/A","4010","N/A","N/A","N/A","N/A","98219953.81500001","N/A","N/A","N/A","21361327","54113328","N/A","N/A","N/A","99636903","311935377","N/A","N/A","N/A","84","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1464","234438"
"Awl Mara","2024-10-11","N/A","Pop","N/A","N/A","Hamza Al Mahmdawi (حمزة المحمداوي)","N/A","N/A","N/A","N/A","4182","N/A","N/A","N/A","N/A","95372354.305","N/A","N/A","N/A","4707227","9126502","N/A","N/A","N/A","130184434","308788896","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1486","298449"
"محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا","2025-04-06","N/A","Pop","N/A","N/A","Essam Sasa","N/A","N/A","N/A","N/A","4283","N/A","N/A","N/A","N/A","93685000.9","N/A","N/A","N/A","16497606","20866097","N/A","N/A","N/A","75358173","106397110","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"أول حب","2025-01-22","N/A","Pop","N/A","N/A","Maha Ftouni","N/A","N/A","N/A","N/A","4466","N/A","N/A","N/A","N/A","90882376.365","N/A","N/A","N/A","11421649","14226106","N/A","N/A","N/A","83170224","84631943","N/A","N/A","N/A","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66","2053"
"Ya Helou","2025-07-11","N/A","Pop","N/A","N/A","Adam","N/A","N/A","N/A","N/A","4710","N/A","N/A","N/A","N/A","87566357.025","N/A","N/A","N/A","7960564","7982814","N/A","N/A","N/A","81233855","81318181","N/A","N/A","N/A","2034","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ben Ne Yangınlar Gördüm","2017-05-17","N/A","Pop","N/A","N/A","Ebru Yaşar","N/A","N/A","N/A","N/A","4960","N/A","N/A","N/A","N/A","84365975.92500001","N/A","N/A","N/A","28558177","74938864","N/A","N/A","N/A","72479146","400509772","N/A","N/A","N/A","2518","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2678","361208"
"الوتر الحساس","2018-10-24","N/A","Pop","N/A","N/A","Sherine","N/A","N/A","N/A","N/A","4987","N/A","N/A","N/A","N/A","84127234.86500001","N/A","N/A","N/A","34108713","125476768","N/A","N/A","N/A","70504810","436096701","N/A","N/A","N/A","458","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5935","2147225"
"Mikrop","2010-05-14","N/A","Pop","N/A","N/A","Serdar Ortaç","N/A","N/A","N/A","N/A","5241","N/A","N/A","N/A","N/A","81019768.295","N/A","N/A","N/A","15496601","40535361","N/A","N/A","N/A","71931829","135015916","N/A","N/A","N/A","97","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","612","135090"
"Олуча гули","2025-06-06","N/A","Pop","N/A","N/A","Bahrom Nazarov","N/A","N/A","N/A","N/A","5381","N/A","N/A","N/A","N/A","79390828.02000001","N/A","N/A","N/A","75678","77078","N/A","N/A","N/A","77127318","77221422","N/A","N/A","N/A","59","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Çakmak Çakmak","2007-06-14","N/A","Pop","N/A","N/A","Sibel Can, Tarkan","N/A","N/A","N/A","N/A","5473","N/A","N/A","N/A","N/A","78357718.85","N/A","N/A","N/A","17674914","63721784","N/A","N/A","N/A","66860843","140832658","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","312","135873"
"Mesafe","2006-04-25","N/A","Pop","N/A","N/A","Serdar Ortaç","N/A","N/A","N/A","N/A","5960","N/A","N/A","N/A","N/A","73616376.29499997","N/A","N/A","N/A","19875703","103891827","N/A","N/A","N/A","60870020","151189929","N/A","N/A","N/A","1430","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","516","298214"
"Ya Albo","2025-07-17","N/A","Pop","N/A","N/A","Nancy Ajram","N/A","N/A","N/A","N/A","6343","N/A","N/A","N/A","N/A","70295405.19000001","N/A","N/A","N/A","8908694","8953510","N/A","N/A","N/A","60398564","66594595","N/A","N/A","N/A","547","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"كلام عينيه","2018-10-24","N/A","Pop","N/A","N/A","Sherine","N/A","N/A","N/A","N/A","6374","N/A","N/A","N/A","N/A","70077674.515","N/A","N/A","N/A","56214488","199477233","N/A","N/A","N/A","35550331","145299955","N/A","N/A","N/A","459","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26551","3948846"
"choufou l'amour madar fia - Live","2023-09-08","N/A","Pop","N/A","N/A","Bilel Tacchini","N/A","N/A","N/A","N/A","6410","N/A","N/A","N/A","N/A","69725758.855","N/A","N/A","N/A","3451221","7517827","N/A","N/A","N/A","80481139","304266822","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23142","25557","N/A","N/A","N/A","1566","628002"
"Rani out مكلاه تعيطولي","2026-02-13","N/A","Pop","N/A","N/A","Abdou Gambetta","N/A","N/A","N/A","N/A","6570","N/A","N/A","N/A","N/A","68362414.48000002","N/A","N/A","N/A","3106","4411","N/A","N/A","N/A","69180026","70154810","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Magic in the Air (feat. Ahmed Chawki)","2014-05-16","N/A","African","N/A","N/A","Magic System, Ahmed Chawki","N/A","N/A","N/A","N/A","6596","N/A","N/A","N/A","N/A","68205002.99000001","N/A","N/A","N/A","39813600","244586856","N/A","N/A","N/A","38128879","554461970","N/A","N/A","N/A","18674","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"BROKEN ANGEL","2023-09-10","N/A","Pop","N/A","N/A","Arash","N/A","N/A","N/A","N/A","6707","N/A","N/A","N/A","N/A","67242905.09500001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","75531517","745629518","N/A","N/A","N/A","12083","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dudu","2003-06-20","N/A","Pop","N/A","N/A","Tarkan","N/A","N/A","N/A","N/A","6924","N/A","N/A","N/A","N/A","65574666.739999995","N/A","N/A","N/A","22634659","93585611","N/A","N/A","N/A","54089652","358451315","N/A","N/A","N/A","3082","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4030","1138414"
"Million","2025-10-31","N/A","Pop","N/A","N/A","Yorqinxo'ja Umarov","N/A","N/A","N/A","N/A","7121","N/A","N/A","N/A","N/A","64114617.69500001","N/A","N/A","N/A","193665","201800","N/A","N/A","N/A","56645634","58938244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dansöz","2006-04-25","N/A","Pop","N/A","N/A","Serdar Ortaç","N/A","N/A","N/A","N/A","7205","N/A","N/A","N/A","N/A","63544132.154999994","N/A","N/A","N/A","27942384","93057388","N/A","N/A","N/A","45674711","155549643","N/A","N/A","N/A","764","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1277","425560"
"Makrehtosh","2025-01-15","N/A","Pop","N/A","N/A","Tamer Ashour","N/A","N/A","N/A","N/A","7421","N/A","N/A","N/A","N/A","62103193.760000005","N/A","N/A","N/A","25161040","29274972","N/A","N/A","N/A","50269709","62244595","N/A","N/A","N/A","736","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2368","28211"
"Hazy Al Msakham محمد السالم حظي المصخم","2013-05-26","N/A","Pop","N/A","N/A","Mohamed Alsalim","N/A","N/A","N/A","N/A","7550","N/A","N/A","N/A","N/A","61217972.055000015","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66961192","1180644681","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1606","52219","N/A","N/A","N/A","N/A","N/A"
"El Sabr Gamel -الصبر جميل","2023-02-20","N/A","Pop","N/A","N/A","Maha Ftouni","N/A","N/A","N/A","N/A","7760","N/A","N/A","N/A","N/A","59915178.62500001","N/A","N/A","N/A","9274621","30033363","N/A","N/A","N/A","62101142","283014585","N/A","N/A","N/A","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","434","274541"
"فؤاد عبدالواحد - روح","2022-02-06","N/A","Pop","N/A","N/A","Fouad Abdulwahed","N/A","N/A","N/A","N/A","7800","N/A","N/A","N/A","N/A","59642264.62500001","N/A","N/A","N/A","8963","50026","N/A","N/A","N/A","67163673","468271785","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hala Rani Fiha","2024-12-28","N/A","Pop","N/A","N/A","Abdou Gambetta, Raouf Samourai","N/A","N/A","N/A","N/A","7854","N/A","N/A","N/A","N/A","59345803.01","N/A","N/A","N/A","6819464","7738840","N/A","N/A","N/A","76936055","124371388","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1837","93159"
"Etnaset","2021-10-21","N/A","Pop","N/A","N/A","Muslim (مُسلِم)","N/A","N/A","N/A","N/A","7942","N/A","N/A","N/A","N/A","58784737.66","N/A","N/A","N/A","8422439","46124345","N/A","N/A","N/A","63788482","663287392","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","426","680315"
"ريمكس ع الشر","2021-12-30","N/A","Pop","N/A","N/A","Mohaned Monketh (مهند منقذ)","N/A","N/A","N/A","N/A","8332","N/A","N/A","N/A","N/A","56501752.07000001","N/A","N/A","N/A","317839","988956","N/A","N/A","N/A","66345235","390857847","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","84","55103"
"Yasemin","2025-02-28","N/A","Pop","N/A","N/A","Burak Bulut, Serdar Ortaç","N/A","N/A","N/A","N/A","8347","N/A","N/A","N/A","N/A","56445252.98499999","N/A","N/A","N/A","33812866","37219248","N/A","N/A","N/A","37333524","40757938","N/A","N/A","N/A","11038","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Min Awel Dekika","2022-05-04","N/A","Pop","N/A","N/A","Elissa, Saad Lamjarred","N/A","N/A","N/A","N/A","8390","N/A","N/A","N/A","N/A","56165072.800000004","N/A","N/A","N/A","9436148","40432711","N/A","N/A","N/A","55912095","591052846","N/A","N/A","N/A","2229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24118","1152400"
"DO YOU LOVE ME? / سنيورة","2025-08-22","N/A","Hip Hop","N/A","N/A","Saint Levant, Fares Sokar","N/A","N/A","N/A","N/A","8431","N/A","N/A","N/A","N/A","55947004.06","N/A","N/A","N/A","23318061","23620095","N/A","N/A","N/A","36046730","36774516","N/A","N/A","N/A","266","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ymken Kher","2022-12-27","N/A","Pop","N/A","N/A","Ramy Sabry","N/A","N/A","N/A","N/A","8465","N/A","N/A","N/A","N/A","55756997.16500001","N/A","N/A","N/A","11788319","47837225","N/A","N/A","N/A","51772586","217983549","N/A","N/A","N/A","122","N/A","N/A","N/A","N/A","3243353","41578396","N/A","N/A","N/A","272","166836"
"الذوق العالي","2025-07-14","N/A","Pop","N/A","N/A","Tamer Hosny, Mohamed Mounir","N/A","N/A","N/A","N/A","8500","N/A","N/A","N/A","N/A","55490310.97500002","N/A","N/A","N/A","1799008","1896138","N/A","N/A","N/A","56897392","61990019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ha Wlidi","2025-06-13","N/A","Pop","N/A","N/A","Jaylann","N/A","N/A","N/A","N/A","8797","N/A","N/A","N/A","N/A","53939355.875","N/A","N/A","N/A","5725213","5762020","N/A","N/A","N/A","49775551","53050367","N/A","N/A","N/A","834","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"معزوفه حسام الرسام","2014-07-16","N/A","Pop","N/A","N/A","Hussam Al-Rassam","N/A","N/A","N/A","N/A","9060","N/A","N/A","N/A","N/A","52649971.515","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70103750","446475877","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3 Daqat","2017-10-11","N/A","Pop","N/A","N/A","Abu, Youssra","N/A","N/A","N/A","N/A","9091","N/A","N/A","N/A","N/A","52554863.705","N/A","N/A","N/A","16385356","79399525","N/A","N/A","N/A","49281882","941411107","N/A","N/A","N/A","11","N/A","N/A","N/A","N/A","11329","11333","N/A","N/A","N/A","2183","1917963"
"Ya Layaly","2014-01-16","N/A","Pop","N/A","N/A","Sherine","N/A","N/A","N/A","N/A","9136","N/A","N/A","N/A","N/A","52342818.11","N/A","N/A","N/A","14318049","39777471","N/A","N/A","N/A","49420517","197825091","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","573","186633"
"Şımarık","1997-01-01","N/A","Pop","N/A","N/A","Tarkan","N/A","N/A","N/A","N/A","9334","N/A","N/A","N/A","N/A","51364903.58","N/A","N/A","N/A","35195959","176724715","N/A","N/A","N/A","20581079","146799912","N/A","N/A","N/A","22089","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8409","4193208"
"Ganeni","2024-04-12","N/A","Pop","N/A","N/A","Elyanna","N/A","N/A","N/A","N/A","9643","N/A","N/A","N/A","N/A","50151815.099999994","N/A","N/A","N/A","9687102","26524635","N/A","N/A","N/A","53741074","195161365","N/A","N/A","N/A","1420","N/A","N/A","N/A","N/A","82413","215959","N/A","N/A","N/A","8856","438689"
"Yomg'irlar","2025-02-08","N/A","Pop","N/A","N/A","Jamshid Ximmatov, Xamdam Sobirov","N/A","N/A","N/A","N/A","9704","N/A","N/A","N/A","N/A","49936865.80499999","N/A","N/A","N/A","256452","291089","N/A","N/A","N/A","98809059","131035279","N/A","N/A","N/A","106","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5633","143105"
"Derinlerde","2021-06-16","N/A","Pop","N/A","N/A","Mark Eliyahu, Cem Adrian","N/A","N/A","N/A","N/A","9739","N/A","N/A","N/A","N/A","49835051.760000005","N/A","N/A","N/A","19959721","139869977","N/A","N/A","N/A","40899501","166300077","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"كابر ڤليل من بكري طافية","2025-01-12","N/A","Pop","N/A","N/A","Cheb Mirou","N/A","N/A","N/A","N/A","9896","N/A","N/A","N/A","N/A","49167206.309999995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","65012538","90294561","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15","976"
"Callin' U (Tamally Maak)","2024-04-12","N/A","Pop","N/A","N/A","Elyanna","N/A","N/A","N/A","N/A","9970","N/A","N/A","N/A","N/A","48902230.33","N/A","N/A","N/A","34494505","58682379","N/A","N/A","N/A","28399196","40292722","N/A","N/A","N/A","1330","N/A","N/A","N/A","N/A","211293","338995","N/A","N/A","N/A","47982","1005264"
"Yaxsi Olar","2023-12-12","N/A","Pop","N/A","N/A","Retrib, krmd","N/A","N/A","N/A","N/A","10077","N/A","N/A","N/A","N/A","48464033.70999999","N/A","N/A","N/A","2856046","13398401","N/A","N/A","N/A","51849355","499384486","N/A","N/A","N/A","44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6443","2181611"
"12 Saal","2012-12-20","N/A","Pop","N/A","N/A","Bilal Saeed","N/A","N/A","N/A","N/A","10321","N/A","N/A","N/A","N/A","47433060.81","N/A","N/A","N/A","22086919","71812071","N/A","N/A","N/A","30423730","113870830","N/A","N/A","N/A","37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","775","134978"
"Lm3allem","2016-08-10","N/A","Pop","N/A","N/A","Saad Lamjarred, Hatim Ammor","N/A","N/A","N/A","N/A","10380","N/A","N/A","N/A","N/A","47240579.315","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53966060","1229833845","N/A","N/A","N/A","2718","N/A","N/A","N/A","N/A","278451","9418816","N/A","N/A","N/A","N/A","N/A"
"Bi Saraha","2022-10-21","N/A","Pop","N/A","N/A","Abeer Nehme","N/A","N/A","N/A","N/A","10547","N/A","N/A","N/A","N/A","46653587.565000005","N/A","N/A","N/A","24580078","49840285","N/A","N/A","N/A","33288009","110641563","N/A","N/A","N/A","2987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bir Dudaktan","2007-01-01","N/A","Pop","N/A","N/A","Özcan Deniz","N/A","N/A","N/A","N/A","10651","N/A","N/A","N/A","N/A","46252742.85","N/A","N/A","N/A","23081432","31411282","N/A","N/A","N/A","30658288","62759831","N/A","N/A","N/A","752","N/A","N/A","N/A","N/A","37486","208939","N/A","N/A","N/A","184","34462"
"ست الكل - هيثم يوسف - توزيع جديد","2013-09-13","N/A","Pop","N/A","N/A","Haitham Yousif","N/A","N/A","N/A","N/A","10723","N/A","N/A","N/A","N/A","45977511.42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","55160862","267742945","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11886","117838","N/A","N/A","N/A","N/A","N/A"
"Aşk Yok Olmaktır","1996-08-02","N/A","Pop","N/A","N/A","Yıldız Tilbe","N/A","N/A","N/A","N/A","11071","N/A","N/A","N/A","N/A","44721681.964999996","N/A","N/A","N/A","51945302","67037219","N/A","N/A","N/A","7021479","9181923","N/A","N/A","N/A","1856","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14","15511"
"Be3teeny Leh | Red Bull Mazzika Salonat","2025-12-01","N/A","Pop","N/A","N/A","Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika","N/A","N/A","N/A","N/A","11106","N/A","N/A","N/A","N/A","44629889.995000005","N/A","N/A","N/A","14647405","15484527","N/A","N/A","N/A","26074591","30920359","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ElBakht","2023-03-09","N/A","Hip Hop","N/A","N/A","Mvrslino Muzik, Wegz","N/A","N/A","N/A","N/A","11185","N/A","N/A","N/A","N/A","44349600.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51928176","361209116","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"اعوف الدنيا","2017-03-05","N/A","Pop","N/A","N/A","Mohamed Alsalim","N/A","N/A","N/A","N/A","11225","N/A","N/A","N/A","N/A","44225808.19500001","N/A","N/A","N/A","5734557","8236618","N/A","N/A","N/A","38019096","149762175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","412","263610"
"מלכת הדור","2025-06-10","N/A","Pop","N/A","N/A","Omer Adam","N/A","N/A","N/A","N/A","11258","N/A","N/A","N/A","N/A","44099357.385000005","N/A","N/A","N/A","21185094","21644252","N/A","N/A","N/A","28513207","29893943","N/A","N/A","N/A","196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
