"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","EJAE","United States","Pop","Other Indie / Unsigned","187","180","31561","703194","200988600","4021216440","-2875670","36375799","238504487","148","10000","342000","148904809","2143121873","467814","10583634","497","29557","1262920","234163","5856247","147684","1757174","989146","N/A","N/A","1146","6714","N/A","N/A","N/A","663178","67073","181","23","49","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Ilayaraaja","India","Pop","Big Indie Labels","3406","993","256168","16112378","17397","1922926","-115995","11810943","368299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","585","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Fawad Khan","Pakistan","Pop","N/A","5912","3661","27","933","4763","93905","-640","2847","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Abi Marquez","Philippines","Pop","Other Indie / Unsigned","5974","564860","4","81","109","15745","-27","38","11376","3155","30000","2020000","19336545","697591638","472948","32725286","10409","N/A","N/A","N/A","N/A","-2470","1426585","8998","21705","2826658","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","HYBS","Thailand","Pop","Warner Music Group","6664","3936","4194","685505","13291413","834696163","-187212","3418336","5823584","9176","2000","496000","3651492","242187165","11239","1702030","43773","-170","75449","317","12956","-5488","180265","2431","-218","45068","127","3714","N/A","N/A","N/A","4613","28718","476","25","55","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iyowa","Japan","Pop","Other Indie / Unsigned","7143","20581","8104","119693","5985993","124253175","4102","589159","213427","4338","11000","617000","9150796","330141088","77286","3699253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","181","2505","N/A","N/A","N/A","N/A","249829","N/A","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"7","NABILA SUAKA","Indonesia","Pop","Other Indie / Unsigned","7175","754891","0","146","95","18632","N/A","N/A","2","3365","0","5100000","3289279","1063273426","8124","10642514","8689","-366","538825","1372","105272","1504","184702","2617","0","3198820","0","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ironmouse","United States","Pop","Sony Music Entertainment, Big Indie Labels","7389","4102","20017","260048","20984126","239482038","-339673","4922689","7154608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","429","5863","N/A","N/A","N/A","16250","207241","4","3","5","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Mai Davika","Thailand","Pop","Universal Music Group","7982","280656","-14","10374","41800","7874317","0","5665","30466","27081","0","500000","32606","30059097","255","903217","879","3459","4465280","1595480","1964147","50723","18218287","1108088","-75","26150","3","28","N/A","N/A","N/A","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Juice=Juice","Japan","Pop","N/A","8010","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4125","10000","296000","11730570","236209257","146439","2964560","3377","13193","180744","1222867","5170869","45372","174272","95216","-30","183093","N/A","N/A","N/A","N/A","N/A","N/A","234433","15","6","6","N/A","N/A","N/A","N/A","N/A","N/A"
"11","สยาโม","Thailand","Pop","Sony Music Entertainment, Big Indie Labels","10995","93249","1156","14186","545068","12959275","30215","124421","105966","11934","4000","288000","1760318","86602227","13320","2022716","3147","16019","3888911","992521","4569613","1975","291982","9706","13954","738542","N/A","N/A","N/A","N/A","N/A","113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
