"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"1","EJAE","United States","Pop","Other Indie / Unsigned","187","180","120320","703194","673003091","4021216440","-13247114","36375799","238504487","148","51000","342000","461945570","2143121873","1512503","10583634","497","119557","1262920","234163","11776677","431149","1757174","3214374","N/A","N/A","3566","6714","N/A","N/A","N/A","663178","67073","181","25","57","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Ilayaraaja","India","Pop","Big Indie Labels","3406","993","738087","16112378","51549","1922926","-74227","11810943","368299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","585","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Fawad Khan","Pakistan","Pop","N/A","5912","3661","93","933","18073","93905","-1480","2847","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Abi Marquez","Philippines","Pop","Other Indie / Unsigned","5974","564860","16","81","388","15745","-666","38","11376","3155","50000","2020000","35198990","697591638","813687","32725286","10409","N/A","N/A","N/A","N/A","-2470","1426585","8998","110430","2826658","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","HYBS","Thailand","Pop","Warner Music Group","6664","3936","13313","685505","40475969","834696163","-162499","3418336","5823584","9176","6000","496000","11176418","242187165","33754","1702030","43773","-170","75449","317","33526","-5488","180265","2431","-405","45068","332","3714","N/A","N/A","N/A","4613","28718","1587","29","73","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iyowa","Japan","Pop","Other Indie / Unsigned","7143","20581","26406","119693","17257324","124253175","142080","589159","213427","4338","43000","617000","27238661","330141088","255154","3699253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","547","2505","N/A","N/A","N/A","N/A","249829","N/A","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"7","NABILA SUAKA","Indonesia","Pop","Other Indie / Unsigned","7175","754891","-1","146","329","18632","N/A","N/A","2","3365","0","5100000","9314928","1063273426","27178","10642514","8689","1534","538825","101372","1194440","3206","184702","2617","0","3198820","0","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ironmouse","United States","Pop","Sony Music Entertainment, Big Indie Labels","7389","4102","94784","260048","73758194","239482038","540146","4922689","7154608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1707","5863","N/A","N/A","N/A","16250","207241","16","4","8","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Mai Davika","Thailand","Pop","Universal Music Group","7982","280656","-127","10374","129240","7874317","0","5665","30466","27081","0","500000","105115","30059097","1444","903217","879","53459","4465280","5495480","8065367","50723","18218287","1108088","-253","26150","5","28","N/A","N/A","N/A","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Juice=Juice","Japan","Pop","N/A","8010","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4125","25000","296000","29816215","236209257","360652","2964560","3377","34613","180744","2522867","7359939","45372","174272","95216","-296","183093","N/A","N/A","N/A","N/A","N/A","N/A","234433","38","6","6","N/A","N/A","N/A","N/A","N/A","N/A"
"11","สยาโม","Thailand","Pop","Sony Music Entertainment, Big Indie Labels","10995","93249","4902","14186","1531023","12959275","22213","124421","105966","11934","10000","288000","6006209","86602227","33095","2022716","3147","16019","3888911","992521","25044173","1975","291982","9706","39369","738542","N/A","N/A","N/A","N/A","N/A","113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
