"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","EJAE","United States","Pop","Other Indie / Unsigned","187","180","5522","703194","45779230","4021216440","-103132","36375799","238504487","148","2000","342000","29517293","2143121873","84284","10583634","497","5750","1262920","41563","0","5868","1757174","21542","N/A","N/A","243","6714","N/A","N/A","N/A","95366","67073","154","20","38","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Ilayaraaja","India","Pop","Big Indie Labels","3406","993","56769","16112378","3709","1922926","111436","11810943","368299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","585","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Fawad Khan","Pakistan","Pop","N/A","5912","3661","7","933","1372","93905","-4","2847","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Abi Marquez","Philippines","Pop","Other Indie / Unsigned","5974","564860","0","81","36","15745","3","38","11376","3155","0","2020000","0","697591638","0","32725286","10409","N/A","N/A","N/A","N/A","-1089","1426585","2036","3881","2826658","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","HYBS","Thailand","Pop","Warner Music Group","6664","3936","962","685505","2938858","834696163","-69984","3418336","5823584","9176","0","496000","1970","242187165","24","1702030","43773","-46","75449","114","0","-116","180265","107","-104","45068","30","3714","N/A","N/A","N/A","11","28718","100","19","27","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Iyowa","Japan","Pop","Other Indie / Unsigned","7143","20581","1659","119693","1608491","124253175","-3227","589159","213427","4338","4000","617000","2577067","330141088","20428","3699253","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","46","2505","N/A","N/A","N/A","N/A","249829","N/A","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"7","NABILA SUAKA","Indonesia","Pop","Other Indie / Unsigned","7175","754891","0","146","18","18632","N/A","N/A","2","3365","0","5100000","0","1063273426","0","10642514","8689","-168","538825","365","0","219","184702","164","0","3198820","0","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Ironmouse","United States","Pop","Sony Music Entertainment, Big Indie Labels","7389","4102","3623","260048","4418198","239482038","-132726","4922689","7154608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67","5863","N/A","N/A","N/A","1","207241","3","1","2","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Mai Davika","Thailand","Pop","Universal Music Group","7982","280656","-4","10374","9343","7874317","0","5665","30466","27081","0","500000","123","30059097","4","903217","879","3282","4465280","766664","0","-8046","18218287","113807","-38","26150","0","28","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Juice=Juice","Japan","Pop","N/A","8010","754891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4125","5000","296000","4457657","236209257","64496","2964560","3377","6403","180744","571123","0","4857","174272","43802","-9","183093","N/A","N/A","N/A","N/A","N/A","N/A","234433","2","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
