"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Golden","2025-06-19","N/A","Pop","N/A","N/A","HUNTR/X, EJAE, Audrey Nuna, REI AMI","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","3683644219.77","N/A","N/A","N/A","1364001111","1541925207","N/A","N/A","N/A","1404442046","1415851739","N/A","N/A","N/A","735775","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Soda Pop","2025-06-20","N/A","Pop","N/A","N/A","Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee","N/A","N/A","N/A","N/A","9","N/A","N/A","N/A","N/A","1223680828.065","N/A","N/A","N/A","704068281","695262052","N/A","N/A","N/A","820140711","831355840","N/A","N/A","N/A","59884","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"How It’s Done","2025-06-20","N/A","Pop","N/A","N/A","HUNTR/X, Ejae, Audrey Nuna, REI AMI, EJAE","N/A","N/A","N/A","N/A","30","N/A","N/A","N/A","N/A","860693365.7750001","N/A","N/A","N/A","574172150","587001423","N/A","N/A","N/A","437273913","446501038","N/A","N/A","N/A","21830","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"What It Sounds Like","2025-06-20","N/A","Pop","N/A","N/A","HUNTR/X, Ejae, Audrey Nuna, REI AMI, EJAE","N/A","N/A","N/A","N/A","113","N/A","N/A","N/A","N/A","565783320.09","N/A","N/A","N/A","534854063","545772480","N/A","N/A","N/A","395885921","412553267","N/A","N/A","N/A","14285","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Your Idol","2025-06-20","N/A","Pop","N/A","N/A","Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee","N/A","N/A","N/A","N/A","157","N/A","N/A","N/A","N/A","510295415.96000004","N/A","N/A","N/A","681882139","683373162","N/A","N/A","N/A","77082554","80918717","N/A","N/A","N/A","33344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Free","2025-09-05","N/A","Pop","N/A","N/A","Rumi, Jinu, EJAE, Andrew Choi","N/A","N/A","N/A","N/A","452","N/A","N/A","N/A","N/A","344694489.9400001","N/A","N/A","N/A","467217501","478813607","N/A","N/A","N/A","593","783","N/A","N/A","N/A","9243","N/A","N/A","N/A","N/A","52761","71010","N/A","N/A","N/A","N/A","N/A"
"Takedown","2025-06-20","N/A","Pop","N/A","N/A","HUNTR/X, Ejae, Audrey Nuna, REI AMI, EJAE","N/A","N/A","N/A","N/A","469","N/A","N/A","N/A","N/A","341548160.66","N/A","N/A","N/A","460471969","469470040","N/A","N/A","N/A","72616895","73402472","N/A","N/A","N/A","11598","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1-800","2025-06-27","N/A","Electronic","N/A","N/A","bbno$, Ironmouse","N/A","N/A","N/A","N/A","2637","N/A","N/A","N/A","N/A","130587770.305","N/A","N/A","N/A","129795767","130630994","N/A","N/A","N/A","28584228","30166085","N/A","N/A","N/A","1905","N/A","N/A","N/A","N/A","1503919","1517758","N/A","N/A","N/A","N/A","N/A"
"Tip Toe","2023-06-20","N/A","Pop","N/A","N/A","HYBS","N/A","N/A","N/A","N/A","4936","N/A","N/A","N/A","N/A","84687287.785","N/A","N/A","N/A","85138843","328025223","N/A","N/A","N/A","26135098","110774670","N/A","N/A","N/A","3088","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1&Only","2025-06-13","N/A","Pop","N/A","N/A","XLOV","N/A","N/A","N/A","N/A","6843","N/A","N/A","N/A","N/A","66085736.52000001","N/A","N/A","N/A","53996091","66413035","N/A","N/A","N/A","23787384","30484101","N/A","N/A","N/A","437","N/A","N/A","N/A","N/A","586907","776321","N/A","N/A","N/A","N/A","N/A"
