"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 12m","Spotify Followers Total","Spotify Streams 12m","Spotify Streams Total","Spotify Monthly Listeners 12m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 12m","YouTube Subscribers Total","YouTube Views 12m","YouTube Views Total","YouTube Likes 12m","YouTube Likes Total","Social Rank","TikTok Followers 12m","TikTok Followers Total","TikTok Likes 12m","TikTok Views 12m","Instagram Followers 12m","Instagram Followers Total","Instagram Likes 12m","Facebook Followers 12m","Facebook Followers Total","Deezer Fans 12m","Deezer Fans Total","SoundCloud Followers 12m","SoundCloud Followers Total","SoundCloud Plays 12m","Shazam Shazams 12m","Radio Airplay Rank","Radio Airplay Spins 12m","Radio Airplay Countries with Spins 12m","Radio Airplay Stations with Spins 12m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 12m","Beatport Track Performance Points Total"
"1","Lady Gaga","United States","Pop","Universal Music Group, Sony Music Entertainment","6","12","9252725","45748573","7700110515","36468932305","-19790305","94540179","515673811","14","2700000","30400000","2497962074","21657394588","13433546","153842948","21","6462201","17724400","71056220","106354580","3303366","62402415","40280326","-503413","55807639","797991","9052202","53728","1367813","12643108","569453","2","5379022","191","11774","82961","51","5","189","2.58146725811531","463.7418219524227"
"2","Billie Eilish","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","10","5","15019209","125038445","9461892072","56056230096","-15982559","84426546","491262690","28","2600000","57900000","2273177693","19363160353","13595613","316093510","13","3243106","74440396","62045420","345984275","999346","125298016","139874532","-1015546","30894330","617068","9091795","872358","3650892","49075881","742818","51","2211944","189","8353","1877","43","3","357","2019.148853154545","2433.3807871165686"
"3","Lana Del Rey","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","32","23","9980456","56261528","7358829269","40648220247","7306756","64142648","315496912","86","1400000","18500000","779124535","8557195649","5180376","86263982","234","1297075","6933622","1301981","7870779","2875384","23643218","96208378","-266956","14977376","437746","5687133","134489","8547724","13265433","583753","453","599390","141","6170","1460","94","20","2184","32.8050595471387","8218.017780214843"
"4","Ellie Goulding","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","69","82","634970","13625198","1940947988","15014622783","5520977","47496952","287252170","145","200000","13100000","344012724","10657370325","1935217","66756292","641","254709","1868431","3751134","23180900","-108932","13639697","1614318","-393724","13569318","81014","6213196","966","6729445","7792678","218705","144","1263193","178","8257","259","134","39","3897","5519.736503865226","21503.249245681476"
"5","Alex Warren","United States","Pop","Warner Music Group, Big Indie Labels","77","108","2963936","4081669","4557606154","5768253860","17907880","51686503","290982255","502","1730000","4640000","1301841879","1688929640","12006425","24223395","256","1104325","20932716","4882199","236783781","45290","6250508","964246","59971","92445","111094","129829","34962","57479","21196529","279616","28","2592283","134","5638","N/A","N/A","N/A","N/A","N/A","N/A"
"6","sombr","United States","Pop","Warner Music Group","88","88","3765027","4217115","4275733790","4702948667","42229271","57834460","301641266","1099","887400","957000","358955704","384166772","2922994","3403144","889","442643","4815112","4146481","54274975","50577","3443788","112546","163772","164779","127260","134502","48524","57996","24261452","337941","109","1449945","116","3937","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","138","104","1094721","26331362","2957666381","21656741874","10336333","39033795","149129289","280","500000","14200000","701648332","13210301013","4495924","122304114","758","444921","1925792","11814592","21332890","260520","9097269","21159333","-124851","5790122","206814","4954133","31086","405284","13690225","216065","244","883393","129","5825","158186","4","1","121","0.052804092321101906","341.55839248680826"
"8","Arctic Monkeys","United Kingdom","Rock","Other Indie / Unsigned","147","38","4254056","33936439","4244521382","27024444048","1108144","54843284","192023717","648","560000","9370000","313712704","5264516997","1479819","39240897","2020","201663","941743","5796769","9905451","-35960","7721700","928432","-121747","7495877","261485","4875746","380037","1095374","1283902","288970","565","510341","116","3799","55808","134","0","0","15.509287808526572","126.28179513698544"
"9","Djo","United States","Rock","Big Indie Labels","170","151","2604592","4530227","1632484442","3576626925","25652084","46991617","230479999","1051","666000","1080000","138211001","264134146","1228856","3045645","27","1566524","2936282","5274531","26588866","6715420","7902751","12012604","83638","138820","68135","92820","18065","36789","5697549","424013","804","365663","112","3093","N/A","N/A","N/A","N/A","N/A","N/A"
"10","PinkPantheress","United Kingdom","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","174","211","1658309","5665468","1918613005","5954076170","27544978","42376118","272802689","1300","720000","2400000","250729866","696585988","4257613","12634416","306","2743187","5912805","43072421","227197004","1422443","3756509","6496202","N/A","N/A","85935","200296","44466","332718","24871218","305112","1068","295469","119","2508","6150","10","5","172","187.73119501188597","499.75882746501827"
