"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Lady Gaga","United States","Pop","Universal Music Group, Sony Music Entertainment","6","12","45542741","36288968967","94861992","516150799","14","30400000","21607648405","153624867","21","17698075","62408195","55828173","9037391","1366682","2","82961","51","5","189","463.7418219524227"
"2","Billie Eilish","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","8","5","124678749","55850748677","84839239","524708628","28","57900000","19308135112","315789032","13","74424758","125318344","30921886","9081129","3625776","49","1877","43","3","357","2433.3807871165686"
"3","Lana Del Rey","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","32","23","55987599","40442269177","63718839","315179418","86","18400000","8535462011","86124664","234","6904667","23549127","14985935","5678954","8543440","445","1460","94","20","2184","8218.017780214843"
"4","Ellie Goulding","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","67","82","13596037","14960314379","47403583","287888071","145","13100000","10646756706","66698127","641","1867108","13643721","13577394","6211440","6729519","142","259","134","39","3897","21503.249245681476"
"5","Alex Warren","United States","Pop","Warner Music Group, Big Indie Labels","76","112","4005344","5646241104","53050706","292382979","502","4600000","1659971379","23936318","256","20883757","6237346","91608","127222","56677","35","N/A","N/A","N/A","N/A","N/A"
"6","sombr","United States","Pop","Warner Music Group","100","87","4150133","4572897562","58327485","304477949","1099","945000","373260247","3339119","889","4777211","3420106","161304","132182","57128","127","N/A","N/A","N/A","N/A","N/A"
"7","Twenty One Pilots","United States","Pop","Warner Music Group, Big Indie Labels","141","103","26292615","21564132755","40366524","185148079","280","14200000","13194343454","122200739","758","1921635","9098009","5794060","4950855","404720","240","158186","4","1","121","341.55839248680826"
"8","Arctic Monkeys","United Kingdom","Rock","Other Indie / Unsigned","152","38","33803706","26911020021","54826656","193481791","648","9360000","5256015110","39197128","2020","931663","7706332","7499063","4869721","1084301","566","55808","134","0","0","126.28179513698544"
"9","Djo","United States","Rock","Big Indie Labels","172","144","4487637","3514921577","47755147","234483340","1051","1070000","259560837","3018703","27","2935048","7902328","136642","91298","36358","896","N/A","N/A","N/A","N/A","N/A"
"10","PinkPantheress","United Kingdom","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","175","253","5574771","5859188317","42336854","284372353","1300","2370000","682887343","12412413","306","5864689","3708100","N/A","197671","330977","1170","6150","10","5","172","499.75882746501827"
"11","Tame Impala","Australia","Rock","Universal Music Group, Sony Music Entertainment, Warner Music Group","183","121","10518162","12971421963","49952613","335934271","611","3320000","1976841831","22115998","1148","598464","4076664","1826534","1062315","433754","699","148","47","9","1535","33971.295025974185"
"12","REI AMI","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","184","220","382201","3791913325","36298179","238539099","155","227000","2582690488","18261379","675","1396644","933755","11177","11641","8298","16027","31683","16","0","0","31.159119748918858"
"13","Benson Boone","United States","Pop","Warner Music Group","190","105","7915779","9264217493","41924563","215738388","671","5680000","2359476278","41284851","1109","9234250","6736409","377170","456321","73318","17","N/A","N/A","N/A","N/A","N/A"
"14","Laufey","United States","Jazz","Universal Music Group, Sony Music Entertainment","191","278","9748740","6522343662","24561532","117585344","822","3190000","688792899","19834784","118","10466357","8462106","551721","211587","155395","3168","N/A","N/A","N/A","N/A","N/A"
"15","Melanie Martinez","United States","Pop","Warner Music Group","216","380","22651593","11092717529","15452034","61256284","600","16100000","5234238919","94361283","510","10060090","14123608","2990638","1890466","4591","6599","137782","17","2","28","111.51461669188022"
"16","Chappell Roan","United States","Pop","Universal Music Group","220","151","8036724","7824930201","34020817","208963256","1205","2380000","739169421","19098466","309","5168171","7812032","662603","275595","63775","95","135418","2","0","0","5.1702180343719695"
"17","Noah Kahan","United States","Pop","Universal Music Group, Warner Music Group","289","237","4934199","11490913140","30339528","221822543","2368","928000","579247794","5720509","250","3343423","3653284","216566","166121","65554","825","108403","7","0","0","19.221406468771644"
"18","Hozier","Ireland","R&B","Universal Music Group, Sony Music Entertainment","292","115","9426504","18005658292","42181074","263038110","664","4690000","3373088959","29014554","4357","2230381","3870396","1882706","1384026","172673","185","2761","11","8","547","4991.251148398698"
"19","Hindia","Indonesia","Pop","Universal Music Group","298","236","15451958","4384602607","15297962","13822500","1432","1050000","1129369569","4297097","1136","890126","1759531","15019","13863","1184","8262","N/A","N/A","N/A","N/A","N/A"
"20","Gracie Abrams","United States","Pop","Universal Music Group","310","141","9040494","8994247627","35192693","198258456","1304","1940000","498727427","8500296","984","464579","5816291","291038","366791","89776","310","N/A","N/A","N/A","N/A","N/A"
"21","Cigarettes After Sex","United States","Pop","Big Indie Labels","313","125","18656242","12518599108","29342940","76503686","1149","4230000","1865711671","17686737","1597","782156","5478721","1298598","849858","539625","5030","N/A","N/A","N/A","N/A","N/A"
"22","Fizistyle","Czech Republic","Pop","Other Indie / Unsigned","387","139367","29295","6707422","29986","22168","35","9100000","2430567129","59357133","34575","527370","151674","21543","167","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","Lorde","New Zealand","Pop","Universal Music Group, Warner Music Group","390","221","10771521","11252893441","26987158","171179822","1213","5170000","2795277895","21443587","1334","802242","11335388","5902596","2055400","6272187","404","60012","17","7","683","692.3975558536872"
"24","Conan Gray","United States","Pop","Universal Music Group","391","227","13011096","9828189625","22601201","140010192","799","5690000","1628989518","43226663","224","9434094","8227334","1018979","842024","252226","1585","N/A","N/A","N/A","N/A","N/A"
"25","JVKE","United States","Pop","Other Indie / Unsigned","402","506","6341591","5123392886","22256916","96872256","529","13500000","4420376633","172738812","403","13218222","3644363","385555","133440","97945","4029","18715","17","2","21","141.6103064054348"
"26","G-Eazy","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group","423","279","6490204","15587375491","25821088","126051652","223","9020000","8615655684","70900116","1646","1668085","10009415","3199079","1074614","1185999","2573","29398","175","37","1746","648.6448660761654"
"27","TV Girl","United States","Pop","N/A","468","170","14106870","8096006348","23805166","49862641","3730","1490000","100000404","2004245","5131","N/A","2506452","72157","401080","238988","11624","N/A","N/A","N/A","N/A","N/A"
"28","LANY","United States","Pop","Universal Music Group, Warner Music Group","470","602","7866936","7108311764","12057243","76135203","1256","2720000","1667893408","11090575","1923","1208798","1827997","1530832","102018","89130","4696","31452","24","2","63","245.64946236490508"
"29","Empire Of The Sun","Australia","Pop","Warner Music Group, Sony Music Entertainment, Universal Music Group","473","228","2218467","6325518435","39534520","146737416","1150","965000","838780198","5930698","4894","303754","364778","1022757","435448","352713","894","545","128","27","4842","11482.10401638043"
