"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Golden","2025-06-19","N/A","Pop","N/A","N/A","HUNTR/X, EJAE, Audrey Nuna, REI AMI","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","3683644219.77","N/A","N/A","N/A","1364001111","1541925207","N/A","N/A","N/A","1404442046","1415851739","N/A","N/A","N/A","735775","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ordinary","2024-09-27","N/A","Pop","N/A","N/A","Alex Warren","N/A","N/A","N/A","N/A","2","N/A","N/A","N/A","N/A","1896413925.505","N/A","N/A","N/A","1395195926","1717657578","N/A","N/A","N/A","377424015","388143038","N/A","N/A","N/A","1682894","N/A","N/A","N/A","N/A","8126508","8530994","N/A","N/A","N/A","0","713917"
"back to friends","2024-12-27","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","5","N/A","N/A","N/A","N/A","1581277662.7","N/A","N/A","N/A","1582807349","1639713345","N/A","N/A","N/A","215953678","219076706","N/A","N/A","N/A","530240","N/A","N/A","N/A","N/A","9366495","9691026","N/A","N/A","N/A","N/A","N/A"
"Sailor Song","2024-07-26","N/A","Pop","N/A","N/A","Gigi Perez","N/A","N/A","N/A","N/A","31","N/A","N/A","N/A","N/A","855544673.095","N/A","N/A","N/A","926757672","1793060314","N/A","N/A","N/A","130525809","189021338","N/A","N/A","N/A","147177","N/A","N/A","N/A","N/A","512410","514460","N/A","N/A","N/A","N/A","N/A"
"undressed","2025-03-21","N/A","Pop","N/A","N/A","sombr","N/A","N/A","N/A","N/A","35","N/A","N/A","N/A","N/A","811849062.9999999","N/A","N/A","N/A","730378085","828617471","N/A","N/A","N/A","45379663","45919691","N/A","N/A","N/A","749061","N/A","N/A","N/A","N/A","4584195","4606164","N/A","N/A","N/A","N/A","N/A"
"Pink Pony Club","2020-04-03","N/A","Pop","N/A","N/A","Chappell Roan","N/A","N/A","N/A","N/A","50","N/A","N/A","N/A","N/A","731184983.88","N/A","N/A","N/A","590337659","1150111041","N/A","N/A","N/A","106057182","166721230","N/A","N/A","N/A","749743","N/A","N/A","N/A","N/A","2386173","4051842","N/A","N/A","N/A","N/A","N/A"
"Good Luck, Babe!","2024-04-05","N/A","Pop","N/A","N/A","Chappell Roan","N/A","N/A","N/A","N/A","74","N/A","N/A","N/A","N/A","644988347.285","N/A","N/A","N/A","632224929","2039410593","N/A","N/A","N/A","73151072","210990239","N/A","N/A","N/A","412503","N/A","N/A","N/A","N/A","1416947","5051341","N/A","N/A","N/A","293929","7633192"
"That’s So True","2024-10-16","N/A","Pop","N/A","N/A","Gracie Abrams","N/A","N/A","N/A","N/A","78","N/A","N/A","N/A","N/A","636152819.885","N/A","N/A","N/A","774708373","1636506998","N/A","N/A","N/A","119589784","193984155","N/A","N/A","N/A","67061","N/A","N/A","N/A","N/A","357206","653792","N/A","N/A","N/A","N/A","N/A"
"Riptide","2013-03-22","N/A","Pop","N/A","N/A","Vance Joy","N/A","N/A","N/A","N/A","102","N/A","N/A","N/A","N/A","591520058.26","N/A","N/A","N/A","528201963","3557455338","N/A","N/A","N/A","134706221","1190594757","N/A","N/A","N/A","164777","N/A","N/A","N/A","N/A","4352289","76036339","N/A","N/A","N/A","0","1257"
"No One Noticed","2024-05-03","N/A","Pop","N/A","N/A","The Marías","N/A","N/A","N/A","N/A","122","N/A","N/A","N/A","N/A","550735907.1150001","N/A","N/A","N/A","656645715","1006030586","N/A","N/A","N/A","39352737","50407736","N/A","N/A","N/A","48670","N/A","N/A","N/A","N/A","6233559","10341155","N/A","N/A","N/A","172965","1018244"
